,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
21,Income Tax Expense,3.37,3.52,1.85,1.59,3,3.34,2.51,4.8,4.83,4.97,3.09,5.28,5.37,3.73,3.73
22,Earnings From Continuing Operations,27.56,37.69,16.2,24,21.09,30.84,22.44,39.48,44.48,41.9,26.39,38.57,45.16,32.72,32.72
23,Minority Interest in Earnings,1.22,0.67,0.29,0.32,0.14,0.02,-,-,-,-,-,-,-,-,-
24,Net Income,28.78,38.36,16.49,24.31,21.23,30.86,22.44,39.48,44.48,41.9,26.39,38.57,45.16,32.72,32.72
25,Net Income to Common,28.78,38.36,16.49,24.31,21.23,30.86,22.44,39.48,44.48,41.9,26.39,38.57,45.16,32.72,32.72
26,Net Income Growth,35.58%,24.32%,-26.53%,-38.41%,-52.27%,-26.35%,-14.95%,2.36%,-1.51%,28.06%,-19.35%,-,-,-,-
27,Shares Outstanding (Basic),149,149,150,150,150,150,150,150,113,113,112,113,113,112,112
28,Shares Outstanding (Diluted),149,149,150,150,150,150,150,150,113,113,112,113,113,112,112
29,Shares Change (YoY),-0.55%,-0.36%,-0.17%,0.02%,33.33%,33.32%,33.37%,33.26%,-0.53%,0.30%,0.27%,-,-,-,-
30,EPS (Basic),0.19,0.26,0.11,0.16,0.14,0.21,0.15,0.26,0.40,0.37,0.23,0.34,0.40,0.29,0.29
31,EPS (Diluted),0.19,0.26,0.11,0.16,0.14,0.21,0.15,0.26,0.40,0.37,0.23,0.34,0.40,0.29,0.29
32,EPS Growth,36.34%,24.76%,-26.40%,-38.42%,-64.20%,-44.76%,-36.23%,-23.19%,-0.98%,27.68%,-19.56%,-,-,-,-
33,Free Cash Flow,-85.97,-5.2,-81.11,7.75,-76.79,-36.47,-15.97,43.14,20.35,15.87,-82.54,-43.34,-47.55,-13.75,-13.75
34,Free Cash Flow Per Share,-0.58,-0.03,-0.54,0.05,-0.51,-0.24,-0.11,0.29,0.18,0.14,-0.73,-0.39,-0.42,-0.12,-0.12
35,Dividend Per Share,-,-,-,0.400,-,-,-,0.128,0.261,-,-,-,-,-,-
36,Dividend Growth,-,-,-,212.99%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,35.99%,37.83%,33.28%,32.43%,38.07%,37.11%,35.91%,38.01%,41.63%,42.61%,40.44%,43.21%,42.81%,41.33%,41.33%
38,Operating Margin,12.22%,14.02%,6.08%,5.78%,10.07%,12.77%,9.94%,13.79%,21.97%,22.81%,18.01%,21.83%,25.88%,21.25%,21.25%
39,Profit Margin,12.55%,16.77%,9.04%,11.77%,10.78%,14.99%,12.69%,19.23%,20.47%,21.26%,15.99%,21.26%,23.05%,19.70%,19.70%
40,Free Cash Flow Margin,-37.48%,-2.27%,-44.45%,3.75%,-39.01%,-17.72%,-9.03%,21.02%,9.37%,8.05%,-50.00%,-23.89%,-24.27%,-8.28%,-8.28%
41,EBITDA,34.86,39.8,17.91,18.76,25.2,33.37,22.95,33.67,51.35,49.56,33.34,43.22,52.13,36.73,36.73
42,EBITDA Margin,15.19%,17.40%,9.82%,9.08%,12.80%,16.21%,12.98%,16.41%,23.64%,25.14%,20.20%,23.83%,26.61%,22.11%,22.11%
43,D&A For EBITDA,6.82,7.73,6.82,6.82,5.37,7.08,5.37,5.37,3.62,4.59,3.62,3.62,1.43,1.43,1.43
44,EBIT,28.04,32.07,11.09,11.94,19.83,26.29,17.58,28.31,47.73,44.97,29.72,39.6,50.7,35.3,35.3
45,EBIT Margin,12.22%,14.02%,6.08%,5.78%,10.07%,12.77%,9.94%,13.79%,21.97%,22.81%,18.01%,21.83%,25.88%,21.25%,21.25%
46,Effective Tax Rate,10.91%,8.55%,10.27%,6.22%,12.44%,9.76%,10.04%,10.84%,9.80%,10.61%,10.49%,12.03%,10.64%,10.23%,10.23%
47,Revenue as Reported,229.4,228.75,182.49,206.6,196.85,205.87,176.82,205.26,217.22,197.11,165.06,181.38,195.94,166.08,166.08
