,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
14,Long-Term Deferred Tax Assets,5.53,5.39,4.78,4.53,9.66,9.81,4.37,4.23,7.08,6.7,-,5.87,-,3.83,3.83
15,Long-Term Deferred Charges,3.62,3.99,4.37,4.75,4.29,4.63,4.74,4.6,4.89,5.37,-,6.28,-,7.12,7.12
16,Other Long-Term Assets,93.57,68.43,62.39,4.19,41.34,7.38,2.44,2.74,3.45,2.85,-,13.97,-,33.54,33.54
17,Total Assets,2703,2561,2615,2711,2490,2447,2376,2349,2316,1046,-,992.72,-,867.62,867.62
18,Accounts Payable,221.25,211.61,179.95,182.28,132.4,115.94,105.39,121.63,66.8,101.37,-,122.85,-,102.97,102.97
19,Accrued Expenses,57.4,57.84,47.22,52.6,50.3,50.97,40.27,56.29,45.87,41.23,-,38.39,-,40.68,40.68
20,Short-Term Debt,-,-,67.06,163.51,-,-,-,-,-,-,-,-,-,-,-
21,Current Portion of Leases,9.18,9.61,9.56,9.81,9.72,9.59,9.47,9.9,7.58,7.81,-,7.72,-,7.76,7.76
22,Current Income Taxes Payable,9.88,4.94,9.34,6.47,10.59,5.61,18.22,12.99,22.68,18.56,-,14.18,-,6.5,6.5
23,Current Unearned Revenue,28.16,25.19,27.38,28.29,27.09,27.46,26.39,25.66,28.76,29.75,-,32.52,-,23.23,23.23
24,Other Current Liabilities,7.03,6.98,6.82,27.28,32.16,30.05,40.15,8.09,34.5,8.92,-,8.95,-,8.88,8.88
25,Total Current Liabilities,332.9,316.17,347.34,470.24,262.26,239.62,239.87,234.57,206.18,207.64,-,224.6,-,190.03,190.03
26,Long-Term Debt,113.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Long-Term Leases,8.79,10.41,11.65,13.73,14.98,16.73,14.19,15.77,13.14,14.44,-,15.88,-,19.54,19.54
28,Long-Term Unearned Revenue,0.39,0.43,0.48,0.53,7.78,7.85,7.92,7.99,8.07,8.14,-,8.28,-,1.25,1.25
29,Long-Term Deferred Tax Liabilities,-,-,-,-,4.26,4.53,-,-,-,-,-,-,-,0.12,0.12
30,Total Liabilities,455.65,327.01,359.47,484.5,289.28,268.74,261.99,258.34,227.39,230.21,-,248.76,-,210.94,210.94
31,Common Stock,150,150,150,150,150,150,83.33,83.33,83.33,62.5,-,62.5,-,62.5,62.5
32,Additional Paid-In Capital,1421,1420,1418,1416,1414,1413,1478,1476,1474,267.1,-,263.55,-,300.02,300.02
33,Retained Earnings,635.29,606.51,627.91,611.42,587.11,565.88,554.19,531.75,531.44,486.97,-,418.68,-,294.94,294.94
34,Treasury Stock,-30.01,-13.98,-12.91,-,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,-0.66,-0.62,-0.63,-0.63,-0.62,-0.8,-0.78,-0.79,-0.78,-0.8,-,-0.77,-,-0.78,-0.78
36,Total Common Equity,2176,2162,2182,2177,2151,2128,2114,2090,2088,815.77,743.96,743.96,-,656.68,656.68
37,Minority Interest,71.1,72.32,72.99,49.79,50.11,50.24,-,-,-,-,-,-,-,-,-
38,Shareholders' Equity,2247,2234,2255,2227,2201,2178,2114,2090,2088,815.77,743.96,743.96,-,656.68,656.68
39,Total Liabilities & Equity,2703,2561,2615,2711,2490,2447,2376,2349,2316,1046,-,992.72,-,867.62,867.62
40,Total Debt,131.54,20.02,88.27,187.04,24.7,26.32,23.66,25.68,20.72,22.25,23.59,23.59,-,27.3,27.3
41,Net Cash (Debt),962.55,1064,1121,1210,1199,1272,1321,1344,1368,91.22,159.69,159.69,-,249.24,249.24
42,Net Cash Growth,-19.70%,-16.34%,-15.11%,-9.93%,-12.37%,1294.26%,727.25%,741.46%,-,-63.40%,-35.93%,-,-,-,-
43,Net Cash Per Share,6.45,7.12,7.49,8.07,7.99,8.48,8.81,8.96,12.16,0.81,1.42,1.42,-,2.22,2.22
44,Filing Date Shares Outstanding,149.18,149.1,149.46,150,150,150,150,150,150,112.5,112.48,112.5,113.11,112.5,112.5
45,Total Common Shares Outstanding,149.18,149.42,149.46,150,150,150,150,150,150,112.5,112.48,112.5,113.11,112.5,112.5
46,Working Capital,1235,1225,1309,1366,1404,1486,1535,1565,1609,338.3,-,324.83,-,387.45,387.45
47,Book Value Per Share,14.59,14.47,14.60,14.51,14.34,14.19,14.10,13.93,13.92,7.25,6.61,6.61,-,5.84,5.84
48,Tangible Book Value,2078,2063,2083,2098,2072,2047,2050,2075,2072,799,725.91,725.91,-,640.78,640.78
49,Tangible Book Value Per Share,13.93,13.81,13.94,13.99,13.81,13.65,13.67,13.83,13.81,7.10,6.45,6.45,-,5.70,5.70
50,Buildings,-,349.65,-,329.52,-,171.04,-,125.55,-,57.51,-,29.73,-,29.73,29.73
51,Machinery,-,238.65,-,221.35,-,203.93,-,200.78,-,198.51,-,104.02,-,93.11,93.11
52,Construction In Progress,-,318.38,-,274.59,-,271.3,-,203.12,-,215.29,-,258.88,-,90.49,90.49
