,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
22,Earnings From Continuing Operations,64.98,62.2,50.64,108.69,128.54,133.35,221.68,133.77,161.08,161.08,100.42,100.42,52.73,52.73
23,Minority Interest in Earnings,0.06,0.85,1.39,0.59,-0.21,1.72,1.54,14.93,1.15,1.15,0.93,0.93,1.01,1.01
24,Net Income,65.04,63.06,52.03,109.29,128.33,135.07,223.22,148.7,162.23,162.23,101.35,101.35,53.74,53.74
25,Net Income to Common,65.04,63.06,52.03,109.29,128.33,135.07,223.22,148.7,162.23,162.23,101.35,101.35,53.74,53.74
26,Net Income Growth,-49.32%,-53.32%,-76.69%,-26.51%,-20.90%,-16.74%,120.23%,46.71%,201.89%,201.89%,-,-,-,-
27,Shares Outstanding (Basic),590,633,578,592,513,516,507,512,507,507,507,507,510,510
28,Shares Outstanding (Diluted),590,633,578,592,513,516,507,512,507,507,507,507,566,566
29,Shares Change (YoY),14.97%,22.65%,13.96%,15.53%,1.19%,1.85%,0.06%,0.99%,-10.38%,-10.38%,-,-,-,-
30,EPS (Basic),0.11,0.10,0.09,0.18,0.25,0.26,0.44,0.29,0.32,0.32,0.20,0.20,0.11,0.11
31,EPS (Diluted),0.11,0.10,0.09,0.18,0.25,0.26,0.44,0.29,0.32,0.32,0.20,0.20,0.10,0.10
32,EPS Growth,-55.92%,-61.94%,-79.55%,-36.39%,-21.83%,-18.26%,120.10%,45.28%,236.84%,236.84%,-,-,-,-
33,Free Cash Flow,62.39,78.71,59.53,350.81,197.22,-15.79,296.52,298.43,53.21,53.21,1.71,1.71,-104.99,-104.99
34,Free Cash Flow Per Share,0.11,0.12,0.10,0.59,0.38,-0.03,0.58,0.58,0.10,0.10,0.00,0.00,-0.19,-0.19
35,Dividend Per Share,-,-,-,0.450,0.835,-,-,-,-,-,-,-,-,-
36,Gross Margin,16.30%,16.96%,17.32%,15.08%,20.73%,21.78%,23.17%,22.06%,21.13%,21.13%,14.62%,14.62%,14.54%,14.54%
37,Operating Margin,9.10%,6.02%,6.86%,9.11%,13.79%,14.60%,18.29%,13.96%,15.12%,15.12%,8.76%,8.76%,6.89%,6.89%
38,Profit Margin,6.74%,8.19%,8.40%,13.21%,10.08%,11.80%,15.73%,10.93%,12.07%,12.07%,8.19%,8.19%,6.41%,6.41%
39,Free Cash Flow Margin,6.47%,10.22%,9.61%,42.40%,15.50%,-1.38%,20.90%,21.94%,3.96%,3.96%,0.14%,0.14%,-12.52%,-12.52%
40,EBITDA,98.09,58.29,52.86,85.7,185.32,177.73,269.28,199.79,212.95,212.95,117.8,117.8,66.61,66.61
41,EBITDA Margin,10.17%,7.57%,8.54%,10.36%,14.56%,15.53%,18.98%,14.69%,15.84%,15.84%,9.52%,9.52%,7.94%,7.94%
42,D&A For EBITDA,10.36,11.95,10.36,10.36,9.84,10.59,9.84,9.84,9.73,9.73,9.49,9.49,8.79,8.79
43,EBIT,87.72,46.34,42.5,75.34,175.48,167.14,259.44,189.95,203.22,203.22,108.31,108.31,57.82,57.82
44,EBIT Margin,9.10%,6.02%,6.86%,9.11%,13.79%,14.60%,18.29%,13.96%,15.12%,15.12%,8.76%,8.76%,6.89%,6.89%
45,Effective Tax Rate,13.38%,13.41%,15.01%,14.78%,14.50%,14.47%,14.86%,18.89%,14.94%,14.94%,15.70%,15.70%,14.80%,14.80%
46,Revenue as Reported,964.42,770.37,619.36,827.29,1273,1145,1419,1360,-,-,-,-,-,-
