,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
19,Accrued Expenses,16.82,21.42,13.12,25.92,13.22,19.12,8.68,20.36,20.29,-,-,-
20,Short-Term Debt,17.32,-,-,-,-,43.63,91.94,139.6,284.46,-,-,-
21,Current Portion of Long-Term Debt,-,0.02,1.54,0.03,0.03,10,-,0.07,-,-,-,-
22,Current Portion of Leases,1.57,1.82,-,0.89,-,-,-,-,-,-,-,-
23,Current Income Taxes Payable,4.96,-,9.9,6.35,4.15,0,2.84,-,0.29,-,-,-
24,Current Unearned Revenue,1.77,2.36,2.13,2.11,1.17,0.88,-,1.78,1.23,-,-,-
25,Other Current Liabilities,2.12,2.01,2.5,2.06,3.19,1.72,4.77,1.49,4.39,-,-,-
26,Total Current Liabilities,1146,875.17,726.76,970.45,856.77,648.78,623.34,717.08,808.43,-,-,-
27,Long-Term Debt,34.99,34.99,40,40,45,34.99,50,77.3,27.8,-,-,-
28,Long-Term Leases,5.35,5.89,6.28,6.81,-,-,-,-,-,-,-,-
29,Long-Term Unearned Revenue,2.04,2.07,2.1,2.13,1.7,1.73,1.76,1.79,1.82,-,-,-
30,Long-Term Deferred Tax Liabilities,-,-,-,-,5.49,5.02,4.3,4.28,-,-,-,-
31,Total Liabilities,1188,918.12,775.13,1019,908.96,690.53,679.4,800.45,838.05,-,-,-
32,Common Stock,389.1,389.1,389.1,389.1,389.1,389.1,389.1,291.82,291.82,-,-,-
33,Additional Paid-In Capital,1662,1662,1662,1662,1662,1662,1662,61.61,61.61,-,-,-
34,Retained Earnings,773.93,736.93,796.34,752.47,694.75,636.67,638.02,596.92,571.61,-,-,-
35,Comprehensive Income & Other,37.33,-17.15,-11.37,11.87,0.08,7.04,4.1,3.92,-8.47,-,-,-
36,Total Common Equity,2862,2771,2836,2815,2746,2695,2693,954.27,916.57,-,767.28,-
37,Minority Interest,26.72,24.63,24.77,24.79,0.24,0.14,0.41,0.62,1.27,-,-,-
38,Shareholders' Equity,2889,2796,2861,2840,2746,2695,2694,954.89,917.84,-,768,-
39,Total Liabilities & Equity,4077,3714,3636,3860,3655,3386,3373,1755,1756,-,-,-
40,Total Debt,59.23,42.73,47.81,47.73,45.03,88.63,141.94,216.97,312.26,-,529.36,-
41,Net Cash (Debt),938.09,726.55,950.59,1354,1272,1125,1330,-101.96,-162.68,-,-357.52,-
42,Net Cash Growth,-26.25%,-35.40%,-28.54%,-,-,-,-,-,-,-,-,-
43,Net Cash Per Share,2.51,1.91,2.38,3.75,3.27,2.92,4.21,-0.34,-0.57,-,-1.27,-
44,Filing Date Shares Outstanding,389.1,389.1,389.1,389.1,389.1,389.1,389.1,389.1,291.82,302.67,281.83,-
45,Total Common Shares Outstanding,389.1,389.1,389.1,389.1,389.1,389.1,389.1,291.82,291.82,302.67,281.83,-
46,Working Capital,1991,1985,2165,2179,2151,2180,2207,492.36,440.55,-,-,-
47,Book Value Per Share,7.36,7.12,7.29,7.24,7.06,6.93,6.92,3.27,3.14,-,2.63,-
48,Tangible Book Value,2777,2685,2756,2735,2665,2678,2677,937.49,899.65,-,750.1,-
49,Tangible Book Value Per Share,7.14,6.90,7.08,7.03,6.85,6.88,6.88,3.21,3.08,-,2.57,-
50,Land,-,50.2,-,50.2,-,44.11,-,44.11,28.18,-,-,-
51,Buildings,-,391.9,-,360.22,-,340.82,-,307.2,307.2,-,-,-
52,Machinery,-,396.85,-,364.56,-,322.75,-,317.2,310.23,-,-,-
53,Construction In Progress,-,102.07,-,61.59,-,47.83,-,62.76,42.59,-,-,-
