,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
34,Free Cash Flow Per Share,0.46,-0.26,-0.99,0.28,0.41,-0.59,-0.91,-0.06,0.24,0.25,0.20,-
35,Dividend Per Share,0.100,-,-,0.300,-,-,-,0.150,-,-,-,-
36,Dividend Growth,-,-,-,100.00%,-,-,-,-,-,-,-,-
37,Gross Margin,10.91%,12.21%,12.81%,10.23%,17.27%,15.92%,16.05%,16.02%,16.36%,15.12%,14.30%,4.32%
38,Operating Margin,5.10%,4.25%,4.00%,-1.37%,10.31%,4.89%,8.41%,3.75%,9.38%,8.48%,7.65%,4.32%
39,Profit Margin,3.62%,6.51%,6.90%,9.83%,8.78%,9.20%,6.73%,5.60%,9.22%,9.53%,5.89%,4.65%
40,Free Cash Flow Margin,16.68%,-11.11%,-61.98%,17.40%,24.12%,-36.52%,-46.95%,-3.90%,11.23%,10.97%,10.81%,25.21%
41,EBITDA,61.58,48.18,34.85,1.35,77.07,39.51,60.29,25.97,67.35,67.18,48.19,33.2
42,EBITDA Margin,6.02%,5.47%,5.48%,0.23%,11.65%,6.38%,9.87%,5.75%,10.79%,9.78%,9.15%,5.65%
43,D&A For EBITDA,9.41,10.75,9.41,9.41,8.89,9.19,8.89,9.04,8.8,8.97,7.91,7.81
44,EBIT,52.17,37.44,25.44,-8.06,68.18,30.32,51.4,16.92,58.55,58.21,40.28,25.39
45,EBIT Margin,5.10%,4.25%,4.00%,-1.37%,10.31%,4.89%,8.41%,3.75%,9.38%,8.48%,7.65%,4.32%
46,Effective Tax Rate,-,1.81%,-,9.17%,3.92%,3.54%,5.86%,-,1.82%,3.66%,3.51%,1.42%
47,Revenue as Reported,1022,880.48,635.42,587.28,661.47,619.46,611.1,451.59,624.06,686.72,526.69,-
