,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
34,Common Stock,200,200,200,200,200,200,200,200,200,150,-,150,-,-,-
35,Additional Paid-In Capital,2817,2809,2801,2791,2783,2779,2775,2770,2766,128.46,-,120.24,-,-,-
36,Retained Earnings,183.75,178.58,241.14,264.04,186.27,158.08,219.26,215.24,126.73,93.43,-,92.85,-,-,-
37,Treasury Stock,-139.67,-86.91,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Comprehensive Income & Other,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
39,Total Common Equity,3061,3100,3242,3255,3169,3137,3194,3186,3093,371.88,363.09,363.09,-,-,282.83
40,Minority Interest,6.11,5.65,3.96,2.68,1.96,-,-,-,-,-,-,-,-,-,-
41,Shareholders' Equity,3067,3106,3246,3258,3171,3137,3194,3186,3093,371.88,363.09,363.09,-,-,282.83
42,Total Liabilities & Equity,3264,3304,3463,3545,3427,3399,3483,3512,3227,527.99,-,431.82,-,-,-
43,Total Debt,62.36,65.67,70.68,71.69,82.13,94.25,70.06,73.35,8.04,9.08,5.36,5.36,-,-,-
44,Net Cash (Debt),2067,2102,2322,2423,2446,2525,2810,2870,2841,191.49,166.69,166.69,-,-,219.86
45,Net Cash Growth,-15.46%,-16.79%,-17.35%,-15.59%,-13.91%,1218.84%,1585.73%,1622.05%,-,-,-24.19%,-,-,-,-
46,Net Cash Per Share,10.43,10.99,11.16,11.82,12.23,12.73,13.94,14.10,17.07,1.34,1.06,1.06,-,-,1.47
47,Filing Date Shares Outstanding,195.18,198.13,200,200,200,200,200,200,200,200,157.34,157.24,149.81,150.03,150.03
48,Total Common Shares Outstanding,195.18,198.13,200,200,200,200,200,200,200,150,157.34,157.24,149.81,150.03,150.03
49,Working Capital,2634,2712,2889,2927,2889,2917,3025,3023,2988,267.91,-,297.17,-,-,-
50,Book Value Per Share,15.68,15.65,16.21,16.27,15.84,15.68,15.97,15.93,15.47,2.48,2.31,2.31,-,-,1.89
51,Tangible Book Value,3019,3058,3200,3212,3126,3127,3193,3185,3091,370.88,363.04,363.04,-,-,282.74
52,Tangible Book Value Per Share,15.47,15.44,16.00,16.06,15.63,15.64,15.96,15.92,15.46,2.47,2.31,2.31,-,-,1.88
53,Buildings,-,135.13,-,151.53,-,21.72,-,-,-,-,-,-,-,-,-
54,Machinery,-,116.21,-,101.1,-,89.04,-,83.64,-,84.32,-,49.78,-,-,-
55,Construction In Progress,-,57.74,-,43.07,-,123.53,-,5.93,-,-,-,9.08,-,-,-
