,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
16,Gain (Loss) on Sale of Investments,-6.47,-3.87,-2.47,-1.84,-1.18,0.35,1.28,-4.75,-0.21,1,0.01,-4.35,2.28,0.18,0.18
17,Gain (Loss) on Sale of Assets,-,-,-,-,-,0.09,0.02,0.11,0.02,-,-,-,-,0.02,0.02
18,Asset Writedown,-2.72,1.16,-1.16,0.64,-0.64,-0.22,0.22,1.17,-1.17,-,-,0.45,-0.45,-,-
19,Other Unusual Items,-77.73,77.74,0.02,-11.55,-,-0.02,0.02,145.19,-0.08,0.08,-,77.21,-0.05,0.03,0.03
20,Pretax Income,20.27,32.15,12.7,29.19,87.61,62.54,21.02,72.67,72.41,29.95,10.48,62.48,57.11,9.86,9.86
21,Income Tax Expense,-0.41,1.94,5.03,-0.13,0.01,-0.13,-0.13,-,-,-,-,-,-,-,-
22,Net Income,20.67,30.21,7.67,29.32,87.59,62.66,21.15,72.67,72.41,29.95,10.48,62.48,57.11,9.86,9.86
23,Net Income to Common,20.67,30.21,7.67,29.32,87.59,62.66,21.15,72.67,72.41,29.95,10.48,62.48,57.11,9.86,9.86
24,Net Income Growth,-76.40%,-51.80%,-63.75%,-59.65%,20.96%,109.26%,101.71%,16.30%,26.81%,203.71%,6.32%,-,-,-,-
25,Shares Outstanding (Basic),544,541,544,541,543,542,544,527,507,434,435,438,434,434,434
26,Shares Outstanding (Diluted),544,541,544,541,543,542,544,527,507,434,435,438,434,434,434
27,Shares Change (YoY),0.18%,-0.10%,0.01%,2.68%,7.12%,25.03%,24.97%,20.21%,16.79%,-0.19%,0.15%,-,-,-,-
28,EPS (Basic),0.04,0.06,0.01,0.05,0.16,0.12,0.04,0.14,0.14,0.07,0.02,0.14,0.13,0.02,0.02
29,EPS (Diluted),0.04,0.06,0.01,0.05,0.16,0.12,0.04,0.14,0.14,0.07,0.02,0.14,0.13,0.02,0.02
30,EPS Growth,-76.44%,-51.75%,-63.75%,-60.70%,12.92%,67.37%,61.41%,-3.25%,8.57%,204.31%,6.17%,-,-,-,-
31,Free Cash Flow,-47.98,-81.09,41.57,31.26,-45.59,27.25,120.91,133.43,-214.48,34.47,71.97,7.78,-110.84,18.61,18.61
32,Free Cash Flow Per Share,-0.09,-0.15,0.08,0.06,-0.08,0.05,0.22,0.25,-0.42,0.08,0.17,0.02,-0.26,0.04,0.04
33,Dividend Per Share,-,-,-,0.150,-,-,-,0.150,-,-,-,-,-,-,-
34,Gross Margin,93.15%,85.81%,96.58%,92.83%,90.90%,94.54%,97.01%,91.57%,86.12%,87.32%,97.86%,92.36%,90.17%,84.45%,84.45%
35,Operating Margin,31.95%,-25.54%,-0.14%,7.71%,32.27%,18.30%,3.47%,-26.58%,35.50%,8.08%,13.99%,-3.12%,33.74%,10.44%,10.44%
36,Profit Margin,6.90%,13.11%,3.59%,7.91%,37.31%,25.57%,13.23%,23.05%,33.48%,17.67%,10.81%,26.64%,35.16%,10.81%,10.81%
37,Free Cash Flow Margin,-16.01%,-35.21%,19.47%,8.43%,-19.42%,11.12%,75.67%,42.32%,-99.16%,20.34%,74.19%,3.32%,-68.26%,20.41%,20.41%
38,EBITDA,110.74,-42.75,14.66,43.55,94.56,65.72,24.37,-64.97,87.7,31.26,24.48,3.58,64.64,19.37,19.37
39,EBITDA Margin,36.94%,-18.56%,6.87%,11.74%,40.28%,26.82%,15.25%,-20.61%,40.54%,18.45%,25.23%,1.53%,39.80%,21.24%,21.24%
40,D&A For EBITDA,14.96,16.08,14.96,14.96,18.82,20.87,18.82,18.82,10.91,17.57,10.91,10.91,9.85,9.85,9.85
41,EBIT,95.78,-58.83,-0.3,28.59,75.74,44.85,5.55,-83.79,76.79,13.69,13.57,-7.33,54.79,9.52,9.52
42,EBIT Margin,31.95%,-25.54%,-0.14%,7.71%,32.27%,18.30%,3.47%,-26.58%,35.50%,8.08%,13.99%,-3.12%,33.74%,10.44%,10.44%
43,Effective Tax Rate,-,6.04%,39.64%,-,0.02%,-,-,-,-,-,-,-,-,-,-
44,Revenue as Reported,299.75,230.33,213.46,370.81,234.75,245.05,159.78,315.27,216.3,169.48,97.01,234.54,162.4,91.18,91.18
