,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
14,Other Non Operating Income (Expenses),3.6,-1.43,-0.25,0.09,-2.97,2.86,-0.57,0.54,-3.63,3.78,0.04,-0.14,0.32,-0.51,0.05,-0.13,0.18,-0.1
15,EBT Excluding Unusual Items,46.17,34.27,16.64,8.91,3.24,25.55,16.39,7.93,-3.7,12.22,25.95,9.48,-3.77,28.73,29.68,6,-0.78,4.22
16,Gain (Loss) on Sale of Investments,-9.15,0.13,9.27,-0.26,0.11,0.15,0.17,0.08,-1.49,0.49,-0.41,1.31,0.08,0.01,0.02,-0.01,-0.03,0
17,Gain (Loss) on Sale of Assets,-0.02,0.04,-0.04,0.02,-0,0.02,-0,-,-0.05,0.02,-0.01,-,-0.06,0.02,-0.02,-0,-0.19,-0
18,Asset Writedown,-,-,-,-,3.49,-3.49,-,-,-3.33,-,-,-,-,-,-,-,-,-
19,Other Unusual Items,-2.05,-4.47,6.54,-0.01,11.31,-,-,-,13.3,-0.01,0.01,-,23.39,-0.06,0.06,-,24.19,-
20,Pretax Income,34.95,29.97,32.41,8.65,18.15,22.23,16.55,8.01,4.73,12.73,25.54,10.79,19.65,28.71,29.74,5.98,23.19,4.22
21,Income Tax Expense,-0.11,0,-,0.12,0.01,0,-0.14,-,-0.37,0.12,-0.01,0.3,-0.28,-,0.16,0.25,-,-
22,Net Income,35.07,29.97,32.41,8.53,18.13,22.22,16.69,8.01,5.1,12.61,25.55,10.49,19.93,28.71,29.58,5.73,23.19,4.22
23,Net Income to Common,35.07,29.97,32.41,8.53,18.13,22.22,16.69,8.01,5.1,12.61,25.55,10.49,19.93,28.71,29.58,5.73,23.19,4.22
24,Net Income Growth,93.39%,34.87%,94.11%,6.57%,255.84%,76.22%,-34.66%,-23.68%,-74.43%,-56.07%,-13.62%,83.05%,-14.05%,580.75%,-,-,-,-
25,Shares Outstanding (Basic),147,142,146,146,145,149,153,137,148,150,142,146,123,112,108,109,141,101
26,Shares Outstanding (Diluted),147,142,146,146,145,149,153,137,148,150,142,146,123,112,108,109,141,101
27,Shares Change (YoY),1.31%,-5.08%,-4.71%,6.57%,-2.52%,-0.19%,7.92%,-6.14%,20.18%,33.62%,31.34%,34.03%,-12.45%,10.71%,-,-,-,-
28,EPS (Basic),0.24,0.21,0.22,0.06,0.13,0.15,0.11,0.06,0.03,0.08,0.18,0.07,0.16,0.26,0.27,0.05,0.16,0.04
29,EPS (Diluted),0.24,0.21,0.22,0.06,0.13,0.15,0.11,0.06,0.03,0.08,0.18,0.07,0.16,0.26,0.27,0.05,0.16,0.04
30,EPS Growth,90.88%,42.08%,103.70%,0%,265.03%,76.55%,-39.46%,-18.69%,-78.72%,-67.12%,-34.23%,36.57%,-1.83%,514.92%,-,-,-,-
31,Free Cash Flow,-,6.38,34.06,-10.4,44.33,31.95,33.79,17.85,-47.76,-36.95,-62.9,-40.71,14.24,-0.66,50.93,-0.15,9.34,-
32,Free Cash Flow Per Share,-,0.05,0.23,-0.07,0.31,0.21,0.22,0.13,-0.32,-0.25,-0.44,-0.28,0.12,-0.01,0.47,-0.00,0.07,-
33,Dividend Per Share,-,-,-,-,0.167,-,-,-,0.167,-,-,-,-,-,-,-,-,-
34,Gross Margin,233.21%,48.16%,47.22%,45.42%,41.50%,45.48%,41.45%,41.00%,33.10%,39.99%,38.92%,42.52%,41.25%,44.94%,46.90%,39.85%,39.20%,37.25%
35,Operating Margin,40.73%,13.00%,3.81%,-1.54%,-4.67%,9.68%,2.88%,-3.60%,-17.96%,-1.90%,10.41%,0.50%,-5.46%,16.51%,19.02%,3.55%,-0.71%,3.41%
36,Profit Margin,18.93%,16.10%,20.00%,7.20%,12.60%,14.16%,12.11%,9.84%,4.76%,13.26%,20.34%,12.08%,16.40%,18.16%,20.40%,5.64%,15.32%,3.25%
37,Free Cash Flow Margin,-,3.43%,21.02%,-8.78%,30.81%,20.36%,24.51%,21.92%,-44.58%,-38.84%,-50.08%,-46.88%,11.72%,-0.41%,35.12%,-0.15%,6.17%,-
38,EBITDA,76.69,25.47,7.52,-0.55,-5.44,20.47,10.18,2.35,-13.96,2.12,18.07,4.38,-2.69,30.08,31.18,7.59,2.9,6.72
39,EBITDA Margin,41.41%,13.68%,4.64%,-0.47%,-3.78%,13.05%,7.38%,2.89%,-13.03%,2.23%,14.39%,5.04%,-2.22%,19.02%,21.50%,7.46%,1.92%,5.18%
40,D&A For EBITDA,1.27,1.27,1.35,1.27,1.27,5.28,6.21,5.28,5.28,3.94,5,3.94,3.94,3.98,3.59,3.98,3.98,2.3
41,EBIT,75.43,24.2,6.17,-1.82,-6.71,15.19,3.97,-2.93,-19.24,-1.81,13.08,0.44,-6.63,26.1,27.58,3.61,-1.08,4.43
42,EBIT Margin,40.73%,13.00%,3.81%,-1.54%,-4.67%,9.68%,2.88%,-3.60%,-17.96%,-1.90%,10.41%,0.50%,-5.46%,16.51%,19.02%,3.55%,-0.71%,3.41%
43,Effective Tax Rate,-,-,-,1.38%,0.07%,0.01%,-,-,-,0.91%,-,2.75%,-,-,0.55%,4.14%,-,-
44,Revenue as Reported,-,186.18,162.03,118.47,143.9,156.9,137.87,81.43,107.13,95.14,125.6,86.83,121.53,158.1,145,101.64,151.33,129.89
