,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
12,Other Intangible Assets,-,52.02,47.58,48.09,48.2,48.02,52.52,55.37,51.98,35.54,31.54,34.92,37.34,23.78,25.57,-,30.34,33.4
13,Long-Term Deferred Charges,-,-,-,-,-,-,0.01,0.02,0.05,0.08,0.1,0.14,0.17,0.2,0.16,-,0.21,0.25
14,Other Long-Term Assets,-,-,-,-,-,63.58,-,41.23,-,-,-,-,-,-,-,-,-,-
15,Total Assets,-,2073,1946,1903,1927,1869,1845,1826,1851,1849,1836,1825,1819,592.35,556.55,-,492.62,458.64
16,Accounts Payable,-,62.53,28.63,32.91,10.27,38.57,21.53,21.6,34.01,43.44,30,70.78,36.09,58.99,36.46,-,29.5,20.96
17,Accrued Expenses,-,22.46,45.06,6.39,40.82,11.36,29.17,4.82,28.24,11.9,35.59,4.81,44.6,13.15,33.96,-,34.53,27.01
18,Short-Term Debt,-,115,54.04,44.44,44.45,-,-,-,-,-,-,-,-,-,-,-,-,-
19,Current Portion of Leases,-,1.3,2.4,3.55,4.63,1.13,2.17,3.11,3.72,1.12,1.45,2.35,3.23,-,1.9,-,-,-
20,Current Income Taxes Payable,-,1.28,-,2.4,0.01,2.31,-,0.64,-,1.35,0.12,0.81,-,1.13,0.16,-,-,-
21,Current Unearned Revenue,-,2.13,0.02,1.23,0.16,1.76,0.02,0.02,0.02,0.02,0.05,1.64,0.05,1.42,5.33,-,0.42,2.79
22,Other Current Liabilities,-,11.71,2.54,6.17,3.82,10.51,7.69,9.74,7.07,13.92,10.31,13.01,13.69,10.3,4.66,-,4.4,9.01
23,Total Current Liabilities,-,216.41,132.69,97.08,104.16,65.65,60.58,39.93,73.06,71.75,77.53,93.39,97.66,85,82.47,-,68.85,59.78
24,Long-Term Leases,-,6.16,6.16,6.22,6.03,5.17,5.16,4.76,3.81,7.41,2.36,2.52,2.36,5.59,5.58,-,-,-
25,Long-Term Unearned Revenue,-,10.39,11.12,12,6.69,5.45,6.46,4.75,4.68,5.31,6.14,6.48,7.21,8.09,7.89,-,6.6,7.73
26,Total Liabilities,-,232.96,149.98,115.31,116.89,76.26,72.21,49.44,81.55,84.47,86.03,102.39,107.22,98.67,95.94,-,75.45,67.51
27,Common Stock,-,146.14,146.14,122,122,122,122,122,122,122,122,122,122,91.5,91.5,-,91.5,91.5
28,Additional Paid-In Capital,-,1571,1569,1594,1594,1594,1594,1594,1594,1594,1594,1594,1594,425.05,420.82,-,412.37,409.01
29,Retained Earnings,-,126.63,96.66,88.39,79.85,61.72,39.5,47.2,39.2,34.1,21.49,-4.06,-14.56,-34.48,-63.19,-,-98.5,-122.55
30,Treasury Stock,-,-32.26,-32.26,-32.26,-1.59,-1.24,-,-,-,-,-,-,-,-,-,-,-,-
31,Comprehensive Income & Other,-,29.17,16.29,15.94,15.81,16.87,17.37,13.35,14.39,14.89,12.85,10.8,10.96,11.62,11.47,-,11.8,13.17
32,Shareholders' Equity,1840,1840,1796,1788,1810,1793,1773,1776,1769,1765,1750,1722,1712,493.68,460.6,417.17,417.17,391.13
33,Total Liabilities & Equity,-,2073,1946,1903,1927,1869,1845,1826,1851,1849,1836,1825,1819,592.35,556.55,-,492.62,458.64
34,Total Debt,122.46,122.46,62.61,54.21,55.11,6.3,7.34,7.87,7.53,8.53,3.82,4.86,5.59,5.59,7.48,-,-,-
35,Net Cash (Debt),1406,1406,1418,1404,1440,1396,1373,1371,1395,1437,1474,1528,1563,353.43,351.73,308.9,308.9,299.1
36,Net Cash Growth,-2.39%,0.70%,3.25%,2.47%,3.22%,-2.82%,-6.85%,-10.28%,-10.70%,306.49%,319.17%,394.51%,405.89%,18.16%,-,-,-,-
37,Net Cash Per Share,9.59,9.92,9.71,9.59,9.96,9.35,8.96,9.98,9.40,9.60,10.38,10.44,12.66,3.16,3.25,2.83,2.19,2.96
38,Filing Date Shares Outstanding,146.54,141.73,144.82,144.82,146.34,146.4,146.4,146.4,146.4,146.4,146.4,146.4,146.4,109.8,109.8,109.2,109.8,109.8
39,Total Common Shares Outstanding,146.54,141.73,144.82,144.82,146.34,146.4,146.4,146.4,146.4,146.4,146.4,146.4,146.4,109.8,109.8,109.2,109.8,109.8
40,Working Capital,-,1682,1654,1657,1673,1665,1656,1661,1698,1713,1704,1673,1660,457.87,425.17,-,380.53,354.21
41,Book Value Per Share,12.98,12.98,12.40,12.34,12.37,12.25,12.11,12.13,12.08,12.05,11.95,11.76,11.69,4.50,4.19,3.80,3.80,3.56
42,Tangible Book Value,1788,1788,1749,1740,1762,1745,1720,1721,1717,1729,1718,1687,1675,469.9,435.03,386.83,386.83,357.73
43,Tangible Book Value Per Share,12.62,12.62,12.08,12.01,12.04,11.92,11.75,11.75,11.73,11.81,11.74,11.53,11.44,4.28,3.96,3.52,3.52,3.26
44,Machinery,-,-,47.28,-,46.01,-,43.14,-,41.95,-,38.32,-,36.13,-,31.57,-,27.69,27.68
