,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
39,Net Cash Growth,-56.01%,-48.48%,-19.67%,-28.28%,-9.60%,-30.41%,-,132.70%,141.64%,-,-,-,-,-,-,-
40,Net Cash Per Share,2.23,2.27,3.81,3.74,5.06,4.04,4.63,5.22,5.42,7.63,-,3.04,3.18,-,-,-
41,Filing Date Shares Outstanding,176.78,174.13,175.42,178.67,180.85,180.85,180.85,180.85,180.85,180.85,130.96,135.28,135.64,137.17,-,-
42,Total Common Shares Outstanding,176.78,174.13,175.42,178.67,180.85,180.85,180.85,180.85,180.85,180.85,130.96,135.28,135.64,137.17,-,-
43,Working Capital,-,541.13,636.12,758.93,862.93,919.65,960.33,1117,1149,1133,-,-,266.82,-,-,-
44,Book Value Per Share,6.08,6.08,6.45,6.52,6.74,6.84,6.94,7.21,7.34,6.75,-,2.50,2.50,-,-,-
45,Tangible Book Value,1018,1018,1091,1124,1177,1196,1214,1286,1311,1203,-,321.42,321.42,-,-,-
46,Tangible Book Value Per Share,5.84,5.84,6.22,6.29,6.51,6.61,6.71,7.11,7.25,6.65,-,2.37,2.37,-,-,-
47,Buildings,-,-,173.14,-,173.05,-,165.65,-,-,-,-,-,-,-,-,-
48,Machinery,-,-,18.08,-,17.61,-,13.34,-,15.96,-,-,-,12.22,-,-,-
49,Construction In Progress,-,-,138.78,-,10.85,-,-,-,0.02,-,-,-,-,-,-,-
50,Order Backlog,-,-,-,2445,-,-,-,-,-,-,-,-,-,-,-,-
