,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
17,Gain (Loss) on Sale of Assets,0.08,-0.19,0.22,9.9,1.21,1.68,0.07,25.08,1.29,-0.21,0.01,-1.37,-0.06,0.08,0.08
18,Asset Writedown,-1.62,0.02,-,2.02,-2.04,0.02,0.01,0.52,-0.58,0.06,0,2.89,0.74,-1.54,-1.54
19,Other Unusual Items,3.52,0.64,0.3,15.6,-0,0,-,14.33,-0.24,0.24,-,14.73,-,-,-
20,Pretax Income,-27.62,374.37,-73.01,-112.15,-15.15,399.7,-65.85,-110.46,-17.54,356.78,-26.53,-116.69,-25.05,203.58,203.58
21,Income Tax Expense,-4.46,71.22,-2.52,-35.34,0.18,78.89,-1.03,-20.24,-3.34,82.19,5.18,-27.1,-1.31,50.08,50.08
22,Earnings From Continuing Operations,-23.16,303.14,-70.5,-76.82,-15.33,320.81,-64.82,-90.22,-14.2,274.59,-31.72,-89.59,-23.73,153.5,153.5
23,Minority Interest in Earnings,0.08,0.13,0.74,1.24,0.27,-0.5,0.88,0.21,0.25,-0.34,-0.16,0.43,0.6,-0.53,-0.53
24,Net Income,-23.08,303.27,-69.76,-75.57,-15.06,320.31,-63.94,-90.01,-13.96,274.25,-31.88,-89.16,-23.13,152.97,152.97
25,Net Income to Common,-23.08,303.27,-69.76,-75.57,-15.06,320.31,-63.94,-90.01,-13.96,274.25,-31.88,-89.16,-23.13,152.97,152.97
26,Net Income Growth,-,-5.32%,-,-,-,16.79%,-,-,-,79.28%,-,-,-,-,-
27,Shares Outstanding (Basic),190,194,195,201,188,207,199,201,165,148,149,149,148,148,148
28,Shares Outstanding (Diluted),190,194,195,201,188,207,199,201,165,148,149,149,148,148,148
29,Shares Change (YoY),1.14%,-6.19%,-1.80%,-0.34%,13.93%,39.98%,33.74%,35.25%,11.29%,-0.31%,0.46%,-,-,-,-
30,EPS (Basic),-0.12,1.56,-0.36,-0.38,-0.08,1.55,-0.32,-0.45,-0.08,1.86,-0.21,-0.60,-0.16,1.03,1.03
31,EPS (Diluted),-0.12,1.56,-0.36,-0.38,-0.08,1.55,-0.32,-0.45,-0.08,1.86,-0.21,-0.60,-0.16,1.03,1.03
32,EPS Growth,-,0.93%,-,-,-,-16.57%,-,-,-,79.84%,-,-,-,-,-
33,Free Cash Flow,-25.32,303.28,146.22,-168.13,-215.87,63.03,111.23,-116.54,-149.87,454.78,-55.73,-280.52,-393.45,291.91,291.91
34,Free Cash Flow Per Share,-0.13,1.56,0.75,-0.84,-1.15,0.31,0.56,-0.58,-0.91,3.08,-0.37,-1.89,-2.66,1.97,1.97
35,Dividend Per Share,-,-,-,0.714,-,-,-,0.204,-,0.357,-,-,-,-,-
36,Dividend Growth,-,-,-,249.98%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,29.28%,46.24%,34.28%,11.05%,29.12%,42.24%,34.67%,17.46%,29.19%,41.79%,40.39%,-26.01%,33.95%,46.20%,46.20%
38,Operating Margin,-6.25%,27.15%,-35.66%,-64.00%,-2.68%,24.03%,-30.86%,-73.12%,-3.92%,23.85%,-6.71%,-59.40%,-4.82%,19.36%,19.36%
39,Profit Margin,-4.94%,22.07%,-33.68%,-34.37%,-2.74%,19.42%,-29.59%,-45.34%,-3.07%,18.22%,-10.51%,-39.68%,-4.35%,14.32%,14.32%
40,Free Cash Flow Margin,-5.42%,22.07%,70.59%,-76.46%,-39.28%,3.82%,51.48%,-58.71%,-32.95%,30.21%,-18.38%,-124.84%,-74.01%,27.33%,27.33%
41,EBITDA,-16.58,386.42,-61.25,-128.11,-3.81,407.11,-55.78,-134.26,-8.4,369.05,-10.9,-124.04,-20.8,211.59,211.59
42,EBITDA Margin,-3.55%,28.12%,-29.57%,-58.26%,-0.69%,24.68%,-25.82%,-67.64%,-1.85%,24.51%,-3.60%,-55.20%,-3.91%,19.81%,19.81%
43,D&A For EBITDA,12.62,13.31,12.62,12.62,10.9,10.67,10.9,10.9,9.43,9.98,9.43,9.43,4.82,4.82,4.82
44,EBIT,-29.2,373.11,-73.87,-140.73,-14.71,396.45,-66.68,-145.16,-17.83,359.08,-20.33,-133.47,-25.62,206.77,206.77
45,EBIT Margin,-6.25%,27.15%,-35.66%,-64.00%,-2.68%,24.03%,-30.86%,-73.12%,-3.92%,23.85%,-6.71%,-59.40%,-4.82%,19.36%,19.36%
46,Effective Tax Rate,-,19.03%,-,-,-,19.74%,-,-,-,23.04%,-,-,-,24.60%,24.60%
47,Revenue as Reported,466.97,1374,207.14,219.89,549.63,1650,216.07,198.51,454.77,1506,303.2,224.71,531.59,1068,1068
