,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
13,EV/EBIT Ratio,139.32,-,161.72,-,-,171.78,266.72,350.83,45502.95,-,834.31,-,142.09,98.25,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-64.92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.08,0.08,0.08,0.05,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,-,-,-,-,-
16,Debt / EBITDA Ratio,2.79,-,0.64,2.07,1.07,0.14,0.35,0.16,0.23,0.48,0.69,-,0.31,0.08,0.07,0.24,-,-,-,-,-
17,Debt / FCF Ratio,-,-,-,-,-,-0.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Asset Turnover,-,0.35,0.46,0.42,0.64,0.37,0.44,0.34,0.46,0.33,0.25,0.24,0.47,0.51,-,-,-,-,0.32,-,
19,Inventory Turnover,-,-,0.69,1.23,0.74,2.40,0.82,1.16,0.62,1.86,0.78,1.05,0.99,2.23,0.63,-,-,-,-,0.73,-
20,Quick Ratio,-,-,3.12,4.31,6.59,5.51,6.01,6.58,8.01,6.22,9.57,10.58,19.76,14.97,3.93,4.01,-,4.00,-,2.89,2.89
21,Current Ratio,-,-,4.55,6.04,9.16,7.11,8.09,8.67,10.61,7.81,11.82,12.63,22.77,16.90,6.25,6.26,-,6.31,-,5.22,5.22
22,Return on Equity (ROE),-4.48%,8.94%,0.85%,0.73%,4.44%,2.29%,6.42%,5.09%,4.66%,1.48%,0.68%,1.11%,16.30%,8.69%,0.63%,6.94%,36.00%,-7.77%,-6.63%,-,
23,Return on Assets (ROA),-,5.23%,-1.08%,-0.32%,2.10%,0.89%,2.22%,2.38%,-0.74%,0.27%,-2.02%,0.36%,4.30%,7.72%,-,-,-,-,-3.83%,-,
24,Return on Capital (ROIC),-3.09%,5.82%,-1.20%,-0.36%,2.36%,0.98%,2.44%,2.64%,-0.82%,0.29%,-2.15%,0.38%,4.66%,8.75%,0.44%,5.36%,17.78%,-0.65%,-4.42%,-,
25,Return on Capital Employed (ROCE),-,-,2.64%,-,-,3.13%,2.00%,1.73%,0.01%,-,0.75%,-,3.09%,3.86%,11.71%,8.33%,-,3.20%,-,-,-
26,Earnings Yield,0.38%,0.39%,0.76%,0.47%,0.54%,0.70%,0.72%,0.60%,0.40%,0.25%,0.51%,0.85%,0.87%,1.13%,-,-,-,-,-,-,-
27,FCF Yield,-,-3.51%,-4.21%,-2.46%,-1.45%,-2.30%,-2.04%,-1.46%,-1.38%,-1.51%,-1.37%,-1.48%,-0.51%,-,-,-,-,-,-,-,
28,Dividend Yield,0.71%,-,-,-,-,0.49%,-,-,-,-,-,-,-,0.51%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,8.07%,1320.88%,-,12.87%,18.35%,-,-,-,28.59%,1465.20%,-,-,-,-,-,-,-,-,-
30,Buyback Yield / Dilution,0.95%,4.37%,14.33%,-8.21%,-0.06%,-23.95%,22.56%,4.08%,-21.43%,4.95%,-89.41%,-41.09%,-8.60%,-29.31%,5.43%,0.91%,-4.56%,-,-,-,-
31,Total Shareholder Return,1.67%,4.37%,14.33%,-8.21%,-0.06%,-23.46%,22.56%,4.08%,-21.43%,4.95%,-89.41%,-41.09%,-8.60%,-28.80%,5.43%,0.91%,-4.56%,-,-,-,-
