,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
27,Net Income Growth,-29.68%,116.00%,66.84%,38.21%,73.98%,-20.03%,11.92%,570.93%,-23.45%,389.51%,48.05%,-,-,-,-,-
28,Shares Outstanding (Basic),568,560,518,600,537,610,495,607,587,545,702,453,492,399,469,546
29,Shares Outstanding (Diluted),568,560,518,600,537,610,495,607,587,545,702,453,492,399,469,546
30,Shares Change (YoY),5.78%,-8.20%,4.66%,-1.28%,-8.38%,12.03%,-29.47%,34.19%,19.14%,36.35%,49.75%,-17.18%,-,-,-,-
31,EPS (Basic),0.15,0.17,0.27,0.07,0.23,0.07,0.17,0.05,0.12,0.10,0.11,0.01,0.19,0.03,0.11,-0.02
32,EPS (Diluted),0.15,0.17,0.27,0.07,0.23,0.07,0.17,0.05,0.12,0.10,0.11,0.01,0.19,0.03,0.11,-0.02
33,EPS Growth,-33.52%,135.31%,59.40%,40.00%,89.90%,-28.62%,58.68%,400.00%,-35.75%,259.02%,-1.13%,-,-,-,-,-
34,Free Cash Flow,-,165.65,-118.36,-255.44,583.11,151.25,-101.12,-234.91,371.2,22.56,40.57,-215.03,315.46,-144.11,21.83,-235.66
35,Free Cash Flow Per Share,-,0.30,-0.23,-0.43,1.09,0.25,-0.20,-0.39,0.63,0.04,0.06,-0.48,0.64,-0.36,0.05,-0.43
36,Dividend Per Share,-,-,0.135,-,0.175,-,-,-,0.125,-,-,-,0.085,-,-,-
37,Dividend Growth,-,-,-,-,40.00%,-,-,-,47.06%,-,-,-,-,-,-,-
38,Gross Margin,-27.19%,37.35%,27.36%,32.15%,32.91%,37.27%,23.15%,24.56%,26.84%,31.63%,34.42%,25.36%,30.05%,28.34%,29.84%,27.97%
39,Operating Margin,15.33%,14.91%,14.62%,7.14%,14.24%,11.23%,10.03%,5.33%,8.14%,12.94%,17.14%,-1.99%,13.91%,3.86%,12.76%,-10.40%
40,Profit Margin,9.44%,17.18%,13.57%,8.31%,13.45%,11.67%,10.72%,6.60%,10.21%,13.61%,16.70%,1.85%,14.06%,4.91%,14.24%,-7.51%
41,Free Cash Flow Margin,-,29.90%,-11.27%,-50.55%,64.60%,40.05%,-12.69%,-51.06%,54.30%,5.57%,8.87%,-88.10%,48.65%,-62.86%,6.03%,-161.92%
42,EBITDA,150.04,94.07,167.6,47.55,140,49.82,88.81,31.92,63.04,59.05,85.53,1.8,96.83,15.14,52.78,-8.85
43,EBITDA Margin,16.60%,16.98%,15.96%,9.41%,15.51%,13.19%,11.14%,6.94%,9.22%,14.59%,18.71%,0.74%,14.93%,6.60%,14.58%,-6.08%
44,D&A For EBITDA,11.44,11.44,14.06,11.44,11.44,7.42,8.89,7.42,7.42,6.66,7.18,6.66,6.66,6.29,6.61,6.29
45,EBIT,138.6,82.63,153.55,36.1,128.55,42.4,79.92,24.5,55.62,52.39,78.35,-4.86,90.17,8.85,46.16,-15.14
46,EBIT Margin,15.33%,14.91%,14.62%,7.14%,14.24%,11.23%,10.03%,5.33%,8.14%,12.94%,17.14%,-1.99%,13.91%,3.86%,12.76%,-10.40%
47,Effective Tax Rate,13.61%,10.36%,11.41%,6.04%,10.83%,7.12%,10.07%,6.88%,-,12.12%,12.82%,-,12.76%,-,3.14%,-
48,Revenue as Reported,-,554.09,1050,505.34,902.67,377.66,796.95,460.04,683.66,404.84,457.12,244.07,648.49,229.27,361.9,145.54
