,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
14,Long-Term Accounts Receivable,-,-,36.08,32.63,27.47,-,53.73,34.41,41.22,68.22,94.78,84.73,80.45,-,-,-
15,Long-Term Deferred Tax Assets,-,42.9,39.7,38.84,39.07,21.36,21.74,17.18,20.62,16.95,15.58,13.16,11.35,-,-,-
16,Long-Term Deferred Charges,-,34.79,37.38,38.07,39.82,28.23,28.24,19.85,19.91,19.25,14.74,15.25,16.31,-,-,-
17,Other Long-Term Assets,-,60.44,8.32,8.25,8.77,46.21,13.91,7.69,38.01,7.76,7.8,7.84,7.88,-,-,-
18,Total Assets,-,4242,4131,4442,4618,4083,3673,3613,3700,3363,3197,3056,3158,-,-,-
19,Accounts Payable,-,470.44,447.74,515.62,697.98,591.31,510.79,537.51,487.46,495,444.31,376.44,454.26,-,-,-
20,Accrued Expenses,-,110.13,88.28,47.95,44.29,82.19,66.48,29.14,12.17,50.31,49.25,22.43,11.98,-,-,-
21,Current Portion of Leases,-,26.93,28.68,30.53,32.01,31.27,28.82,12.3,13.45,13.94,16.97,17.96,17.52,-,-,-
22,Current Income Taxes Payable,-,27.44,19.46,24.04,18.78,9.15,6.33,0.73,0.72,8.27,13.83,6.93,12.75,-,-,-
23,Current Unearned Revenue,-,414.42,361.56,787.12,791.43,495.12,251.05,342.81,490.34,205.41,107.2,146,173.06,-,-,-
24,Other Current Liabilities,-,13.7,128.94,21.82,54.8,34.69,25,7.46,36.58,12.92,56.05,6.47,13.68,-,-,-
25,Total Current Liabilities,-,1063,1075,1427,1639,1244,888.46,929.94,1041,785.86,687.61,576.23,683.25,-,-,-
26,Long-Term Leases,-,93.25,73.42,77.55,81.9,88.17,75.55,12.91,13.96,15.25,8.22,10.68,14.1,-,-,-
27,Long-Term Unearned Revenue,-,8.78,5.95,6.68,7.85,7.31,8.65,13.88,14.25,14.61,11.64,11.51,10.19,-,-,-
28,Long-Term Deferred Tax Liabilities,-,32.6,30.85,33.54,35.31,15.99,16.93,7.35,11.74,0.57,0.66,0.76,0.84,-,-,-
29,Other Long-Term Liabilities,-,38.21,36.71,34.12,32.88,28.52,28.82,29.01,29.97,26.82,24.55,20.74,18.3,-,-,-
30,Total Liabilities,-,1236,1222,1579,1797,1384,1018,993.09,1111,843.12,732.68,619.92,726.68,-,-,-
31,Common Stock,-,564.7,564.7,564.7,564.7,564.7,564.7,564.7,564.7,564.7,564.7,564.7,564.7,-,-,-
32,Additional Paid-In Capital,-,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,-,-,-
33,Retained Earnings,-,699.71,604.51,560.83,518.86,397.22,354.94,340.11,309.77,239.98,184.87,156.55,152.02,-,-,-
34,Total Common Equity,2979,2979,2884,2840,2798,2677,2634,2620,2589,2519,2464,2436,2432,-,-,1358
35,Minority Interest,-,26.67,24.9,23.21,22.59,22.18,20.03,-,-,-,-,-,-,-,-,-
36,Shareholders' Equity,3006,3006,2909,2864,2821,2699,2654,2620,2589,2519,2464,2436,2432,-,-,1358
37,Total Liabilities & Equity,-,4242,4131,4442,4618,4083,3673,3613,3700,3363,3197,3056,3158,-,-,-
38,Total Debt,120.17,120.17,102.1,108.08,113.91,119.45,104.37,25.21,27.41,29.19,25.19,28.64,31.62,-,-,-
39,Net Cash (Debt),2073,2073,2026,2165,2415,1829,1710,2151,2382,2033,2072,2032,2248,-,-,1387
40,Net Cash Growth,-14.15%,13.36%,18.48%,0.68%,1.38%,-10.03%,-17.47%,5.82%,5.95%,-,-,46.59%,-,-,-,-
41,Net Cash Per Share,3.65,3.70,3.91,3.61,4.49,3.00,3.45,3.54,4.06,3.73,2.95,4.49,4.57,-,-,2.54
42,Filing Date Shares Outstanding,564.7,564.7,564.7,564.7,564.7,564.7,564.7,564.7,564.7,564.7,564.7,564.7,564.7,399.38,469.02,546.48
43,Total Common Shares Outstanding,564.7,564.7,564.7,564.7,564.7,564.7,564.7,564.7,564.7,564.7,564.7,564.7,564.7,399.38,469.02,546.48
44,Working Capital,-,2519,2446,2397,2343,2284,2238,2385,2339,2302,2220,2202,2192,-,-,-
45,Book Value Per Share,5.28,5.28,5.11,5.03,4.96,4.74,4.67,4.64,4.59,4.46,4.36,4.31,4.31,-,-,2.83
46,Tangible Book Value,2859,2859,2765,2719,2678,2581,2540,2579,2548,2491,2435,2406,2400,-,-,1330
47,Tangible Book Value Per Share,5.06,5.06,4.90,4.82,4.74,4.57,4.50,4.57,4.51,4.41,4.31,4.26,4.25,-,-,2.77
48,Buildings,-,-,28.45,-,28.45,-,22.52,-,1.99,-,1.99,-,1.99,-,-,-
49,Machinery,-,-,576.31,-,567.57,-,493.22,-,415.76,-,358.93,-,356.1,-,-,-
50,Construction In Progress,-,-,1.47,-,1.9,-,5.44,-,3.84,-,13,-,6.15,-,-,-
