,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
21,Net Income Growth,-45.30%,-18.57%,-8.48%,10.21%,-21.06%,-10.51%,37.42%,-10.92%,-1.66%,28.96%,-4.59%,2.54%,-13.53%,-16.82%,56.38%,253.69%,-,-,-,-
22,Shares Outstanding (Basic),386,395,423,384,391,396,420,387,383,405,427,391,388,418,390,347,324,402,333,359
23,Shares Outstanding (Diluted),386,395,423,384,391,396,420,387,383,405,427,391,388,418,390,347,324,402,333,359
24,Shares Change (YoY),-1.29%,-0.22%,0.78%,-0.81%,1.97%,-2.38%,-1.70%,-1.02%,-1.28%,-3.02%,9.36%,12.79%,19.76%,4.08%,17.15%,-3.54%,-,-,-,-
25,EPS (Basic),0.04,0.09,0.09,0.10,0.07,0.11,0.10,0.09,0.09,0.12,0.07,0.10,0.09,0.09,0.08,0.11,0.12,0.11,0.06,0.03
26,EPS (Diluted),0.04,0.09,0.09,0.10,0.07,0.11,0.10,0.09,0.09,0.12,0.07,0.10,0.09,0.09,0.08,0.11,0.12,0.11,0.06,0.03
27,EPS Growth,-44.59%,-18.39%,-9.19%,11.11%,-22.58%,-8.33%,39.79%,-10.00%,-0.38%,32.98%,-12.76%,-9.09%,-27.80%,-20.08%,33.49%,266.67%,-,-,-,-
28,Free Cash Flow,-,39.57,23.09,-22.91,-5.62,-36.91,-41.16,-44.63,-7.13,42.86,38.37,45.18,24.43,47.31,23.43,21.14,31.64,36.64,11.76,-11.4
29,Free Cash Flow Per Share,-,0.10,0.05,-0.06,-0.01,-0.09,-0.10,-0.12,-0.02,0.11,0.09,0.12,0.06,0.11,0.06,0.06,0.10,0.09,0.04,-0.03
30,Dividend Per Share,-,-,-,-,0.125,-,-,-,0.347,-,-,-,0.170,-,-,-,-,-,-,-
31,Dividend Growth,-,-,-,-,-63.98%,-,-,-,104.12%,-,-,-,-,-,-,-,-,-,-,-
32,Gross Margin,187.90%,75.89%,75.45%,77.75%,74.64%,76.67%,73.65%,75.62%,72.58%,75.61%,72.26%,74.79%,72.13%,74.52%,75.94%,75.54%,72.35%,75.80%,69.09%,66.28%
33,Operating Margin,18.17%,36.52%,33.51%,32.78%,18.17%,37.53%,34.52%,33.12%,17.96%,38.11%,24.60%,32.23%,20.19%,33.07%,27.17%,35.70%,26.37%,34.78%,23.16%,17.30%
34,Profit Margin,16.04%,30.04%,33.50%,34.47%,27.12%,34.59%,35.33%,34.51%,32.63%,35.73%,29.63%,32.35%,30.31%,31.88%,27.31%,31.73%,32.99%,31.49%,22.08%,18.26%
35,Free Cash Flow Margin,-,33.47%,20.22%,-20.56%,-5.61%,-29.28%,-34.80%,-44.22%,-6.77%,31.43%,37.38%,37.37%,21.19%,39.91%,20.07%,17.59%,25.82%,25.40%,12.74%,-19.30%
36,EBITDA,26.01,52.36,48.61,45.71,27.38,57.33,50.12,43.45,28.94,62.69,35.51,49.67,33.99,49.77,42.7,53.49,42.88,60.54,31.84,20.58
37,EBITDA Margin,28.12%,44.30%,42.57%,41.03%,27.36%,45.48%,42.38%,43.04%,27.47%,45.97%,34.59%,41.09%,29.48%,41.98%,36.58%,44.49%,34.99%,41.96%,34.49%,34.84%
38,D&A For EBITDA,9.2,9.2,10.34,9.2,9.2,10.02,9.3,10.02,10.02,10.71,10.26,10.71,10.71,10.56,10.98,10.56,10.56,10.36,10.46,10.36
39,EBIT,16.81,43.16,38.27,36.51,18.18,47.31,40.83,33.43,18.92,51.98,25.25,38.96,23.28,39.2,31.72,42.92,32.31,50.18,21.38,10.22
40,EBIT Margin,18.17%,36.52%,33.51%,32.78%,18.17%,37.53%,34.52%,33.12%,17.96%,38.11%,24.60%,32.23%,20.19%,33.07%,27.17%,35.70%,26.37%,34.78%,23.16%,17.30%
41,Effective Tax Rate,-,17.86%,9.80%,9.20%,8.87%,13.97%,10.71%,10.31%,15.29%,14.30%,13.09%,12.96%,10.16%,11.48%,11.95%,14.09%,14.73%,12.99%,14.70%,9.53%
42,Revenue as Reported,-,118.2,114.2,111.39,100.07,126.05,118.28,100.93,105.35,136.39,102.65,120.88,115.31,118.54,116.71,120.22,122.54,144.27,92.31,59.07
