,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,P/OCF Ratio,-,-,14.95,13.69,15.21,25.00,24.66,19.43,25.11,15.53,16.52,22.10,26.96,38.05,32.16,46.36,-,-,-,-,-
10,EV/Sales Ratio,5.53,4.73,4.86,4.15,4.83,8.09,7.64,6.24,9.31,6.07,6.31,8.73,10.01,13.39,12.09,16.68,-,-,-,-,-
11,EV/EBITDA Ratio,14.08,11.95,12.40,10.46,12.21,20.21,19.15,15.53,24.30,15.96,16.49,23.64,26.81,35.04,30.61,42.09,-,-,-,-,-
12,EV/EBIT Ratio,17.92,15.31,15.86,13.35,15.43,25.78,24.52,19.82,31.99,20.89,21.50,31.53,35.45,45.98,39.55,53.46,-,-,-,-,-
13,EV/FCF Ratio,-,-,63.27,-44.23,-,-,-,-,-,-,19.88,25.72,33.64,54.21,46.80,74.44,-,-,-,-,-
14,Debt / Equity Ratio,0.18,0.18,0.18,0.18,0.18,0.17,0.12,0.07,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.03,-,-,-,-
15,Debt / EBITDA Ratio,1.46,2.40,1.19,1.21,1.35,1.48,0.71,0.40,0.11,0.08,0.05,0.11,0.11,0.14,0.08,0.14,0.14,-,-,-,-
16,Debt / FCF Ratio,-,-,7.33,-5.96,-,-,-,-,-,-,0.09,0.12,0.16,0.21,0.13,0.24,0.29,-,-,-,-
17,Asset Turnover,-,0.26,0.25,0.24,0.23,0.30,0.30,0.25,0.27,0.37,0.28,0.33,0.33,0.34,0.38,0.46,-,-,-,-,
18,Inventory Turnover,-,-,1.03,1.01,0.89,0.91,1.05,1.10,0.87,0.99,1.10,0.96,1.02,1.05,1.01,1.00,1.14,-,-,-,-
19,Quick Ratio,-,-,4.99,4.71,4.92,4.90,4.85,4.47,7.12,5.18,6.59,6.51,8.31,7.92,7.60,8.51,5.58,5.61,-,4.59,-
20,Current Ratio,-,-,5.76,5.48,5.69,5.68,5.74,5.29,8.21,5.91,7.48,7.39,9.35,8.98,8.65,9.68,6.77,6.71,-,5.51,-
21,Return on Equity (ROE),4.24%,10.27%,11.13%,11.08%,7.89%,13.02%,12.23%,9.97%,10.10%,14.82%,9.33%,12.03%,11.09%,12.34%,11.96%,16.83%,-,-,9.78%,-,
22,Return on Assets (ROA),-,5.92%,5.28%,5.02%,2.56%,7.09%,6.40%,5.28%,3.04%,8.72%,4.30%,6.71%,4.11%,7.11%,6.51%,10.28%,-,-,-,-,
23,Return on Capital (ROIC),2.54%,6.60%,5.89%,5.61%,2.89%,8.07%,7.18%,5.91%,3.44%,9.77%,4.76%,7.36%,4.54%,7.86%,7.25%,11.65%,-,-,6.41%,-,
24,Return on Capital Employed (ROCE),-,-,8.23%,8.65%,8.74%,8.59%,9.15%,10.27%,9.01%,9.69%,10.23%,9.66%,9.87%,10.47%,11.44%,12.57%,15.13%,12.65%,-,3.88%,-
25,Earnings Yield,4.16%,4.70%,5.06%,5.89%,5.15%,3.41%,3.68%,4.19%,2.90%,4.02%,3.90%,2.88%,2.57%,1.99%,2.24%,1.74%,-,-,-,-,-
26,FCF Yield,-,1.24%,-1.69%,-3.64%,-2.97%,-3.09%,-1.31%,0.58%,3.14%,3.84%,3.14%,2.51%,1.62%,1.87%,1.26%,-,-,-,-,-,
27,Dividend Yield,1.61%,-,-,-,-,1.18%,-,-,-,3.85%,-,-,-,1.01%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,128.95%,-,-,-,332.93%,-,-,-,224.15%,-,-,-,-,-,2.78%,44.55%,416.61%,6.71%
29,Buyback Yield / Dilution,0.37%,1.29%,0.22%,-0.78%,0.81%,-1.97%,2.38%,1.70%,1.02%,1.28%,3.02%,-9.36%,-12.79%,-19.76%,-4.08%,-17.15%,3.54%,-,-,-,-
30,Total Shareholder Return,1.97%,1.29%,0.22%,-0.78%,0.81%,-0.79%,2.38%,1.70%,1.02%,5.13%,3.02%,-9.36%,-12.79%,-18.75%,-4.08%,-17.15%,3.54%,-,-,-,-
