,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2022,Q1 2022,Q4 2021,null null,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
13,EV/EBIT Ratio,16.25,11.72,7.89,10.28,9.98,9.31,11.52,10.57,9.39,14.16,11.71,13.13,-,8.37,7.46,8.45,10.87,10.62,10.17,14.35,24.89,Upgrade
14,EV/FCF Ratio,148.28,-,-,-,20.15,45.06,18.75,-,10.10,13.90,15.25,90.06,-,26.25,-,19.25,41.87,46.72,-,58.63,-,Upgrade
15,Debt / Equity Ratio,0.27,0.27,0.22,0.20,0.14,0.14,-,0.13,0.12,0.24,0.24,0.20,-,0.18,0.16,0.15,0.17,0.18,0.20,0.20,0.19,Upgrade
16,Debt / EBITDA Ratio,2.58,2.43,2.90,1.96,1.07,0.75,-,0.85,0.70,2.03,1.73,1.02,-,1.04,1.45,0.57,0.94,0.78,2.05,0.97,0.97,Upgrade
17,Debt / FCF Ratio,33.67,-,-,-,2.72,5.82,-,-,1.09,2.68,3.01,13.66,-,3.79,-,2.16,4.34,5.32,-,5.70,-,Upgrade
18,Asset Turnover,0.35,0.34,0.34,-,-,-,0.30,-,-,0.26,-,-,0.41,0.23,0.45,0.43,0.53,0.28,0.54,0.48,Upgrade,
19,Inventory Turnover,1.19,1.09,1.20,1.19,-,-,-,0.97,-,-,0.76,-,-,1.31,0.70,1.18,1.57,1.80,1.17,1.77,1.75,Upgrade
20,Quick Ratio,1.17,1.17,1.32,1.37,1.32,1.24,-,1.29,1.31,-,1.22,1.26,-,1.30,1.36,1.40,1.34,1.36,1.30,1.30,1.30,Upgrade
21,Current Ratio,1.66,1.66,1.82,1.86,1.81,1.74,-,1.76,1.70,-,1.69,1.65,-,1.88,1.89,1.81,1.83,1.82,1.75,1.68,1.78,Upgrade
22,Return on Equity (ROE),4.21%,2.70%,4.40%,-,-,-,10.22%,-,8.27%,9.87%,-,-,9.39%,7.80%,19.42%,11.37%,19.09%,7.52%,14.91%,13.23%,Upgrade,
23,Return on Assets (ROA),2.80%,1.60%,2.54%,-,-,-,4.34%,-,-,3.55%,-,-,5.20%,2.99%,8.54%,5.50%,7.34%,2.48%,6.06%,5.99%,Upgrade,
24,Return on Capital (ROIC),4.22%,2.39%,3.88%,-,-,-,7.03%,-,4.30%,5.61%,-,-,7.72%,4.55%,13.12%,8.28%,11.12%,3.87%,9.58%,8.68%,Upgrade,
25,Return on Capital Employed (ROCE),6.61%,6.61%,8.60%,8.59%,9.95%,11.09%,-,10.45%,11.25%,-,9.74%,9.44%,-,14.08%,15.34%,15.06%,13.87%,14.13%,12.92%,13.12%,12.79%,Upgrade
26,Earnings Yield,7.33%,8.95%,11.40%,10.68%,10.44%,10.24%,9.91%,10.40%,11.17%,6.23%,6.22%,5.19%,-,7.99%,10.00%,8.92%,7.13%,7.47%,7.48%,5.20%,2.96%,Upgrade
27,FCF Yield,0.77%,0.94%,6.68%,6.66%,5.07%,2.18%,5.24%,6.67%,10.60%,7.65%,6.94%,1.17%,-,4.08%,4.64%,5.56%,2.53%,2.27%,0.85%,1.75%,2.27%,Upgrade
28,Dividend Yield,2.37%,-,-,-,2.61%,-,-,-,3.50%,-,-,1.37%,-,-,-,1.51%,-,-,-,0.85%,-,Upgrade
29,Payout Ratio,42.02%,14.51%,273.22%,12.14%,4.19%,6.18%,80.89%,5.70%,1.07%,80.98%,7.66%,7.30%,-,94.12%,10.70%,2.86%,12.06%,40.99%,13.70%,33.66%,11.72%,Upgrade
30,Buyback Yield / Dilution,2.38%,5.00%,3.77%,-6.02%,6.39%,-2.39%,-8.32%,-0.36%,-,4.06%,-1.77%,-2.53%,-,-6.50%,3.27%,3.13%,-8.68%,0.73%,7.62%,0.28%,4.14%,Upgrade
31,Total Shareholder Return,4.75%,5.00%,3.77%,-6.02%,9.00%,-2.39%,-8.32%,-0.36%,3.50%,4.06%,-1.77%,-1.16%,-,-6.50%,3.27%,4.64%,-8.68%,0.73%,7.62%,1.13%,4.14%,Upgrade
