,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q2 2022,Q1 2022,Q4 2021,null null,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
28,Long-Term Debt,188.7,162.04,153.22,50.52,38.4,-,27.22,27.82,-,39.18,56.44,-,42.98,51.37,71.62,28.11,39.19,40.21,56.5,39.91,Upgrade
29,Long-Term Leases,19.01,13.51,19.7,19.15,6.55,-,10.74,15,-,5.18,5.17,-,-,-,-,-,-,-,-,-,Upgrade
30,Long-Term Unearned Revenue,38.77,39.31,39.86,40.48,33.16,-,18.09,18.77,-,25.54,26.15,-,28.67,29.92,30.59,24.27,23.88,54.63,56.23,58.68,Upgrade
31,Long-Term Deferred Tax Liabilities,15.07,6.05,5.95,6.06,7.48,-,5.77,5.74,-,0.12,0.14,-,0.31,0.29,0.27,0.29,0.29,0.3,0.3,0.35,Upgrade
32,Other Long-Term Liabilities,101.96,98.46,115.92,107.11,104.03,-,99.81,107.87,-,168.57,150.2,-,157.84,119.55,124.01,145.37,143.61,151.29,141.96,154.82,Upgrade
33,Total Liabilities,3615,3037,3040,2899,2909,-,2775,2871,-,2942,2948,-,2486,2393,2575,2354,2322,2422,2581,2371,Upgrade
34,Common Stock,650.76,650.76,650.76,650.76,651.56,-,651.56,651.56,-,636.56,636.56,-,636.56,636.56,636.56,636.56,636.56,636.56,636.56,636.56,Upgrade
35,Additional Paid-In Capital,218.08,215.97,213.01,210.06,207.8,-,-,186.73,-,157.98,157.98,-,450.56,450.56,450.56,450.56,450.56,450.56,450.56,433.93,Upgrade
36,Retained Earnings,2827,2783,2842,2782,2629,-,2528,2445,-,2172,2092,-,1905,1895,1841,1733,1652,1570,1520,1442,Upgrade
37,Treasury Stock,-12.65,-23.52,-24.79,-24.79,-29.35,-,-45.15,-45.15,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
38,Comprehensive Income & Other,3.64,-5.55,-5.56,-5.55,-8.51,-,186.35,-8.51,-,-12.76,-12.76,-,-12.34,-12.34,-12.34,1,0.04,2.36,1.63,0.52,Upgrade
39,Total Common Equity,3687,3620,3676,3612,3451,-,3321,3230,2954,2954,2874,-,2980,2970,2916,2821,2739,2659,2609,2513,Upgrade
40,Minority Interest,235.93,99.5,106.23,125.42,136.61,-,150.2,145.26,-,235.45,237.7,-,326.06,316.13,307.1,262.44,255.54,235.48,231.6,220.81,Upgrade
41,Shareholders' Equity,3923,3720,3782,3738,3587,-,3471,3375,3189,3189,3111,-,3306,3286,3223,3083,2995,2895,2840,2733,Upgrade
42,Total Liabilities & Equity,7538,6756,6822,6637,6497,-,6245,6247,-,6131,6059,-,5793,5679,5798,5437,5317,5317,5421,5105,Upgrade
43,Total Debt,1045,800.45,750.49,531.04,503.54,-,454.6,405.47,770.99,770.99,629.45,-,601.61,531.96,492.35,513.04,547.6,585.58,565.77,514.25,Upgrade
44,Net Cash (Debt),-340.39,78.48,268.45,215.09,52.88,-,219.9,250.42,-4.69,-4.69,-69.54,-,4.41,36.35,175.61,-26.85,-15.79,-30.71,8.28,75.36,Upgrade
45,Net Cash Growth,-,-,22.08%,-14.11%,-,-,-,-,-,-,-,-,-,-,2022.14%,-,-,-,-97.59%,-72.73%,Upgrade
46,Net Cash Per Share,-0.54,0.12,0.40,0.34,0.08,-,0.35,0.38,-0.01,-0.01,-0.11,-,0.01,0.06,0.28,-0.04,-0.02,-0.05,0.01,0.12,Upgrade
47,Filing Date Shares Outstanding,650.76,650.76,650.76,650.76,651.56,666.66,651.56,651.56,650.46,636.56,636.56,-,678.01,636.56,636.56,636.56,636.56,636.56,636.56,636.56,Upgrade
48,Total Common Shares Outstanding,650.76,650.76,650.76,650.76,651.56,666.66,651.56,651.56,650.46,636.56,636.56,-,678.01,636.56,636.56,636.56,636.56,636.56,636.56,636.56,Upgrade
49,Working Capital,2138,2231,2323,2156,2003,-,1979,1894,-,1861,1770,-,1992,1952,1893,1798,1726,1627,1570,1650,Upgrade
50,Book Value Per Share,5.67,5.56,5.65,5.55,5.30,-,5.10,4.96,4.64,4.64,4.51,-,4.40,4.67,4.58,4.43,4.30,4.18,4.10,3.95,Upgrade
51,Tangible Book Value,3325,3473,3529,3464,3301,-,3216,3125,2777,2777,2696,-,2802,2791,2735,2614,2531,2459,2407,2312,Upgrade
52,Tangible Book Value Per Share,5.11,5.34,5.42,5.32,5.07,-,4.94,4.80,4.36,4.36,4.24,-,4.13,4.38,4.30,4.11,3.98,3.86,3.78,3.63,Upgrade
53,Buildings,-,599.76,-,598.32,-,-,-,620.72,-,-,669.11,-,-,-,636.92,-,651.82,-,412.18,-,Upgrade
54,Machinery,-,762.02,-,717.27,-,-,-,701.12,-,-,592.02,-,-,-,557.9,-,505.04,-,534.37,-,Upgrade
55,Construction In Progress,-,88.9,-,112.3,-,-,-,11.18,-,-,9.22,-,-,-,15.9,-,16.75,-,273.33,-,Upgrade
