,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
19,Asset Writedown,-64.68,39.43,-39.45,8.91,-9.06,-0.18,0.18,-0.01,-,-,-,-,-,-,-,0.95,-0.95,-
20,Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14,-
21,Other Unusual Items,-37.05,13.13,23.91,102.5,-,-,-,101.97,-,-,-,53.02,53.02,0.01,-,-1.3,-1.29,-
22,Pretax Income,-166.77,-19.05,62.33,-69.01,153.24,163.71,265.49,88.41,413.91,299.8,365.77,151.93,151.93,35.7,185.85,21.81,21.81,66.59
23,Income Tax Expense,-31.44,-17.13,16.63,-24.83,22.75,17.7,61.52,15.36,72.6,47.2,77.86,25.08,25.08,-9.27,42.61,-2.31,-2.31,17.43
24,Earnings From Continuing Operations,-135.33,-1.92,45.7,-44.18,130.49,146,203.97,73.05,341.31,252.6,287.91,126.85,126.85,44.96,143.23,24.12,24.12,49.17
25,Minority Interest in Earnings,-0.84,-0.17,-0.42,0.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,Net Income,-136.17,-2.09,45.28,-43.95,130.49,146,203.97,73.05,341.31,252.6,287.91,126.85,126.85,44.96,143.23,24.12,24.12,49.17
27,Net Income to Common,-136.17,-2.09,45.28,-43.95,130.49,146,203.97,73.05,341.31,252.6,287.91,126.85,126.85,44.96,143.23,24.12,24.12,49.17
28,Net Income Growth,-,-,-77.80%,-,-61.77%,-42.20%,-29.15%,-42.41%,169.06%,461.78%,101.00%,425.94%,425.94%,-8.55%,-,-,-,-
29,Shares Outstanding (Basic),470,577,503,504,521,506,523,514,514,515,386,384,384,390,384,383,383,-
30,Shares Outstanding (Diluted),470,577,503,504,521,506,523,514,514,515,386,384,384,390,384,383,383,-
31,Shares Change (YoY),-9.74%,13.89%,-3.80%,-1.95%,1.31%,-1.73%,35.64%,33.92%,33.79%,32.23%,0.49%,0.31%,0.31%,-,-,-,-,-
32,EPS (Basic),-0.29,-0.00,0.09,-0.09,0.25,0.29,0.39,0.14,0.66,0.49,0.75,0.33,0.33,0.12,0.37,0.06,0.06,-
33,EPS (Diluted),-0.29,-0.00,0.09,-0.09,0.25,0.29,0.39,0.14,0.66,0.49,0.75,0.33,0.33,0.12,0.37,0.06,0.06,-
34,EPS Growth,-,-,-76.92%,-,-62.26%,-41.18%,-47.77%,-57.00%,101.10%,324.84%,100.03%,426.49%,426.49%,-,-,-,-,-
35,Free Cash Flow,313.28,-408.22,-802.87,-100.9,-717.96,-566.72,-585.93,57.01,137.9,-297.99,16.12,-357.75,-357.75,-474.05,-9.05,-62.37,-62.37,-819.3
36,Free Cash Flow Per Share,0.67,-0.71,-1.60,-0.20,-1.38,-1.12,-1.12,0.11,0.27,-0.58,0.04,-0.93,-0.93,-1.22,-0.02,-0.16,-0.16,-
37,Dividend Per Share,-,-,-,0.150,-,-,-,0.200,-,-,-,-,-,-,-,-,-,-
38,Dividend Growth,-,-,-,-25.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Gross Margin,2.00%,-0.19%,3.81%,-2.09%,5.36%,3.94%,7.42%,4.43%,9.36%,5.71%,9.69%,7.14%,7.14%,7.92%,7.23%,1.09%,1.16%,10.21%
40,Operating Margin,1.54%,-1.99%,1.71%,-5.74%,4.26%,4.17%,6.14%,1.30%,8.26%,6.16%,8.86%,4.27%,4.27%,6.00%,7.65%,0.88%,0.76%,4.44%
41,Profit Margin,-3.02%,-0.05%,1.07%,-0.95%,2.98%,3.53%,4.65%,1.58%,5.94%,5.61%,6.37%,4.91%,4.91%,2.31%,5.78%,0.89%,0.89%,3.22%
42,Free Cash Flow Margin,6.94%,-9.31%,-18.90%,-2.18%,-16.41%,-13.69%,-13.35%,1.24%,2.40%,-6.62%,0.36%,-13.85%,-13.85%,-24.38%,-0.37%,-2.29%,-2.29%,-53.62%
43,EBITDA,134.9,-12.68,137.86,-200.38,241.44,232.96,324.82,115.08,512.9,331.53,438.9,154.48,154.48,148.51,222.81,58.46,55.34,93.98
44,EBITDA Margin,2.99%,-0.29%,3.25%,-4.33%,5.52%,5.63%,7.40%,2.49%,8.93%,7.36%,9.70%,5.98%,5.98%,7.64%,9.00%,2.15%,2.03%,6.15%
45,D&A For EBITDA,65.35,74.62,65.35,65.35,55.16,60.18,55.16,55.16,38.07,53.92,38.07,44.24,44.24,31.9,33.41,34.59,34.59,26.17
46,EBIT,69.55,-87.3,72.51,-265.74,186.27,172.78,269.66,59.92,474.83,277.61,400.83,110.25,110.25,116.61,189.4,23.87,20.76,67.8
47,EBIT Margin,1.54%,-1.99%,1.71%,-5.74%,4.26%,4.17%,6.14%,1.30%,8.26%,6.16%,8.86%,4.27%,4.27%,6.00%,7.65%,0.88%,0.76%,4.44%
48,Effective Tax Rate,-,-,26.68%,-,14.84%,10.81%,23.17%,17.37%,17.54%,15.74%,21.29%,16.51%,16.51%,-,22.93%,-,-,26.17%
49,Revenue as Reported,4516,4386,4248,4629,4374,4139,4390,4614,5746,4503,4523,2583,2583,1945,2476,9298,-,-
