,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
29,Total Liabilities,1458551,1115648,1183557,1317502,1259135,1315968,1327332,1456968,1436165,1375289,1194592,823005,989905,1149036,1204021,1418376,1570396,1645818,1790829,1803969,Upgrade
30,Common Stock,614356,614356,614356,614356,614356,614356,614356,614356,614356,614356,614356,614356,614356,614356,614356,614356,614356,614356,614356,614356,Upgrade
31,Additional Paid-In Capital,166825,166825,166825,166825,166825,166825,166825,166825,166825,166825,166825,166825,166825,166825,166825,166825,166825,166825,166825,166825,Upgrade
32,Retained Earnings,-8421,-4117,-38604,-13701,34701,31614,103362,142434,276150,325945,318440,295085,268838,252781,243734,241557,75079,119360,125200,220302,Upgrade
33,Treasury Stock,-14481,-14481,-14481,-14481,-14481,-14481,-14481,-14481,-14481,-14481,-14481,-14481,-14481,-14481,-14481,-14481,-14481,-14481,-14481,-14481,Upgrade
34,Comprehensive Income & Other,2223,2223,2303,2303,2507,2507,2507,2507,2519,2537,2585,2585,2304,2304,2409,2409,2409,2409,2409,2409,Upgrade
35,Shareholders' Equity,760502,764806,730399,755302,803908,800821,872569,911641,1045369,1095182,1087725,1064370,1037842,1021785,1012844,1010666,844188,888469,894310,989411,Upgrade
36,Total Liabilities & Equity,2219053,1880454,1913956,2072804,2063044,2116789,2199901,2368610,2481534,2470471,2282317,1887375,2027747,2170821,2216865,2429043,2414584,2534287,2685139,2793381,Upgrade
37,Total Debt,931368,909585,943609,984294,1002320,1093751,1129206,1229653,1115516,832345,598341,424208,520913,658557,842537,872439,1034696,1183509,1347250,1264992,Upgrade
38,Net Cash (Debt),-929143,-908033,-926100,-958028,-997558,-1089010,-1123418,-1198844,-1085592,-794212,-559593,-418577,-516342,-653649,-832393,-864647,-1015897,-1157919,-1332824,-1218200,Upgrade
39,Net Cash Per Share,-16078.11,-15577.29,-15972.31,-16459.06,-17033.72,-18829.49,-19299.78,-20601.05,-18657.96,-20036.46,-7271.42,-7186.48,-8875.50,-11335.29,-14193.33,-14852.69,-17453.56,-19907.25,-22882.80,-20927.01,Upgrade
40,Filing Date Shares Outstanding,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,76.96,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,Upgrade
41,Total Common Shares Outstanding,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,76.96,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,60.63,Upgrade
42,Working Capital,234555,325930,287378,298938,325393,300621,351892,366777,465371,457731,423243,366024,329522,328801,365764,305484,170238,173643,173132,258198,Upgrade
43,Book Value Per Share,12543.13,12614.11,12046.63,12457.36,13259.04,13208.11,14391.47,15035.90,17241.50,18063.07,18675.85,17554.88,17117.35,16852.53,16705.05,16669.14,13923.38,14653.72,14750.04,16318.58,Upgrade
44,Tangible Book Value,754444,758676,724198,749029,797564,794405,866082,905083,1038739,1088481,1080952,1057526,1030926,1014798,1005826,1003497,834490,878676,884421,979427,Upgrade
45,Tangible Book Value Per Share,12443.20,12513.01,11944.35,12353.90,13154.40,13102.30,14284.48,14927.73,17132.15,17952.55,18559.56,17442.00,17003.29,16737.29,16589.31,16550.89,13763.43,14492.19,14586.95,16153.91,Upgrade
46,Buildings,156795,156795,156795,157931,156795,157931,152621,135648,129996,129996,129996,131132,159988,131132,129996,131132,128630,129765,-,131047,Upgrade
47,Machinery,602225,516832,551962,551962,552038,861002,860961,1054951,1054951,1100172,1100681,1063567,986453,937163,910948,910948,880997,874833,-,896416,Upgrade
48,Construction In Progress,256813,207284,183218,180994,178328,186589,188110,204189,204314,201493,195553,200687,230433,230047,229071,214940,236471,234316,221953,185683,Upgrade
