,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,P/FCF Ratio,-,-4.33,-5.11,-4.77,-,122.75,-76.58,-,-,22.36,18.53,12.51,14.64,14.84,22.78,-,-,-,-,-
10,P/OCF Ratio,7.16,7.16,6.27,6.75,9.41,16.18,23.84,-,-,10.51,11.43,9.58,11.86,11.90,17.54,-,-,-,-,-
11,EV/Sales Ratio,4.75,4.77,4.77,4.65,4.65,5.79,5.73,5.46,4.81,3.35,3.50,3.95,4.88,5.62,8.56,-,-,-,-,-
12,EV/EBITDA Ratio,10.40,10.60,10.13,10.06,10.22,13.33,15.06,15.49,12.64,9.16,8.53,8.66,10.23,10.94,16.49,-,-,-,-,-
13,EV/EBIT Ratio,13.94,13.91,12.94,12.64,12.98,18.04,21.24,21.44,15.96,11.19,9.88,9.79,11.55,12.17,18.58,-,-,-,-,-
14,EV/FCF Ratio,-6.18,-6.21,-7.13,-6.64,-,144.52,-84.59,-,-,24.20,20.27,13.65,15.37,15.58,25.79,-,-,-,-,-
15,Debt / Equity Ratio,1.07,1.07,1.14,1.12,1.01,0.92,0.80,0.68,0.60,0.51,0.45,0.46,0.50,0.51,0.75,1.89,1.89,-,-,2.78
16,Debt / EBITDA Ratio,3.73,4.64,3.80,3.78,2.70,2.63,2.15,3.64,6.55,2.68,1.31,0.97,1.99,0.86,1.16,2.19,2.54,-,-,7.00
17,Debt / FCF Ratio,-,-2.22,-2.59,-2.30,-,39.09,-19.24,-,-,4.78,2.82,1.58,1.60,1.46,2.80,6.19,9.21,-,-,128.42
18,Asset Turnover,0.26,0.28,0.25,0.35,0.36,0.41,0.22,0.15,0.41,0.63,0.61,0.49,0.69,-,-,-,-,-,-,
19,Inventory Turnover,3.75,3.80,3.77,3.08,4.25,3.19,3.52,1.84,1.39,5.51,8.23,5.80,8.60,9.55,-,-,-,-,-,-
20,Quick Ratio,0.19,0.19,0.31,0.30,0.15,0.46,0.68,1.22,1.31,1.90,1.11,0.69,0.57,0.73,0.89,-,0.18,-,-,-
21,Current Ratio,0.33,0.33,0.42,0.43,0.29,0.62,0.94,1.77,1.66,2.55,1.56,1.30,1.07,0.92,0.99,-,0.23,-,-,-
22,Return on Equity (ROE),12.52%,14.13%,16.04%,21.82%,23.98%,20.89%,12.46%,10.06%,12.43%,21.23%,34.25%,15.92%,43.44%,60.12%,62.05%,-,-,-,-,
23,Return on Assets (ROA),4.49%,5.79%,5.96%,8.33%,8.49%,8.75%,4.44%,1.29%,5.49%,11.34%,16.54%,6.86%,18.56%,-,-,-,-,-,-,
24,Return on Capital (ROIC),5.01%,6.65%,7.01%,9.86%,9.81%,9.65%,4.87%,1.44%,6.12%,12.58%,18.46%,7.82%,20.99%,23.85%,16.45%,-,-,-,-,
25,Return on Capital Employed (ROCE),14.42%,14.52%,15.78%,15.53%,14.99%,12.65%,11.32%,9.83%,13.56%,15.80%,24.59%,31.30%,30.95%,34.64%,28.60%,-,25.12%,-,-,-
26,Earnings Yield,7.35%,7.09%,7.69%,8.26%,7.55%,6.18%,5.10%,4.69%,5.61%,7.63%,8.66%,8.69%,7.15%,6.65%,4.56%,-,-,-,-,-
27,FCF Yield,-23.94%,-23.09%,-19.58%,-20.96%,-22.65%,0.81%,-1.31%,-2.53%,1.12%,4.47%,5.40%,8.00%,6.83%,6.74%,4.39%,-,-,-,-,-
28,Dividend Yield,2.24%,-,1.05%,-,-,-,-,-,2.41%,-,-,-,-,-,2.11%,-,-,-,-,-
29,Payout Ratio,26.39%,35.47%,37.81%,22.83%,15.18%,8.44%,155.24%,13.09%,17.96%,13.44%,11.82%,9.47%,132.97%,83.72%,2.70%,16.06%,17.71%,53.96%,73.77%,73.77%
30,Buyback Yield / Dilution,1.10%,0.28%,-3.77%,2.39%,5.07%,-5.75%,8.40%,-3.90%,-3.71%,4.20%,-10.18%,-14.34%,-19.28%,-9.43%,-13.42%,-4.94%,-,-,-,-
31,Total Shareholder Return,3.34%,0.28%,-2.71%,2.39%,5.07%,-5.75%,8.40%,-3.90%,-1.30%,4.20%,-10.18%,-14.34%,-19.28%,-9.43%,-11.31%,-4.94%,-,-,-,-
