,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
19,Other Unusual Items,0.23,0.37,3.85,0.11,-0,0,-,6.82,-,-,-,5.9,-,-,-,3.84,-0,0,-
20,Pretax Income,55.58,59.39,75.65,59.96,68.42,58.72,47.78,40.97,47.47,40.11,36.95,28.64,33.8,37.6,33.51,28.32,17.86,14.08,16.65
21,Income Tax Expense,7.7,8.54,10.86,7.93,9.75,8.17,6.93,3.15,6.46,5.2,5.16,3.49,4.66,5.19,4.62,3.88,2.34,1.9,2.43
22,Net Income,47.88,50.85,64.79,52.03,58.67,50.55,40.85,37.82,41.01,34.91,31.79,25.15,29.14,32.41,28.89,24.43,15.52,12.18,14.22
23,Net Income to Common,47.88,50.85,64.79,52.03,58.67,50.55,40.85,37.82,41.01,34.91,31.79,25.15,29.14,32.41,28.89,24.43,15.52,12.18,14.22
24,Net Income Growth,-18.39%,0.60%,58.60%,37.56%,43.07%,44.79%,28.50%,50.35%,40.75%,7.71%,10.02%,2.96%,87.73%,166.00%,103.21%,-,-,-,-
25,Shares Outstanding (Basic),81,80,80,80,79,80,80,80,79,81,79,79,80,73,60,59,60,61,59
26,Shares Outstanding (Diluted),81,80,80,80,79,80,80,80,79,81,79,79,80,73,60,59,60,61,59
27,Shares Change (YoY),2.33%,-0.92%,-0.14%,-0.56%,0.63%,-1.23%,0.79%,1.88%,-2.16%,11.19%,32.02%,32.91%,34.72%,20.25%,1.60%,-,-,-,-
28,EPS (Basic),0.59,0.64,0.81,0.65,0.74,0.63,0.51,0.47,0.52,0.43,0.40,0.32,0.36,0.44,0.48,0.41,0.26,0.20,0.24
29,EPS (Diluted),0.59,0.64,0.81,0.65,0.74,0.63,0.51,0.47,0.52,0.43,0.40,0.32,0.36,0.44,0.48,0.41,0.26,0.20,0.24
30,EPS Growth,-20.25%,1.53%,58.82%,38.33%,42.17%,46.60%,27.50%,47.58%,43.86%,-3.12%,-16.67%,-22.53%,39.35%,121.21%,100.00%,-,-,-,-
31,Free Cash Flow,21.42,5.99,45.55,36.32,7.28,37.35,22.61,30.45,12.92,-13.8,12.94,8.07,-23.04,-21.07,-10.24,14.07,-0.53,-20.56,12.48
32,Free Cash Flow Per Share,0.26,0.08,0.57,0.45,0.09,0.47,0.28,0.38,0.16,-0.17,0.16,0.10,-0.29,-0.29,-0.17,0.24,-0.01,-0.34,0.21
33,Dividend Per Share,-,-,-,0.400,-,-,-,0.250,-,-,-,0.250,-,-,-,0.250,-,-,-
34,Dividend Growth,-,-,-,60.00%,-,-,-,0%,-,-,-,0%,-,-,-,-,-,-,-
35,Gross Margin,33.97%,36.17%,36.79%,34.31%,38.15%,35.17%,34.19%,32.37%,34.35%,31.17%,31.43%,30.19%,34.59%,34.15%,37.40%,37.48%,38.81%,37.34%,38.08%
36,Operating Margin,22.52%,23.97%,27.39%,23.13%,23.97%,24.15%,24.67%,17.35%,20.10%,20.84%,20.92%,14.90%,20.93%,22.65%,24.48%,21.58%,21.43%,19.07%,23.03%
37,Profit Margin,19.85%,22.98%,26.82%,19.93%,22.21%,23.54%,22.27%,17.63%,20.29%,22.03%,19.42%,15.61%,20.71%,22.03%,21.32%,19.14%,18.32%,18.33%,22.83%
38,Free Cash Flow Margin,8.88%,2.71%,18.85%,13.92%,2.75%,17.39%,12.33%,14.19%,6.39%,-8.71%,7.91%,5.01%,-16.38%,-14.32%,-7.55%,11.02%,-0.63%,-30.93%,20.04%
39,EBITDA,61.66,61.52,73.5,67.72,69.07,58.97,50.98,42.94,45.17,38.56,38.79,28.54,33,37.4,36.74,31.1,21.2,16.1,17.39
40,EBITDA Margin,25.56%,27.80%,30.42%,25.94%,26.14%,27.46%,27.80%,20.02%,22.35%,24.34%,23.70%,17.71%,23.46%,25.42%,27.11%,24.36%,25.03%,24.22%,27.92%
41,D&A For EBITDA,7.33,8.49,7.33,7.33,5.74,7.1,5.74,5.74,4.54,5.54,4.54,4.54,3.56,4.08,3.56,3.56,3.05,3.43,3.05
42,EBIT,54.32,53.03,66.17,60.38,63.33,51.87,45.25,37.21,40.63,33.03,34.25,24,29.44,33.32,33.18,27.54,18.15,12.67,14.35
43,EBIT Margin,22.52%,23.97%,27.39%,23.13%,23.97%,24.15%,24.67%,17.35%,20.10%,20.84%,20.92%,14.90%,20.93%,22.65%,24.48%,21.58%,21.43%,19.07%,23.03%
44,Effective Tax Rate,13.85%,14.38%,14.36%,13.23%,14.25%,13.92%,14.50%,7.69%,13.60%,12.97%,13.97%,12.17%,13.80%,13.80%,13.79%,13.72%,13.11%,13.48%,14.59%
45,Revenue as Reported,241.23,221.28,241.59,261.02,264.18,214.77,183.4,214.5,202.1,158.45,163.7,161.13,140.66,147.11,135.54,127.66,84.71,66.47,62.28
