,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
15,Debt / Equity Ratio,0.01,0.01,0.03,0.02,0.01,-,0.01,-,-,-,-,-,-,-,0.02,-,-,-,-,0.16
16,Debt / EBITDA Ratio,0.11,0.10,0.21,0.19,0.03,-,0.11,-,-,-,-,-,-,-,0.17,-,-,-,-,0.57
17,Asset Turnover,0.31,0.27,0.21,0.47,0.59,0.35,0.17,-,-,-,0.13,0.25,0.36,0.41,0.40,-,-,-,-,
18,Inventory Turnover,1.11,1.25,0.76,0.51,1.43,1.25,0.76,0.49,-,-,-,0.23,1.65,0.55,0.88,0.68,-,-,-,-
19,Quick Ratio,1.83,1.83,1.96,1.98,1.98,1.95,1.88,2.68,2.56,-,-,2.61,2.56,2.76,3.06,1.49,1.53,-,-,-
20,Current Ratio,2.04,2.04,2.27,2.26,2.21,2.22,2.25,3.12,2.87,-,-,3.07,2.93,3.22,3.45,1.89,1.80,-,-,-
21,Return on Equity (ROE),10.27%,7.52%,5.98%,17.27%,23.51%,10.31%,2.06%,-,-,-,2.02%,1.23%,11.26%,12.89%,12.27%,-,-,-,-,
22,Return on Assets (ROA),6.12%,4.48%,3.03%,8.72%,14.48%,5.24%,0.90%,-,-,-,0.86%,-0.92%,6.15%,6.29%,7.70%,-,-,-,-,
23,Return on Capital (ROIC),7.54%,5.47%,3.76%,10.87%,17.73%,6.23%,1.07%,-,-,-,1.04%,-1.12%,7.39%,7.81%,10.44%,-,-,-,-,
24,Return on Capital Employed (ROCE),10.60%,10.65%,14.18%,14.44%,13.50%,8.21%,5.38%,4.48%,-,-,-,5.26%,-,9.85%,12.70%,26.44%,26.41%,-,-,-
25,Earnings Yield,4.37%,3.27%,4.49%,2.97%,2.21%,1.13%,0.85%,0.80%,0.64%,0.94%,0.65%,0.92%,0.86%,0.76%,0.87%,-,-,-,-,-
26,FCF Yield,-1.85%,-1.39%,-1.66%,-1.36%,-0.95%,-0.98%,-1.19%,-0.81%,-0.88%,-0.53%,-1.10%,-1.86%,-1.74%,-1.20%,-0.65%,-,-,-,-,-
27,Dividend Yield,0.65%,-,-,-,0.27%,-,-,-,0.22%,-,-,-,0.15%,-,-,-,-,-,-,-
28,Payout Ratio,21.54%,0.32%,81.15%,0.85%,15.22%,0.15%,39.16%,-,-,17.46%,-,-,-,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,-0.68%,1.91%,-17.69%,12.13%,-2.55%,2.80%,4.95%,-6.15%,0.42%,-2.68%,-1.62%,-17.17%,-8.30%,-11.81%,-4.23%,-3.72%,-,-,-,-
30,Total Shareholder Return,-0.03%,1.91%,-17.69%,12.13%,-2.27%,2.80%,4.95%,-6.15%,0.64%,-2.68%,-1.62%,-17.17%,-8.15%,-11.81%,-4.23%,-3.72%,-,-,-,-
