,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,Operating Expenses,206.47,208.72,180.98,338.56,347.49,245.17,138.74,185.66,226.58,208.67,108.68,163.12,225.43,204.37,142.83,224.8,244.76,209.04,114.3
10,Operating Income,127.96,91.54,61.52,171.49,266.96,90.56,15.36,-56.31,145.71,56.31,14.21,-15.26,100.43,81.52,75.48,79.42,185.31,147.18,60.27
11,Interest Expense,-0.43,-0.88,-,-0.15,-0.29,-0.26,-,-,-,-,-,-,-0.21,-0.12,-,-,-,-1.95,-2.1
12,Interest & Investment Income,0.93,1.26,1.87,2.07,2.53,3.78,4.06,4.17,4.82,4.73,4.68,5.14,5.86,0.24,0.54,0.52,0.82,5.8,0.2
13,Earnings From Equity Investments,-0.4,-0.04,0.27,0.22,0.15,0.24,0.07,0.46,-0.01,-0.08,-0.06,-1.02,-,0.12,-0.12,-,-,-,-
14,Currency Exchange Gain (Loss),-0.68,0.68,-,0.67,-0.89,0.89,-,1.86,-0.72,0.72,-,-0.14,0.04,-0.07,-,-0.22,-0.05,-0.02,0.08
15,Other Non Operating Income (Expenses),0.59,0.32,-0.42,-0.93,6.3,-1.05,-0.75,-11.67,11.79,-0.08,-0.19,-0.02,-0.08,8.4,0.59,-3.35,4.44,-1.25,0
16,EBT Excluding Unusual Items,127.98,92.88,63.24,173.37,274.76,94.17,18.74,-61.47,161.58,61.6,18.64,-11.3,106.03,90.1,76.49,76.36,190.52,149.76,58.45
17,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,0.26,-0.05,-0.22,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,0.01,-0.01,-,-0.9,0.7,-0.7,-,-0.73,0,-0,-,-2.19,0,-0,-,-,0.02,-0.02,-
19,Asset Writedown,-4.15,-,-,14.19,-14.19,-,-,-,-,-,-,-,-,-,-11.77,-0.05,0.01,-0.01,-
20,Other Unusual Items,-3.3,1.82,0.89,-3.29,-,-,-,18.07,-,-,-,10.94,1.1,2.16,-,11.61,-,-,-
21,Pretax Income,120.54,94.69,64.13,190.27,254.37,100.37,18.74,-44.13,161.58,61.6,18.64,-2.28,107.09,92.03,64.72,87.92,190.55,149.73,58.45
22,Income Tax Expense,13.77,17.65,3.57,20.35,34.66,7.37,0.36,-13.84,23.33,5.34,1.32,-12.78,12.4,9.09,9.3,12.02,28.04,19.78,8.58
23,Net Income,106.77,77.04,60.57,169.92,219.71,93,18.38,-30.28,138.25,56.26,17.32,10.5,94.69,82.94,55.42,75.9,162.51,129.95,49.87
24,Net Income to Common,106.77,77.04,60.57,169.92,219.71,93,18.38,-30.28,138.25,56.26,17.32,10.5,94.69,82.94,55.42,75.9,162.51,129.95,49.87
25,Net Income Growth,-51.41%,-17.16%,229.50%,-,58.92%,65.32%,6.15%,-,46.00%,-32.18%,-68.76%,-86.17%,-41.73%,-36.17%,11.13%,-,-,-,-
26,Shares Outstanding (Basic),409,430,404,415,417,366,460,404,429,385,433,406,417,378,369,375,373,363,356
27,Shares Outstanding (Diluted),409,430,404,415,417,366,460,404,429,385,433,406,417,378,369,375,373,363,356
28,Shares Change (YoY),-1.91%,17.69%,-12.13%,2.55%,-2.80%,-4.95%,6.15%,-0.42%,2.68%,1.62%,17.17%,8.30%,11.81%,4.23%,3.72%,-,-,-,-
29,EPS (Basic),0.26,0.18,0.15,0.41,0.53,0.25,0.04,-0.07,0.32,0.15,0.04,0.03,0.23,0.22,0.15,0.20,0.44,0.36,0.14
30,EPS (Diluted),0.26,0.18,0.15,0.41,0.53,0.25,0.04,-0.07,0.32,0.15,0.04,0.03,0.23,0.22,0.15,0.20,0.44,0.36,0.14
31,EPS Growth,-50.46%,-29.62%,275.00%,-,63.50%,73.92%,0%,-,42.19%,-33.26%,-73.33%,-87.23%,-47.89%,-38.77%,7.14%,-,-,-,-
32,Free Cash Flow,-34.67,-34.56,-94.23,-12.28,-54.32,-87.93,-60.93,-56.53,-102.14,34.54,-126.78,68.53,-277.67,-78.06,-205.38,75.33,-71.58,12.45,-142.78
33,Free Cash Flow Per Share,-0.08,-0.08,-0.23,-0.03,-0.13,-0.24,-0.13,-0.14,-0.24,0.09,-0.29,0.17,-0.67,-0.21,-0.56,0.20,-0.19,0.03,-0.40
34,Dividend Per Share,-,-,-,0.150,-,-,-,0.150,-,-,-,0.100,-,-,-,-,-,-,-
35,Dividend Growth,-,-,-,0%,-,-,-,50.00%,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,82.05%,86.25%,89.72%,87.71%,89.89%,88.30%,85.88%,62.87%,87.64%,87.42%,89.18%,57.57%,89.79%,85.33%,88.30%,84.90%,89.05%,88.86%,87.63%
37,Operating Margin,31.39%,26.30%,22.76%,29.49%,39.06%,23.82%,8.56%,-27.37%,34.30%,18.58%,10.32%,-5.94%,27.67%,24.33%,30.53%,22.16%,38.37%,36.71%,30.25%
38,Profit Margin,26.19%,22.13%,22.41%,29.22%,32.14%,24.46%,10.24%,-14.72%,32.54%,18.56%,12.57%,4.09%,26.09%,24.75%,22.42%,21.18%,33.65%,32.42%,25.04%
39,Free Cash Flow Margin,-8.50%,-9.93%,-34.86%,-2.11%,-7.95%,-23.13%,-33.96%,-27.48%,-24.04%,11.39%,-92.01%,26.69%,-76.51%,-23.30%,-83.07%,21.02%,-14.82%,3.10%,-71.68%
40,EBITDA,150.96,125.8,84.52,194.49,284.7,114.11,33.1,-38.57,162.79,80.76,31.3,1.82,117.28,98.37,92.34,94.13,200.74,162.61,71.88
41,EBITDA Margin,37.04%,36.14%,31.27%,33.45%,41.65%,30.01%,18.45%,-18.75%,38.32%,26.64%,22.71%,0.71%,32.32%,29.36%,37.35%,26.27%,41.57%,40.56%,36.08%
42,D&A For EBITDA,23,34.26,23,23,17.74,23.55,17.74,17.74,17.08,24.45,17.08,17.08,16.85,16.85,16.86,14.71,15.43,15.43,11.61
43,EBIT,127.96,91.54,61.52,171.49,266.96,90.56,15.36,-56.31,145.71,56.31,14.21,-15.26,100.43,81.52,75.48,79.42,185.31,147.18,60.27
44,EBIT Margin,31.39%,26.30%,22.76%,29.49%,39.06%,23.82%,8.56%,-27.37%,34.30%,18.58%,10.32%,-5.94%,27.67%,24.33%,30.53%,22.16%,38.37%,36.71%,30.25%
45,Effective Tax Rate,11.42%,18.64%,5.56%,10.70%,13.63%,7.34%,1.93%,-,14.44%,8.67%,7.10%,-,11.58%,9.88%,14.37%,13.67%,14.72%,13.21%,14.68%
46,Revenue as Reported,407.61,348.11,270.29,581.5,683.55,380.21,179.43,205.73,424.8,303.12,137.8,256.81,362.91,582.31,247.25,358.32,482.95,600.09,-
47,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69.89
