,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
27,Total Liabilities,1387,1488,1490,1189,1189,1151,1025,826.01,669.57,570.98,404.47,495.04,479.31,334.64,-,337.64,206.39
28,Common Stock,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,369.54,369.54,-,369.54,369.54
29,Additional Paid-In Capital,543.6,543.59,543.59,543.59,543.59,543.59,543.59,543.59,543.59,543.59,543.59,543.59,251.22,251.22,-,251.22,251.22
30,Retained Earnings,821.83,779.36,840.29,795.1,700.88,634.17,792.75,734.1,671.54,600.68,708.63,605.13,363.68,273.31,-,168.16,71.79
31,Comprehensive Income & Other,99.03,99.04,99.04,1.56,3.28,3.63,3.54,1.56,1.68,1.68,1.68,1.56,4.26,3.4,-,1.56,1.56
32,Total Common Equity,1899,1857,1918,1775,1683,1616,1775,1714,1652,1581,1689,1585,988.7,897.47,790.48,790.48,694.11
33,Minority Interest,4.5,6.2,6.36,6.34,5.95,5.97,6.01,5.63,5.55,5.5,5.63,5.46,5.28,5.24,-,12.01,1.48
34,Shareholders' Equity,1904,1863,1924,1781,1689,1622,1781,1720,1657,1586,1694,1591,993.99,902.71,802.5,802.5,695.59
35,Total Liabilities & Equity,3291,3351,3414,2971,2877,2774,2805,2546,2327,2157,2099,2086,1473,1237,-,1140,901.99
36,Total Debt,701.8,751.04,745.33,288.05,127,25,5,5,5.01,-,50.06,50.06,50.06,50.05,107.1,107.1,60.19
37,Net Cash (Debt),-542.67,-510.71,-353.26,-209.04,19.48,127.85,409,413.62,325.78,294.79,243.81,422.64,70.89,66.18,117.15,117.15,173.61
38,Net Cash Growth,-,-,-,-,-94.02%,-56.63%,67.75%,-2.13%,359.58%,345.44%,108.12%,260.78%,-59.17%,-,-,-,-
39,Net Cash Per Share,-1.17,-1.27,-0.78,-0.46,0.05,0.30,0.91,0.94,0.74,0.68,0.56,1.07,0.19,0.19,0.31,0.31,0.50
40,Filing Date Shares Outstanding,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,369.54,376.98,369.54,369.54
41,Total Common Shares Outstanding,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,434.8,369.54,369.54,376.98,369.54,369.54
42,Working Capital,237.81,213.2,270.38,-398.4,-462.55,-480.84,-96.21,165.46,496.4,580.88,785.37,893.64,351.42,246.78,-,214.28,258.72
43,Book Value Per Share,4.37,4.27,4.41,4.08,3.87,3.72,4.08,3.94,3.80,3.64,3.88,3.65,2.68,2.43,2.14,2.14,1.88
44,Tangible Book Value,1825,1783,1890,1747,1654,1588,1748,1688,1626,1555,1663,1559,962.52,877.36,770.43,770.43,672.5
45,Tangible Book Value Per Share,4.20,4.10,4.35,4.02,3.81,3.65,4.02,3.88,3.74,3.58,3.82,3.59,2.60,2.37,2.08,2.08,1.82
46,Buildings,-,840.17,-,351.83,-,266.38,-,263.91,-,212.25,-,212.25,-,201.81,-,201.81,188.99
47,Machinery,-,2179,-,980.24,-,995.9,-,947.66,-,902.39,-,879.71,-,706.36,-,704.83,598.06
48,Construction In Progress,-,16.68,-,1698,-,1487,-,928.1,-,456.39,-,157.89,-,286.56,-,215.11,149.1
