,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
16,Gain (Loss) on Sale of Investments,-,-,-,-0.09,-,-,-,-,-0.33,-0.77,-,-0.53,-,-0.4,-,-,-
17,Gain (Loss) on Sale of Assets,0.54,-0.46,2.32,6.19,0.39,-0.25,6.49,-4.52,3.2,-3.2,5.14,-15.28,0.11,9.14,9.57,25.31,-
18,Asset Writedown,-5.2,2.26,-2.26,2.81,-2.81,4.55,-4.55,19.5,-19.5,-,-,0.34,-0.34,0.43,-,0.71,-
19,Other Unusual Items,-1.49,1.29,-0.28,7.65,-1.23,1.23,-,3.14,-,-,-,10.84,-,-,-,6.69,0.35
20,Pretax Income,54.86,77.1,60.25,119.39,87.51,35.24,78.44,74.34,93.97,186.19,142.29,257.57,123.08,141.93,75.5,99.62,13.27
21,Income Tax Expense,12.38,15.57,15.06,24.78,20.82,6.02,19.41,12.09,23.06,43.82,38.24,15.94,32.66,33.04,18.82,24.65,2.96
22,Earnings From Continuing Operations,42.48,61.53,45.2,94.61,66.69,29.22,59.02,62.25,70.91,142.37,104.05,241.63,90.42,108.89,56.68,74.97,10.31
23,Minority Interest in Earnings,-0,0.15,-0.01,-0.39,0.02,0.04,-0.38,-0.08,-0.06,0.13,-0.16,-0.18,-0.05,-0.43,-0.13,-7.82,0.09
24,Net Income,42.47,61.69,45.18,94.22,66.71,29.26,58.65,62.18,70.85,142.5,103.89,241.45,90.37,108.47,56.55,67.15,10.4
25,Net Income to Common,42.47,61.69,45.18,94.22,66.71,29.26,58.65,62.18,70.85,142.5,103.89,241.45,90.37,108.47,56.55,67.15,10.4
26,Net Income Growth,-36.33%,110.85%,-22.96%,51.54%,-5.85%,-79.47%,-43.55%,-74.25%,-21.60%,31.38%,83.73%,259.56%,768.90%,-,-,-,-
27,Shares Outstanding (Basic),463,403,452,458,409,428,451,441,439,432,433,395,377,356,377,379,347
28,Shares Outstanding (Diluted),463,403,452,458,409,428,451,441,439,432,433,395,377,356,377,379,347
29,Shares Change (YoY),13.03%,-5.79%,0.16%,3.87%,-6.79%,-0.87%,4.21%,11.52%,16.51%,21.11%,14.83%,4.39%,8.74%,-,-,-,-
30,EPS (Basic),0.09,0.15,0.10,0.21,0.16,0.07,0.13,0.14,0.16,0.33,0.24,0.61,0.24,0.30,0.15,0.18,0.03
31,EPS (Diluted),0.09,0.15,0.10,0.21,0.16,0.07,0.13,0.14,0.16,0.33,0.24,0.61,0.24,0.30,0.15,0.18,0.03
32,EPS Growth,-43.67%,123.81%,-23.08%,45.90%,1.01%,-79.29%,-45.83%,-76.91%,-32.71%,8.48%,60.00%,244.45%,699.09%,-,-,-,-
33,Free Cash Flow,-22.8,-29.62,-222.11,-200.77,-142.46,-88.24,-20.17,71.53,80.1,251.69,-184.63,-2.07,5.15,43.32,-52.63,-31.37,9.76
34,Free Cash Flow Per Share,-0.05,-0.07,-0.49,-0.44,-0.35,-0.21,-0.04,0.16,0.18,0.58,-0.43,-0.01,0.01,0.12,-0.14,-0.08,0.03
35,Dividend Per Share,-,-,-,0.282,-,-,-,0.432,-,-,-,0.576,-,-,-,-,-
36,Dividend Growth,-,-,-,-34.72%,-,-,-,-25.00%,-,-,-,-,-,-,-,-,-
37,Gross Margin,10.40%,13.16%,20.65%,24.00%,18.60%,10.59%,19.22%,14.27%,21.12%,27.85%,27.42%,35.49%,29.67%,31.47%,24.65%,21.84%,13.08%
38,Operating Margin,7.91%,10.06%,15.37%,18.07%,16.63%,5.86%,15.40%,8.21%,18.35%,25.63%,22.15%,31.82%,25.45%,28.70%,19.26%,17.66%,6.34%
39,Profit Margin,4.89%,8.23%,11.49%,16.31%,12.33%,5.83%,11.87%,10.82%,11.41%,19.05%,16.80%,29.40%,18.31%,23.50%,16.62%,17.80%,5.27%
40,Free Cash Flow Margin,-2.62%,-3.95%,-56.47%,-34.76%,-26.33%,-17.57%,-4.08%,12.44%,12.90%,33.64%,-29.85%,-0.25%,1.04%,9.39%,-15.46%,-8.32%,4.94%
41,EBITDA,84.53,93.23,76.28,120.18,104.91,45.99,90.98,62.11,126.66,206.64,149.75,274.06,136.03,144.3,75.97,77.72,21.47
42,EBITDA Margin,9.73%,12.43%,19.39%,20.81%,19.39%,9.16%,18.42%,10.80%,20.40%,27.62%,24.21%,33.37%,27.56%,31.27%,22.32%,20.60%,10.87%
43,D&A For EBITDA,15.82,17.8,15.82,15.82,14.92,16.56,14.92,14.92,12.7,14.85,12.7,12.7,10.41,11.87,10.41,11.1,8.95
44,EBIT,68.71,75.43,60.46,104.36,89.99,29.43,76.06,47.19,113.96,191.79,137.05,261.36,125.62,132.43,65.56,66.62,12.52
45,EBIT Margin,7.91%,10.06%,15.37%,18.07%,16.63%,5.86%,15.40%,8.21%,18.35%,25.63%,22.15%,31.82%,25.45%,28.70%,19.26%,17.66%,6.34%
46,Effective Tax Rate,22.57%,20.19%,24.99%,20.75%,23.79%,17.08%,24.75%,16.26%,24.54%,23.54%,26.87%,6.19%,26.54%,23.28%,24.93%,24.75%,22.32%
47,Revenue as Reported,869.11,749.78,393.33,577.54,541.06,502.11,493.93,574.89,621.01,748.19,618.59,821.26,493.59,461.48,340.32,377.19,-
