,Fiscal Quarter,Q4 2024,Q4 2023,Q2 2016,Q1 2016,Q4 2014,Q3 2014,Q3 2014,Q1 2015,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012
12,Gain (Loss) on Sale of Investments,-,1744,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Gain (Loss) on Sale of Assets,105.5,1501,356.19,-,-,14525,14525,-,-,-23652,-,1065,-,-,-,-,-
14,Pretax Income,34289,27786,6396,4908,90815,94843,94843,30476,14223,29457,13880,8559,9441,138519,81369,3354,3636
15,Income Tax Expense,6328,3284,2736,1106,20313,20676,20676,8445,3135,11696,3491,2109,2361,34644,20382,852.57,923.88
16,Earnings From Continuing Operations,27961,24501,3659,3801,70502,74168,74168,22031,11088,17761,10389,6450,7080,103875,60987,2501,2712
17,Minority Interest in Earnings,-33.86,-8.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Net Income,27927,24493,3659,3801,70502,74168,74168,22031,11088,17761,10389,6450,7080,103875,60987,2501,2712
19,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-105.13,105.13
20,Net Income to Common,27927,24493,3659,3801,70502,74168,74168,22031,11088,17761,10389,6450,7080,103875,60987,2607,2607
21,Net Income Growth,-60.39%,-66.98%,-95.07%,-82.75%,535.85%,317.59%,613.90%,241.58%,56.60%,-82.90%,-82.97%,157.84%,161.09%,-,-,-,-
22,Shares Outstanding (Basic),113,113,113,-,67,63,63,-,63,50,48,57,45,51,44,48,40
23,Shares Outstanding (Diluted),113,113,113,-,67,63,63,-,63,50,48,57,45,51,44,48,40
24,Shares Change (YoY),67.74%,80.00%,80.00%,-,7.31%,24.07%,31.54%,-,39.49%,-0.43%,7.51%,17.89%,10.97%,-,-,-,-
25,EPS (Basic),248.24,217.71,32.53,-,1051.19,1186.68,1186.68,-,177.40,352.58,218.66,113.95,158.02,2053.11,1379.94,54.29,64.55
26,EPS (Diluted),248.24,217.71,32.53,-,1051.19,1186.68,1186.68,-,177.40,352.58,218.66,113.95,158.02,2053.11,1379.94,54.29,64.55
27,EPS Growth,-76.38%,-81.65%,-97.26%,-,492.55%,236.57%,442.71%,-,12.27%,-82.83%,-84.15%,109.89%,144.78%,-,-,-,-
28,Free Cash Flow,12916,-27713,-487236,-465209,-6403,-19024,-19024,-,5099,1880,65818,-204796,73258,-34705,-115980,-137942,-137942
29,Free Cash Flow Per Share,114.81,-246.34,-4330.98,-,-95.47,-304.38,-304.38,-,81.58,37.33,1385.25,-3618.14,1634.99,-685.95,-2624.25,-2873.03,-3416.23
30,Dividend Per Share,-,-,-,-,-,-,-,-,-,454.546,-,-,-,-,-,-,-
31,Gross Margin,28.05%,27.95%,29.03%,29.50%,37.98%,33.07%,33.07%,30.37%,25.68%,28.16%,33.80%,25.62%,34.14%,38.68%,42.35%,35.80%,35.60%
32,Operating Margin,14.58%,11.45%,17.83%,15.03%,33.47%,30.23%,30.23%,23.07%,19.65%,23.92%,24.23%,19.27%,24.87%,36.37%,38.90%,20.37%,20.58%
33,Profit Margin,14.80%,12.54%,3.19%,4.28%,23.10%,24.53%,24.53%,11.59%,8.83%,7.21%,9.73%,4.08%,8.53%,24.36%,26.45%,4.98%,4.98%
34,Free Cash Flow Margin,6.85%,-14.19%,-424.60%,-523.41%,-2.10%,-6.29%,-6.29%,-,4.06%,0.76%,61.65%,-129.52%,88.26%,-8.14%,-50.30%,-263.53%,-263.53%
35,EBITDA,35763,33039,57784,32127,119521,109192,109192,-,42147,78127,44473,48115,35554,168723,104436,24853,24965
36,EBITDA Margin,18.95%,16.91%,50.36%,36.15%,39.17%,36.12%,36.12%,-,33.58%,31.74%,41.66%,30.43%,42.83%,39.56%,45.29%,47.48%,47.69%
37,D&A For EBITDA,8250,10670,37321,18773,17377,17782,17782,-,17481,19235,18609,17645,14911,13613,14752,14191,14191
38,EBIT,27513,22369,20463,13354,102144,91410,91410,43839,24666,58892,25864,30469,20643,155110,89684,10661,10773
39,EBIT Margin,14.58%,11.45%,17.83%,15.02%,33.47%,30.23%,30.23%,23.07%,19.65%,23.92%,24.23%,19.27%,24.87%,36.37%,38.90%,20.37%,20.58%
40,Effective Tax Rate,18.45%,11.82%,42.78%,22.54%,22.37%,21.80%,21.80%,27.71%,22.04%,39.71%,25.15%,24.64%,25.00%,25.01%,25.05%,25.42%,25.41%
41,Revenue as Reported,188686,195336,-,88880,305150,302336,302336,190068,125523,246173,106764,158114,83005,-,-,-,-
