,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q2 2016,Q1 2016,Q4 2014,Q3 2014,Q3 2014,Q1 2015,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012
23,Return on Equity (ROE),-,-,0.77%,-,22.93%,29.87%,29.87%,-,4.63%,7.54%,4.48%,3.18%,4.06%,-,-,-,-,
24,Return on Assets (ROA),-,-,2.21%,-,12.47%,12.85%,12.85%,-,3.66%,9.41%,4.27%,-,-,-,-,-,-,
25,Return on Capital (ROIC),-,-,2.53%,-,14.77%,16.03%,16.03%,-,4.46%,10.84%,4.76%,6.07%,4.56%,-,-,-,-,
26,Return on Capital Employed (ROCE),7.84%,15.17%,31.57%,11.11%,14.56%,20.46%,20.49%,17.84%,-,12.37%,13.35%,23.26%,30.76%,-,37.21%,-,-,-
27,Earnings Yield,8.47%,14.01%,26.94%,28.17%,24.43%,23.08%,18.03%,12.43%,7.29%,4.57%,4.01%,12.74%,18.61%,24.26%,23.09%,9.99%,0.75%,0.31%
28,FCF Yield,13.20%,-226.25%,-259.45%,-181.09%,-55.93%,-4.26%,-3.27%,-1.20%,-,-13.20%,-6.14%,-10.01%,-29.44%,-29.95%,-57.90%,-59.16%,-39.74%,-15.81%
29,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,2.92%,-,-,-,-,-,-,-
30,Payout Ratio,0.00%,-,-,-,-,39.35%,-,-,-,-,-,-,-,-,46.59%,-,-,-
31,Buyback Yield / Dilution,0.06%,-67.74%,-80.00%,-80.00%,-,-7.31%,-24.07%,-31.54%,-,-39.49%,0.43%,-7.51%,-17.89%,-10.97%,-,-,-,-
32,Total Shareholder Return,0.06%,-67.74%,-80.00%,-80.00%,-,-7.31%,-24.07%,-31.54%,-,-39.49%,3.36%,-7.51%,-17.89%,-10.97%,-,-,-,-
