,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
14,Other Non Operating Income (Expenses),-1.89,-4.3,-1.88,2.46,-7.32,-1.9,-1.34,4.16,-8.01,2.56,-16.13,0.53,-8.63,-1.54,0.22,1.42,-5.1,-2.22,1.08
15,EBT Excluding Unusual Items,67.24,152.17,73.07,131.82,201.01,121.45,273,87.99,-63.03,91.45,224.88,2.42,47.37,456.94,409.81,-18.43,399.03,980.29,261.93
16,Gain (Loss) on Sale of Investments,31.64,-33.23,-8.3,-33.19,-27.1,17.16,22.92,27.85,-4.64,-13.9,-31.15,-29.46,-35.94,-74.14,27.8,-7.22,-21.76,13.62,-71.53
17,Gain (Loss) on Sale of Assets,-1.38,-3.4,-1.1,-3.84,0.81,-1.02,-0.58,-9.04,5.45,-5.29,0,-10.18,6.26,-6.26,-0,-7.84,1.66,-1.74,-
18,Asset Writedown,-63.22,33.63,-33.63,40.47,-40.47,6.29,-6.29,103.39,-103.39,4.59,-4.59,35.37,-35.37,2.04,-2.04,15.46,-15.46,-,-
19,Other Unusual Items,-25.85,24.71,-2.76,48.8,-5.37,5.37,-,62.38,4.44,-4.44,-,40.1,0.12,-0.12,-,39.66,1.85,-1.85,-
20,Pretax Income,8.42,173.88,27.28,184.06,128.88,149.26,289.04,272.57,-161.17,72.41,189.14,38.24,-17.57,378.46,435.56,21.61,365.31,990.32,190.4
21,Income Tax Expense,13.07,48.55,23.54,35.25,26.63,45.54,71.81,63.68,3.72,31.29,55.69,24.63,23.56,95.07,111.55,-23.83,122.81,247.67,44.22
22,Earnings From Continuing Operations,-4.66,125.33,3.74,148.81,102.25,103.71,217.23,208.89,-164.89,41.12,133.44,13.62,-41.13,283.39,324,45.45,242.5,742.65,146.18
23,Minority Interest in Earnings,-5.02,-16.56,-2.39,-16.97,0.62,16.98,-2.75,16,50.36,14.75,-2.65,24.61,22.68,1.95,-14.99,-5.12,-7.43,-15.72,-5.48
24,Net Income,-9.67,108.77,1.36,131.84,102.86,120.69,214.48,224.89,-114.52,55.87,130.79,38.23,-18.44,285.34,309.01,40.33,235.07,726.93,140.69
25,Net Income to Common,-9.67,108.77,1.36,131.84,102.86,120.69,214.48,224.89,-114.52,55.87,130.79,38.23,-18.44,285.34,309.01,40.33,235.07,726.93,140.69
26,Net Income Growth,-,-9.88%,-99.37%,-41.38%,-,116.01%,63.98%,488.32%,-,-80.42%,-57.67%,-5.21%,-,-60.75%,119.64%,-,-,-,-
27,Shares Outstanding (Basic),1552,1397,1356,1460,1446,1382,1411,1329,1457,1419,1453,1394,1489,1426,1405,1335,1251,1273,1279
28,Shares Outstanding (Diluted),1552,1397,1356,1460,1446,1382,1413,1329,1457,1419,1453,1394,1489,1426,1405,1335,1251,1273,1279
29,Shares Change (YoY),7.34%,1.08%,-4.01%,9.83%,-0.75%,-2.57%,-2.78%,-4.63%,-2.16%,-0.50%,3.46%,4.40%,19.07%,12.01%,9.82%,-,-,-,-
30,EPS (Basic),-0.01,0.08,0.00,0.09,0.07,0.09,0.15,0.17,-0.08,0.04,0.09,0.03,-0.01,0.20,0.22,0.03,0.19,0.57,0.11
31,EPS (Diluted),-0.01,0.08,0.00,0.09,0.07,0.09,0.15,0.17,-0.08,0.04,0.09,0.03,-0.01,0.20,0.22,0.03,0.19,0.57,0.11
32,EPS Growth,-,-10.84%,-99.34%,-46.62%,-,121.72%,68.67%,516.86%,-,-80.32%,-59.09%,-9.21%,-,-64.96%,100.00%,-,-,-,-
33,Free Cash Flow,566.17,1454,-407.94,576.41,-562.9,1029,-1036,413.84,1194,-496.34,-1807,1991,-2329,175.53,-1374,352.48,-720.12,1227,-1180
34,Free Cash Flow Per Share,0.36,1.04,-0.30,0.39,-0.39,0.74,-0.73,0.31,0.82,-0.35,-1.24,1.43,-1.56,0.12,-0.98,0.26,-0.58,0.96,-0.92
35,Dividend Per Share,0.150,-,-,-,0.300,-,-,-,0.150,-,-,-,0.150,-,-,0.450,-,-,-
36,Dividend Growth,-50.00%,-,-,-,100.00%,-,-,-,0%,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,1.79%,2.45%,2.30%,2.55%,2.97%,2.13%,3.40%,2.35%,0.82%,1.23%,2.80%,1.31%,0.98%,3.63%,4.88%,1.88%,3.73%,7.90%,5.03%
38,Operating Margin,0.53%,1.19%,0.94%,1.04%,1.51%,1.00%,2.20%,0.60%,-0.03%,0.72%,1.77%,0.15%,0.38%,2.79%,3.65%,-0.06%,3.00%,7.10%,4.04%
39,Profit Margin,-0.07%,0.69%,0.01%,0.90%,0.66%,0.74%,1.49%,1.50%,-0.64%,0.29%,0.86%,0.22%,-0.09%,1.66%,2.62%,0.30%,1.69%,5.18%,2.02%
40,Free Cash Flow Margin,4.15%,9.28%,-3.79%,3.93%,-3.62%,6.30%,-7.21%,2.76%,6.68%,-2.57%,-11.89%,11.39%,-11.43%,1.02%,-11.63%,2.61%,-5.18%,8.75%,-16.91%
41,EBITDA,204.1,323.77,232.71,283.97,345.57,294.61,427.48,200.98,69.77,242.16,344.64,101.68,134.93,542.54,488.5,48.86,467.69,1052,332.19
42,EBITDA Margin,1.50%,2.07%,2.16%,1.94%,2.22%,1.80%,2.97%,1.34%,0.39%,1.26%,2.27%,0.58%,0.66%,3.16%,4.14%,0.36%,3.37%,7.50%,4.76%
43,D&A For EBITDA,131.44,137.29,131.44,131.44,110.79,131.68,110.79,110.79,75.49,102.66,75.49,75.49,57.32,62.46,57.32,57.32,50.38,55.95,50.38
44,EBIT,72.66,186.48,101.27,152.53,234.78,162.93,316.69,90.19,-5.72,139.5,269.15,26.19,77.62,480.08,431.19,-8.46,417.31,996.33,281.81
45,EBIT Margin,0.53%,1.19%,0.94%,1.04%,1.51%,1.00%,2.20%,0.60%,-0.03%,0.72%,1.77%,0.15%,0.38%,2.79%,3.65%,-0.06%,3.00%,7.10%,4.04%
46,Effective Tax Rate,155.33%,27.92%,86.28%,19.15%,20.67%,30.51%,24.85%,23.36%,-,43.21%,29.45%,64.40%,-,25.12%,25.61%,-,33.62%,25.01%,23.23%
47,Revenue as Reported,13646,15674,10751,14665,15546,16335,14372,15001,17863,19292,15205,17484,20380,17195,11807,13518,13893,14028,6979
