,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
14,Debt / Equity Ratio,0.52,0.52,0.58,0.72,0.53,0.58,0.68,0.75,0.68,0.68,0.82,0.56,0.39,0.75,0.38,0.44,0.27,-,0.31,0.32
15,Debt / EBITDA Ratio,3.46,4.70,3.31,5.61,3.49,3.11,4.24,3.23,6.12,17.86,6.30,2.92,6.70,9.86,1.23,1.49,9.51,-,0.35,1.00
16,Debt / FCF Ratio,1.75,1.75,4.07,-,608.32,-,3.15,-,-7.22,5.66,-,-,-1.85,-,-1.71,-,-5.79,-,31.56,-
17,Asset Turnover,2.43,3.25,2.44,3.22,3.38,3.60,3.28,3.33,3.47,3.85,3.58,4.47,5.48,4.90,3.69,4.95,5.61,-,-,
18,Inventory Turnover,17.20,16.32,15.53,11.22,16.31,18.01,18.78,17.15,18.53,15.09,14.05,13.72,16.23,18.53,16.64,13.12,-,-,-,-
19,Quick Ratio,0.90,0.90,0.81,0.70,0.69,0.71,0.75,0.64,0.76,0.75,0.65,0.48,0.58,0.47,0.65,0.65,0.99,0.13,0.67,-
20,Current Ratio,1.23,1.23,1.32,1.45,1.50,1.40,1.44,1.44,1.52,1.38,1.32,1.20,1.28,1.33,1.40,1.48,1.82,1.52,1.46,-
21,Return on Equity (ROE),-0.25%,6.85%,0.20%,7.86%,5.51%,5.60%,11.75%,11.38%,-8.91%,2.25%,7.42%,0.76%,-2.33%,16.54%,19.19%,3.08%,19.99%,66.78%,-,
22,Return on Assets (ROA),0.81%,2.41%,1.43%,2.09%,3.19%,2.25%,4.52%,1.25%,-0.07%,1.74%,3.96%,0.42%,1.30%,8.56%,8.43%,-0.19%,10.53%,-,-,
23,Return on Capital (ROIC),1.58%,3.86%,2.09%,3.25%,4.85%,3.21%,6.25%,1.83%,-0.11%,2.81%,6.33%,0.58%,1.75%,12.44%,11.80%,-0.31%,18.67%,42.57%,-,
24,Return on Capital Employed (ROCE),5.10%,5.10%,6.59%,6.43%,8.36%,7.87%,5.51%,5.23%,4.78%,-,5.00%,10.48%,12.68%,12.74%,17.78%,25.95%,-,32.74%,26.04%,-
25,Earnings Yield,2.92%,2.79%,4.87%,4.11%,6.48%,6.78%,4.55%,4.29%,3.50%,1.32%,1.88%,3.64%,4.36%,4.21%,5.42%,7.25%,6.54%,-,-,-
26,FCF Yield,27.52%,26.26%,14.95%,7.31%,0.08%,-1.59%,16.36%,0.85%,-8.19%,10.56%,-24.03%,-16.45%,-10.89%,-21.68%,-9.75%,-2.84%,-1.84%,-,-,-
27,Dividend Yield,2.64%,2.57%,-,-,-,4.74%,-,-,-,2.85%,-,-,-,6.62%,-,-,4.23%,-,-,-
28,Payout Ratio,224.03%,-,31.49%,32821.19%,18.69%,24.18%,25.31%,117.29%,27.75%,-,93.63%,193.79%,125.89%,-,10.46%,214.95%,120.72%,9.21%,6.15%,216.56%
29,Buyback Yield / Dilution,-3.53%,-7.34%,-1.08%,4.01%,-9.83%,0.75%,2.57%,2.78%,4.63%,2.16%,0.50%,-3.46%,-4.40%,-19.07%,-12.01%,-9.82%,-,-,-,-
30,Total Shareholder Return,-0.90%,-4.76%,-1.08%,4.01%,-9.83%,5.49%,2.57%,2.78%,4.63%,5.01%,0.50%,-3.46%,-4.40%,-12.45%,-12.01%,-9.82%,4.23%,-,-,-
