,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
17,Total Assets,-,2330,2305,2214,2155,2086,2073,2079,2058,2090,-,-,853.09,-,753.68,753.68,670.14
18,Accounts Payable,-,300.59,283.85,196.85,100.92,89.53,85.7,68.63,74.7,115.87,-,-,81.28,-,111.42,111.42,65.69
19,Accrued Expenses,-,24.85,37.35,24.32,35.99,21.67,22.62,16.99,29.39,16.41,-,-,31.18,-,13.78,13.78,23.33
20,Current Portion of Leases,-,4.1,4.46,4.61,4.84,3.86,3.71,2.53,2.75,2.93,-,-,2.36,-,2.75,2.75,-
21,Current Income Taxes Payable,-,2.07,0.08,1.76,0.32,2.5,1.56,4.84,3.17,23.33,-,-,10.43,-,3.67,3.67,15.81
22,Current Unearned Revenue,-,47.17,41.85,42.83,37.88,34.89,26.62,19.88,16.16,17.34,-,-,13.31,-,16.56,16.56,16.6
23,Other Current Liabilities,-,37.58,32.06,18.22,53.39,15.76,13,14.06,9.16,8.1,-,-,3.25,-,5.81,5.81,3.36
24,Total Current Liabilities,-,416.35,399.66,288.59,233.33,168.2,153.21,126.93,135.34,183.98,-,-,141.81,-,154,154,124.79
25,Long-Term Leases,-,7.82,8.27,7.73,8.18,6.24,6.62,4.35,4.44,4.69,-,-,0.57,-,1.55,1.55,-
26,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.23
27,Long-Term Deferred Tax Liabilities,-,0.86,1,1.07,1.2,0.85,1.09,0.62,0.39,-,-,-,0.07,-,0.05,0.05,-
28,Other Long-Term Liabilities,-,15.96,13.41,10.29,10.62,9.95,12.97,15.41,15.73,15.61,-,-,16.13,-,15.5,15.5,13.94
29,Total Liabilities,-,440.99,422.33,307.68,253.33,185.24,173.89,147.32,155.89,204.29,-,-,158.58,-,171.09,171.09,139.96
30,Common Stock,-,81.54,81.54,80.81,80.81,80.81,80.81,80.81,80.81,80.81,-,-,60.61,-,60.61,60.61,60.61
31,Additional Paid-In Capital,-,1545,1541,1527,1524,1522,1520,1518,1515,1513,-,-,406.49,-,401.89,401.89,397.29
32,Retained Earnings,-,270.69,267.34,296.37,292.3,294.47,294.01,332.73,303.54,286.64,-,-,227.24,-,120.52,120.52,74.47
33,Treasury Stock,-,-11.18,-11.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,-,3.9,5.24,3.52,4.32,3.81,4.7,0.59,1.68,4.52,-,-,-1.61,-,-0.42,-0.42,-2.18
35,Total Common Equity,1890,1890,1884,1907,1902,1901,1899,1932,1901,1885,-,692.73,692.73,582.59,582.59,582.59,530.18
36,Minority Interest,-,-1.07,-1,-1.06,-0.61,-0.27,0.08,0.31,0.6,0.93,-,-,1.79,-,-,-,-
37,Shareholders' Equity,1889,1889,1883,1906,1901,1901,1899,1932,1902,1886,-,694.51,694.51,582.59,582.59,582.59,530.18
38,Total Liabilities & Equity,-,2330,2305,2214,2155,2086,2073,2079,2058,2090,-,-,853.09,-,753.68,753.68,670.14
39,Total Debt,11.92,11.92,12.73,12.34,13.03,10.1,10.33,6.89,7.19,7.63,-,2.93,2.93,4.3,4.3,4.3,-
40,Net Cash (Debt),1226,1226,1356,1460,1522,1547,1533,1543,1536,1559,-,384.29,384.29,307.72,307.72,307.72,276.06
41,Net Cash Growth,-19.44%,-20.73%,-11.55%,-5.34%,-0.87%,-0.74%,-,301.45%,299.65%,406.53%,-,24.88%,39.20%,-,-,-,-
42,Net Cash Per Share,13.65,16.29,17.39,17.97,18.34,19.69,18.83,19.03,19.02,19.09,-,6.35,6.36,5.06,5.08,5.08,4.60
43,Filing Date Shares Outstanding,81.54,81.54,81.54,80.81,80.81,80.81,80.81,80.81,80.81,80.81,73.51,60.55,60.61,60.83,60.61,60.61,60.61
44,Total Common Shares Outstanding,81.54,81.54,81.54,80.81,80.81,80.81,80.81,80.81,80.81,80.81,73.51,60.55,60.61,60.83,60.61,60.61,60.61
45,Working Capital,-,1513,1590,1676,1716,1757,1759,1802,1800,1815,-,-,625.33,-,514.07,514.07,465.77
46,Book Value Per Share,23.19,23.19,23.10,23.61,23.54,23.53,23.51,23.91,23.53,23.33,-,11.43,11.43,9.61,9.61,9.61,8.75
47,Tangible Book Value,1846,1846,1839,1864,1858,1857,1855,1887,1885,1868,-,675.6,675.6,565.84,565.84,565.84,513.32
48,Tangible Book Value Per Share,22.64,22.64,22.55,23.07,22.99,22.98,22.95,23.35,23.33,23.12,-,11.15,11.15,9.34,9.34,9.34,8.47
49,Buildings,-,-,56.7,-,56.7,-,56.7,-,56.7,-,-,-,56.7,-,56.7,56.7,56.7
50,Machinery,-,-,55.04,-,52.96,-,53.48,-,48.56,-,-,-,41,-,36.39,36.39,33.06
51,Construction In Progress,-,-,145.36,-,43.29,-,4.54,-,1.57,-,-,-,-,-,-,-,-
