,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
14,Other Non Operating Income (Expenses),-1.52,1.71,-0.86,0.61,-1.07,0.46,1.17,-1.94,-18.49,18.26,1.4,-1.59,2.88,-3.01,-0.06,-0.06,-14.34
15,EBT Excluding Unusual Items,-42.14,9.06,-26.54,3.17,-16.91,3.4,-3.36,32.54,1.23,97.65,37.34,31.57,24.61,92.79,25.21,25.21,72.42
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,1.03,0.48,-2.63,-,0.48,0.96,0.15,0.15,-1.81
17,Gain (Loss) on Sale of Assets,-0.81,0.65,0,0.16,0.08,0.71,-0.29,0.47,-,0.01,-,-,-,-,0.01,0.01,0
18,Asset Writedown,10.01,-10.01,2.13,-2.13,7.09,-7.09,2.6,-2.6,8.01,-8.01,2.69,-2.69,4.52,-4.52,-0,-0,-0.27
19,Other Unusual Items,0.16,-0.28,0.11,0,2.82,-0,0,-,6,-0.01,0.01,-,3.36,-1.72,0.86,0.86,-
20,Pretax Income,-32.78,-0.58,-24.3,1.2,-6.92,-2.98,-1.05,30.41,16.28,90.11,37.41,28.88,32.96,87.51,26.23,26.23,70.35
21,Income Tax Expense,-11.81,-3.86,-7.56,-2.41,-4.41,-3.09,-2.5,1.55,-0.29,11.2,2.74,3.11,2.97,11,3.2,3.2,11.49
22,Earnings From Continuing Operations,-20.97,3.28,-16.74,3.61,-2.51,0.11,1.45,28.86,16.57,78.91,34.67,25.77,30,76.51,23.03,23.03,58.86
23,Minority Interest in Earnings,-0.46,0.08,-0.06,0.45,0.34,0.35,0.23,0.33,0.33,0.3,0.29,0.26,0.21,-,-,-,-
24,Net Income,-21.43,3.36,-16.8,4.06,-2.17,0.47,1.68,29.19,16.9,79.21,34.96,26.04,30.21,76.51,23.03,23.03,58.86
25,Net Income to Common,-21.43,3.36,-16.8,4.06,-2.17,0.47,1.68,29.19,16.9,79.21,34.96,26.04,30.21,76.51,23.03,23.03,58.86
26,Net Income Growth,-,617.86%,-,-86.08%,-,-99.41%,-95.19%,12.12%,-44.04%,3.53%,51.83%,13.07%,-48.67%,-,-,-,-
27,Shares Outstanding (Basic),90,75,78,81,83,79,81,81,81,82,74,61,60,61,61,61,60
28,Shares Outstanding (Diluted),90,75,78,81,83,79,81,81,81,82,74,61,60,61,61,61,60
29,Shares Change (YoY),8.25%,-4.22%,-4.23%,0.20%,2.82%,-3.75%,10.72%,33.92%,33.63%,34.22%,21.31%,-0.08%,0.60%,-,-,-,-
30,EPS (Basic),-0.24,0.04,-0.22,0.05,-0.03,0.01,0.02,0.36,0.21,0.97,0.48,0.43,0.50,1.26,0.38,0.38,0.98
31,EPS (Diluted),-0.24,0.04,-0.22,0.05,-0.03,0.01,0.02,0.36,0.21,0.97,0.48,0.43,0.50,1.26,0.38,0.38,0.98
32,EPS Growth,-,649.58%,-,-86.11%,-,-99.39%,-95.66%,-16.28%,-58.12%,-22.86%,25.16%,13.16%,-48.98%,-,-,-,-
33,Free Cash Flow,-,-128.93,-110.14,-67.33,-25.91,13.58,27.67,7.78,12.98,50.85,42.77,25.59,-38.07,115.05,21.92,21.92,54.49
34,Free Cash Flow Per Share,-,-1.71,-1.41,-0.83,-0.31,0.17,0.34,0.10,0.16,0.62,0.58,0.42,-0.63,1.89,0.36,0.36,0.91
35,Dividend Per Share,-,-,-,-,0.150,-,-,-,0.500,-,-,-,1.000,-,-,-,-
36,Dividend Growth,-,-,-,-,-70.00%,-,-,-,-50.00%,-,-,-,-,-,-,-,-
37,Gross Margin,262.35%,53.81%,48.37%,53.23%,44.78%,63.56%,52.52%,58.53%,51.39%,60.19%,59.80%,57.49%,57.26%,63.38%,59.92%,59.92%,67.87%
38,Operating Margin,-10.27%,2.53%,-24.36%,-4.32%,-21.41%,-7.79%,-18.62%,16.55%,-5.00%,33.45%,14.35%,22.46%,17.37%,39.45%,22.26%,22.26%,40.57%
39,Profit Margin,-13.32%,1.45%,-10.45%,2.67%,-1.46%,0.46%,2.06%,20.79%,13.45%,32.13%,24.99%,18.70%,18.41%,33.72%,19.42%,19.42%,28.72%
40,Free Cash Flow Margin,-,-55.57%,-68.49%,-44.32%,-17.46%,13.31%,33.96%,5.54%,10.33%,20.63%,30.58%,18.38%,-23.19%,50.71%,18.49%,18.49%,26.59%
41,EBITDA,-13.79,8.61,-36.25,-3.82,-29.03,-5.5,-12.45,25.7,-3.82,84.86,22.54,33.66,30.9,91.79,28.66,28.66,85.26
42,EBITDA Margin,-8.57%,3.71%,-22.54%,-2.52%,-19.56%,-5.39%,-15.27%,18.30%,-3.04%,34.42%,16.11%,24.17%,18.83%,40.46%,24.18%,24.18%,41.60%
43,D&A For EBITDA,2.74,2.74,2.92,2.74,2.74,2.45,2.73,2.45,2.45,2.39,2.47,2.39,2.39,2.27,2.27,2.27,2.12
44,EBIT,-16.53,5.87,-39.17,-6.56,-31.77,-7.96,-15.18,23.24,-6.28,82.47,20.07,31.27,28.52,89.52,26.39,26.39,83.13
45,EBIT Margin,-10.27%,2.53%,-24.36%,-4.32%,-21.41%,-7.79%,-18.62%,16.55%,-5.00%,33.45%,14.35%,22.46%,17.37%,39.45%,22.26%,22.26%,40.57%
46,Effective Tax Rate,-,-,-,-,-,-,-,5.10%,-,12.43%,7.32%,10.76%,9.00%,12.57%,12.21%,12.21%,16.34%
47,Revenue as Reported,-,232.03,160.81,151.92,148.41,102.08,81.49,140.42,125.64,246.55,139.88,139.24,164.13,463.99,-,-,-
