,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
35,Operating Margin,12.11%,3.43%,7.64%,-5.21%,13.48%,5.50%,11.84%,7.22%,12.05%,6.28%,6.28%
36,Profit Margin,9.14%,6.65%,6.37%,2.23%,7.89%,8.57%,8.03%,14.00%,8.26%,8.53%,8.53%
37,Free Cash Flow Margin,4.31%,-27.65%,-16.42%,22.46%,-10.80%,-1.69%,-13.91%,-2.68%,-36.47%,-5.40%,-5.40%
38,EBITDA,32.29,14.3,22.29,-2.7,30.51,16.46,24.92,20.07,21.22,16.51,16.51
39,EBITDA Margin,15.59%,7.54%,11.28%,-1.42%,16.72%,9.02%,15.52%,10.24%,16.59%,9.69%,9.69%
40,D&A For EBITDA,7.19,7.78,7.19,7.19,5.91,6.41,5.91,5.91,5.81,5.81,5.81
41,EBIT,25.1,6.51,15.1,-9.89,24.6,10.05,19.01,14.16,15.41,10.7,10.7
42,EBIT Margin,12.11%,3.43%,7.64%,-5.21%,13.48%,5.50%,11.84%,7.22%,12.05%,6.28%,6.28%
43,Effective Tax Rate,14.53%,22.21%,14.57%,-,20.25%,8.82%,9.76%,1.98%,6.26%,7.35%,7.35%
44,Revenue as Reported,207.2,189.67,197.64,189.91,182.47,182.56,160.58,196.05,127.91,170.34,170.34
