,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
13,Currency Exchange Gain (Loss),-0.99,0.99,-,0.33,-0.08,0.08,-,-0.3,-0.22,0.22,-,-0.49
14,Other Non Operating Income (Expenses),-2,-0.76,0.37,1.65,-1.03,-0.52,-0.01,-0.36,0.27,-0.01,-0.07,-0.43
15,EBT Excluding Unusual Items,13.29,5.03,7.28,-5.71,29.92,9.75,-8.41,-11.78,14.69,9.88,19.45,13.23
16,Gain (Loss) on Sale of Investments,0.38,-0.4,0.26,0.5,-0.11,-0.13,0.35,0.72,-,-,-,-0.33
17,Gain (Loss) on Sale of Assets,0.14,-0,-,0,0.02,-0.13,-,0.1,-,-,-,0.01
18,Asset Writedown,-1.8,2.04,-2.04,9.03,-9.05,1.22,-1.22,-1.85,1.85,1.95,-1.95,6.39
19,Other Unusual Items,0.11,-0.61,0.31,1.15,-,-,-,23.59,-,-,-,6.95
20,Pretax Income,12.12,6.06,5.81,4.97,20.77,10.71,-9.28,10.77,16.54,11.83,17.5,26.24
21,Income Tax Expense,-1.31,-5.61,1.41,-1.6,0.54,-1.29,0.39,-1.18,1.5,0.6,1.55,3.01
22,Earnings From Continuing Operations,13.43,11.68,4.4,6.57,20.24,12,-9.67,11.95,15.04,11.24,15.94,23.23
23,Minority Interest in Earnings,0.06,0,-,-,-,0.3,1.58,-5.05,0.99,-0.52,-0.4,-0.99
24,Net Income,13.49,11.68,4.4,6.57,20.24,12.29,-8.1,6.9,16.03,10.71,15.55,22.24
25,Net Income to Common,13.49,11.68,4.4,6.57,20.24,12.29,-8.1,6.9,16.03,10.71,15.55,22.24
26,Net Income Growth,-33.34%,-5.01%,-,-4.89%,26.27%,14.73%,-,-68.96%,-,-,-,-
27,Shares Outstanding (Basic),232,182,220,216,191,258,162,209,161,154,-,160
28,Shares Outstanding (Diluted),232,182,220,216,191,258,162,209,161,154,-,160
29,Shares Change (YoY),21.22%,-29.41%,35.83%,3.43%,18.77%,66.86%,-,30.18%,-,-,-,-
30,EPS (Basic),0.06,0.06,0.02,0.03,0.11,0.05,-0.05,0.03,0.10,0.07,-,0.14
31,EPS (Diluted),0.06,0.06,0.02,0.03,0.11,0.05,-0.05,0.03,0.10,0.07,-,0.14
32,EPS Growth,-45.00%,34.57%,-,-8.05%,6.31%,-31.24%,-,-76.16%,-,-,-,-
33,Free Cash Flow,-2.51,-59.32,-59.92,-43.27,20.37,-63.38,-34.35,-15.49,18.1,-28.42,-4.48,12.42
34,Free Cash Flow Per Share,-0.01,-0.33,-0.27,-0.20,0.11,-0.25,-0.21,-0.07,0.11,-0.18,-,0.08
35,Dividend Per Share,-,-,-,0.093,-,-,-,0.025,-,-,-,-
36,Dividend Growth,-,-,-,272.03%,-,-,-,-,-,-,-,-
37,Gross Margin,23.42%,23.59%,26.32%,11.14%,27.56%,19.82%,8.81%,10.54%,29.00%,23.21%,25.33%,22.05%
38,Operating Margin,6.59%,2.28%,4.16%,-3.47%,14.22%,4.99%,-7.88%,-7.44%,12.09%,9.14%,13.15%,9.23%
39,Profit Margin,5.29%,4.89%,2.92%,3.04%,9.80%,6.73%,-6.99%,4.84%,11.16%,7.74%,9.18%,12.49%
40,Free Cash Flow Margin,-0.98%,-24.85%,-39.74%,-20.07%,9.87%,-34.69%,-29.65%,-10.86%,12.61%,-20.53%,-2.64%,6.98%
41,EBITDA,32.45,24.67,21.94,8.18,44.57,25.07,6.07,4.6,31.37,27.46,36.29,30.46
42,EBITDA Margin,12.74%,10.34%,14.55%,3.79%,21.58%,13.72%,5.24%,3.23%,21.85%,19.83%,21.43%,17.11%
43,D&A For EBITDA,15.67,19.23,15.67,15.67,15.21,15.95,15.21,15.21,14.02,14.8,14.02,14.02
44,EBIT,16.79,5.44,6.28,-7.49,29.36,9.12,-9.14,-10.6,17.35,12.66,22.27,16.44
45,EBIT Margin,6.59%,2.28%,4.16%,-3.47%,14.22%,4.99%,-7.88%,-7.44%,12.09%,9.14%,13.15%,9.23%
46,Effective Tax Rate,-,-,24.27%,-,2.59%,-,-,-,9.07%,5.04%,8.86%,11.47%
47,Revenue as Reported,254.81,238.71,150.79,215.62,206.48,182.71,115.87,142.57,143.58,138.44,169.31,178.05
