,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
13,Other Intangible Assets,52.63,45.64,45.82,45.45,46.13,46.63,47.23,47.72,23.28,-,-,24.18
14,Long-Term Deferred Tax Assets,13.79,13.27,8.43,9.88,8.34,8.93,7.62,7.91,7.11,-,-,8.9
15,Long-Term Deferred Charges,6.49,6.82,7,7.64,7.25,7.87,7.64,8.3,7,-,-,9.21
16,Other Long-Term Assets,55.56,64.33,94.2,55.9,4.67,2.17,8.31,2.39,4.86,-,-,0.56
17,Total Assets,1992,1946,1871,1868,1705,1634,1509,1534,1663,-,-,951.35
18,Accounts Payable,372.72,340.6,288.3,323.99,212.45,188.64,148.97,183.7,227.97,-,-,255.7
19,Accrued Expenses,17.18,19.8,14.76,17.5,14.03,17.29,12.55,16.87,11.61,-,-,19.11
20,Short-Term Debt,471.7,460.46,420.21,358.87,367.02,346.18,224.8,203.62,298,-,-,236.84
21,Current Portion of Long-Term Debt,1.09,20.07,-,40.07,-,-,2.36,-,-,-,-,10.02
22,Current Portion of Leases,-,1.03,42.35,2.23,2.41,2.39,-,2.33,-,-,-,-
23,Current Income Taxes Payable,4.4,0.77,1.17,0.16,3.98,0.14,4.76,1.36,11.07,-,-,2.3
24,Current Unearned Revenue,0.82,0.25,0.98,0.01,0.62,0.75,0.25,0.25,0.16,-,-,0.2
25,Other Current Liabilities,0.25,1.6,0.23,1.21,0.33,1.81,0.34,0.77,0.93,-,-,0.5
26,Total Current Liabilities,868.17,844.58,767.99,744.05,600.85,557.2,394.04,408.9,549.74,-,-,524.66
27,Long-Term Debt,47.64,47.64,48.13,39.8,25.02,17.02,-,-,-,-,-,33.05
28,Long-Term Leases,-,-,-,-,1.04,1.03,2.26,2.23,-,-,-,-
29,Long-Term Unearned Revenue,12.04,12.59,13.17,13.7,14.27,14.38,15.14,15.66,15.91,-,-,16.83
30,Long-Term Deferred Tax Liabilities,0.31,0.32,1.89,1.93,1.99,2.04,2.1,2.15,2.22,-,-,2.37
31,Total Liabilities,928.16,905.13,831.18,799.48,643.17,591.66,413.53,428.94,567.87,-,-,576.91
32,Common Stock,206.67,206.67,206.67,206.67,206.67,206.67,206.67,206.67,206.67,-,-,155
33,Additional Paid-In Capital,684.29,678.78,670.73,666.4,666.46,666.46,670.27,670.21,-,-,-,46.05
34,Retained Earnings,204.91,191.42,198.78,194.38,187.94,167.7,160.57,168.55,163.65,-,-,119.36
35,Treasury Stock,-36,-36,-35.61,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,2.28,-0.27,-0.33,1.18,0.98,1.06,0.38,0.61,670.84,-,-,-0.41
37,Total Common Equity,1062,1041,1040,1069,1062,1042,1038,1046,1041,-,320,320
38,Minority Interest,2.07,0.13,-,-,-,-,57.84,59.41,54.37,-,-,54.44
39,Shareholders' Equity,1064,1041,1040,1069,1062,1042,1096,1105,1096,-,374.44,374.44
40,Total Liabilities & Equity,1992,1946,1871,1868,1705,1634,1509,1534,1663,-,-,951.35
41,Total Debt,520.43,529.2,510.69,440.98,395.5,366.61,229.42,208.19,298,-,279.9,279.9
42,Net Cash (Debt),22.09,18.71,99.84,192.64,238.65,211.86,354.06,389.54,429.53,-,-240.75,-240.75
43,Net Cash Growth,-90.74%,-91.17%,-71.80%,-50.55%,-44.44%,-,-,-,-,-,-,-
44,Net Cash Per Share,0.10,0.10,0.45,0.89,1.25,0.82,2.19,1.87,2.67,-,-,-1.50
45,Filing Date Shares Outstanding,204.73,204.73,204.75,204.75,206.67,206.67,161.93,206.67,160.9,154.5,-,155
46,Total Common Shares Outstanding,204.73,204.73,204.75,206.67,206.67,206.67,161.93,206.67,160.9,154.5,-,155
47,Working Capital,228.69,263.82,311.29,376.73,515.64,491.96,591.42,622.55,646.18,-,-,-44.82
48,Book Value Per Share,5.19,5.08,5.08,5.17,5.14,5.04,6.41,5.06,6.61,-,2.06,2.06
49,Tangible Book Value,1010,994.96,994.43,1023,1016,995.26,990.66,998.32,1018,-,295.82,295.82
50,Tangible Book Value Per Share,4.93,4.86,4.86,4.95,4.92,4.82,6.12,4.83,6.46,-,1.91,1.91
51,Buildings,-,416.33,-,416.33,-,244.88,-,244.88,-,-,-,244.88
52,Machinery,-,533.95,-,493.16,-,441.13,-,418.07,-,-,-,364.46
53,Construction In Progress,-,105.21,-,29.21,-,109.91,-,35.13,-,-,-,27.26
