,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,P/FCF Ratio,38.84,38.68,32.21,48.98,96.01,60.77,-4192.85,-,-243.20,-,-118.53,-,-,369.01,-,-,-,-,-,-
10,P/OCF Ratio,15.17,15.17,13.37,15.85,17.44,17.55,20.68,20.25,25.67,51.65,42.69,-,77.15,35.74,38.04,-,-,-,-,-
11,EV/Sales Ratio,3.87,3.88,3.55,3.80,4.18,4.28,4.08,4.46,4.15,4.37,4.91,4.75,6.56,4.77,4.43,5.26,-,-,-,-
12,EV/EBITDA Ratio,17.26,17.06,15.38,16.97,18.78,19.15,20.34,21.28,21.49,25.54,26.31,25.21,31.68,20.65,18.42,21.23,-,-,-,-
13,EV/EBIT Ratio,23.95,23.29,20.64,22.98,25.96,26.73,29.81,31.58,32.23,40.61,40.52,35.96,44.05,27.61,24.43,29.29,-,-,-,-
14,EV/FCF Ratio,37.85,37.95,31.52,48.43,94.97,60.63,-4132.45,-,-240.51,-,-115.84,-,-,358.33,-,-,-,-,-,-
15,Debt / Equity Ratio,0.06,0.06,0.07,0.06,0.06,0.05,0.07,0.04,0.01,-,0.02,0.02,0.01,0.01,0.00,0.02,0.04,-,0.08,0.09
16,Debt / EBITDA Ratio,0.29,0.26,0.33,0.26,0.28,0.18,0.38,0.22,0.04,-,0.10,0.13,0.11,0.02,0.02,0.10,0.15,-,0.31,0.40
17,Debt / FCF Ratio,0.64,0.64,0.60,0.77,1.46,0.77,-77.55,-,-0.57,-,-0.43,-,-,0.43,-,-,0.35,-,1.90,12.76
18,Asset Turnover,0.67,0.73,0.71,0.90,0.83,0.83,0.62,-,-,0.66,0.76,0.94,0.81,0.86,0.81,-,-,-,-,
19,Inventory Turnover,2.47,2.00,2.53,2.39,3.14,2.25,2.27,1.52,-,-,1.65,2.03,2.82,2.03,2.49,2.54,-,-,-,-
20,Quick Ratio,2.18,2.18,2.00,2.05,1.77,1.94,2.00,1.93,1.94,-,1.98,2.47,2.13,2.25,2.50,2.67,1.85,-,1.69,-
21,Current Ratio,3.51,3.51,3.27,3.26,2.79,3.39,3.69,3.94,3.66,-,4.05,4.50,3.74,4.02,4.29,4.15,2.83,-,2.89,-
22,Return on Equity (ROE),14.68%,16.17%,12.30%,15.31%,16.34%,13.12%,9.31%,-,-,10.49%,9.03%,11.67%,13.86%,16.56%,16.50%,-,-,17.56%,-,
23,Return on Assets (ROA),8.71%,6.64%,8.49%,7.47%,11.75%,6.01%,6.77%,-,-,5.28%,5.69%,3.04%,10.17%,9.26%,9.84%,-,-,-,-,
24,Return on Capital (ROIC),10.30%,7.87%,10.22%,9.10%,13.97%,7.05%,8.15%,-,-,6.31%,6.89%,3.72%,12.34%,11.17%,12.16%,-,-,10.29%,-,
25,Return on Capital Employed (ROCE),14.00%,14.44%,15.87%,15.36%,14.51%,14.23%,12.13%,11.59%,11.28%,-,10.89%,12.21%,14.16%,17.20%,18.29%,16.87%,17.82%,-,6.95%,-
26,Earnings Yield,3.86%,3.87%,4.10%,3.58%,3.20%,3.32%,3.27%,3.00%,3.10%,2.54%,2.30%,2.50%,2.04%,3.21%,3.58%,3.15%,-,-,-,-
27,FCF Yield,2.57%,2.59%,3.10%,2.04%,1.04%,1.65%,-0.02%,-0.04%,-0.41%,-1.83%,-0.84%,-1.36%,-0.85%,0.27%,0.42%,1.25%,-,-,-,-
28,Dividend Yield,1.19%,-,-,-,1.15%,-,-,-,1.01%,-,-,-,0.65%,-,-,-,-,-,-,-
29,Payout Ratio,31.62%,1.08%,108.99%,1.39%,2.26%,1.20%,112.33%,0.73%,0.23%,0.04%,151.72%,0.06%,2.62%,-,106.29%,0.39%,0.68%,1.71%,62.36%,4.20%
30,Buyback Yield / Dilution,-0.97%,-0.04%,-9.39%,6.10%,-1.40%,1.60%,3.85%,-1.19%,-0.25%,-2.52%,2.42%,-7.00%,-12.21%,-17.85%,-3.56%,-11.97%,-,-,-,-
31,Total Shareholder Return,0.23%,-0.04%,-9.39%,6.10%,-0.25%,1.60%,3.85%,-1.19%,0.76%,-2.52%,2.42%,-7.00%,-11.56%,-17.85%,-3.56%,-11.97%,-,-,-,-
