,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
9,Operating Expenses,99.94,134.33,122.36,128.49,104.59,107.58,112.07,145.25,109.71,95.95,80.75,99.8,63.17,86.2,-
10,Operating Income,112.77,66.81,77.59,50.04,99.1,95.8,77.19,42.92,85.92,73.93,59.31,38.49,75.01,59.34,65.64
11,Interest Expense,-0.22,-,-1.93,-3.3,-0.03,-0.2,-0.22,-4.22,-0.2,-0.56,-1.17,-2.76,-0.73,-2.49,-
12,Interest & Investment Income,0.79,2.66,2.31,2,0.42,1.38,1.62,3.22,1.73,0.46,0.3,-,1.82,3.36,-
13,Currency Exchange Gain (Loss),-0.45,0.45,-,-,-0.53,0.53,-,-,-0.11,0.11,-,-0.02,-0,0,-
14,Other Non Operating Income (Expenses),0.14,-1.06,0.91,1.33,-0.04,-0.32,0.18,0.62,0.13,-0.28,0.09,2.65,-2.54,-0.09,-0.11
15,EBT Excluding Unusual Items,113.04,68.85,78.88,50.07,98.93,97.18,78.77,42.54,87.48,73.66,58.54,38.36,73.54,60.12,65.53
16,Gain (Loss) on Sale of Investments,-,-,-,-0.17,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.35,0.05,0.01,33.9,-,26.74,25.4,0.04,-,-,0.02,0.12,-,-,-
18,Asset Writedown,-7.78,3.93,-3.93,-0.03,-0.76,0.08,-0.08,0.57,-0.58,2.93,-2.93,-0,-,-,-
19,Other Unusual Items,-12.26,1.13,11.46,-0.51,-0.32,0.32,-,33.04,-0.15,0.15,-,10.83,-0.09,0.09,-
20,Pretax Income,92.65,73.97,86.41,83.26,97.85,124.31,104.09,76.17,86.74,76.74,55.62,49.3,73.45,60.21,65.53
21,Income Tax Expense,19.98,17.76,19.31,16.93,21.95,33.71,25.68,12.02,21.84,19.05,11.88,4.13,21.62,13.55,14.4
22,Earnings From Continuing Operations,72.67,56.21,67.09,66.33,75.9,90.6,78.41,64.16,64.91,57.69,43.74,45.18,51.83,46.66,51.13
23,Minority Interest in Earnings,-7.68,-8.51,-6.3,-6.28,-0.82,-1.03,-2.07,-2.27,-4.2,-6.78,-1.88,-5.72,-2.36,-1.3,0
24,Net Income,64.99,47.7,60.8,60.05,75.08,89.57,76.33,61.89,60.71,50.91,41.86,39.45,49.47,45.36,51.13
25,Net Income to Common,64.99,47.7,60.8,60.05,75.08,89.57,76.33,61.89,60.71,50.91,41.86,39.45,49.47,45.36,51.13
26,Net Income Growth,-13.45%,-46.75%,-20.36%,-2.98%,23.68%,75.95%,82.36%,56.87%,22.72%,12.23%,-18.14%,-,-,-,-
27,Shares Outstanding (Basic),407,398,405,401,396,408,402,388,409,365,349,358,353,357,-
28,Shares Outstanding (Diluted),407,398,405,401,396,408,402,388,409,365,349,358,353,357,-
29,Shares Change (YoY),2.78%,-2.25%,0.88%,3.15%,-3.36%,11.73%,15.18%,8.40%,15.90%,2.06%,-,-,-,-,-
30,EPS (Basic),0.16,0.12,0.15,0.15,0.19,0.22,0.19,0.16,0.15,0.14,0.12,0.11,0.14,0.13,-
31,EPS (Diluted),0.16,0.12,0.15,0.15,0.19,0.22,0.19,0.16,0.15,0.14,0.12,0.11,0.14,0.13,-
32,EPS Growth,-15.79%,-45.52%,-21.05%,-5.94%,27.98%,57.48%,58.33%,44.71%,5.89%,9.96%,-,-,-,-,-
33,Free Cash Flow,85.77,35.4,32.14,-33.78,-14.65,-8.94,-1.7,55.65,-4.73,126.98,3.71,44.66,37.56,-111.49,54.34
34,Free Cash Flow Per Share,0.21,0.09,0.08,-0.08,-0.04,-0.02,-0.00,0.14,-0.01,0.35,0.01,0.12,0.11,-0.31,-
35,Dividend Per Share,-,0.150,-,0.375,-,-,-,0.250,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,50.00%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,32.39%,30.98%,32.04%,29.28%,32.27%,34.54%,35.09%,33.51%,34.65%,34.90%,33.04%,32.25%,32.40%,36.29%,20.43%
38,Operating Margin,17.17%,10.29%,12.43%,8.21%,15.70%,16.27%,14.31%,7.64%,15.22%,15.19%,13.99%,8.98%,17.59%,14.80%,20.43%
39,Profit Margin,9.90%,7.35%,9.74%,9.85%,11.90%,15.21%,14.15%,11.02%,10.75%,10.46%,9.87%,9.20%,11.60%,11.31%,15.91%
40,Free Cash Flow Margin,13.06%,5.45%,5.15%,-5.54%,-2.32%,-1.52%,-0.31%,9.91%,-0.84%,26.09%,0.87%,10.41%,8.81%,-27.80%,16.91%
41,EBITDA,122.57,80.76,87.38,59.84,109.16,106.47,87.25,52.98,91.71,82.85,65.1,44.28,76.33,64.36,66.96
42,EBITDA Margin,18.66%,12.44%,14.00%,9.81%,17.30%,18.08%,16.18%,9.44%,16.25%,17.02%,15.35%,10.33%,17.90%,16.05%,20.84%
43,D&A For EBITDA,9.79,13.95,9.79,9.79,10.06,10.67,10.06,10.06,5.79,8.92,5.79,5.79,1.33,5.02,1.33
44,EBIT,112.77,66.81,77.59,50.04,99.1,95.8,77.19,42.92,85.92,73.93,59.31,38.49,75.01,59.34,65.64
45,EBIT Margin,17.17%,10.29%,12.43%,8.21%,15.70%,16.27%,14.31%,7.64%,15.22%,15.19%,13.99%,8.98%,17.59%,14.80%,20.43%
46,Effective Tax Rate,21.57%,24.01%,22.35%,20.33%,22.44%,27.12%,24.67%,15.78%,25.17%,24.83%,21.36%,8.38%,29.44%,22.51%,21.97%
47,Revenue as Reported,656.74,649.33,624.08,609.81,631.15,588.74,539.3,561.49,564.54,486.79,423.96,428.79,426.5,722.42,-
