,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
26,Total Current Liabilities,566.56,431.2,321.97,317.12,373.09,319.89,306.83,344.06,297.56,391.16,-,340.65,-,-,-
27,Long-Term Debt,-,-,-,-,-,-,1,1,33,53,-,53.09,-,-,-
28,Long-Term Leases,52.85,52.85,55.61,55.61,11.5,11.5,11.5,11.5,12.61,12.61,-,12.61,-,-,-
29,Long-Term Unearned Revenue,24.91,25.24,25.56,25.89,41.42,41.42,34.25,27.09,28.19,28.19,-,28.19,-,-,-
30,Long-Term Deferred Tax Liabilities,2.54,2.66,2.78,2.89,3.01,3.13,3.24,3.36,3.48,3.6,-,3.83,-,-,-
31,Total Liabilities,646.86,511.94,405.92,401.51,429.02,375.94,356.83,387.01,374.85,488.56,-,438.38,-,-,-
32,Common Stock,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,360,-,360,-,-,-
33,Additional Paid-In Capital,306.31,306.31,306.31,306.31,282.91,282.91,282.91,282.91,333.48,38.36,-,38.36,-,-,-
34,Retained Earnings,609.57,604.59,706.89,646.09,586.05,510.96,521.39,445.06,407.57,346.86,-,254.1,-,-,-
35,Total Common Equity,1316,1311,1413,1352,1269,1194,1204,1128,1141,745.23,652.46,652.46,-,-,-
36,Minority Interest,169.09,161.1,152.59,146.29,20.41,19.59,18.56,16.49,38,33.8,-,25.14,-,-,-
37,Shareholders' Equity,1485,1472,1566,1499,1289,1213,1223,1144,1179,779.03,677.6,677.6,-,-,-
38,Total Liabilities & Equity,2132,1984,1972,1900,1718,1589,1580,1531,1554,1268,-,1116,-,-,-
39,Total Debt,241.36,211.36,113.67,63.67,44.24,36.24,42.93,47.28,48.43,118.33,155.64,155.64,-,-,-
40,Net Cash (Debt),426.01,362.77,474.81,442.5,382.08,396.38,421.77,356.66,428.79,72.34,-55.59,-55.59,-,-,-
41,Net Cash Growth,11.50%,-8.48%,12.57%,24.07%,-10.89%,447.97%,-,-,-,-,-,-,-,-,-
42,Net Cash Per Share,1.05,0.91,1.17,1.10,0.97,0.97,1.05,0.92,1.05,0.20,-0.16,-0.16,-,-,-
43,Filing Date Shares Outstanding,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,360,360,360,353.24,357.38,-
44,Total Common Shares Outstanding,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,360,360,360,353.24,357.38,-
45,Working Capital,740.61,741.56,888.03,844.81,698.24,648.84,682.78,590.69,659.83,281.13,-,195.21,-,-,-
46,Book Value Per Share,3.29,3.28,3.53,3.38,3.17,2.98,3.01,2.82,2.85,2.07,1.81,1.81,-,-,-
47,Tangible Book Value,1199,1193,1294,1233,1148,1072,1082,1021,1034,636.98,542.49,542.49,-,-,-
48,Tangible Book Value Per Share,3.00,2.98,3.24,3.08,2.87,2.68,2.70,2.55,2.58,1.77,1.51,1.51,-,-,-
49,Buildings,-,255.88,-,254.8,-,243.4,-,271.36,-,243.26,-,243.26,-,-,-
50,Machinery,-,290.39,-,276.37,-,252.6,-,234.37,-,201.15,-,191.91,-,-,-
51,Construction In Progress,-,235.18,-,158.59,-,132.59,-,95.56,-,142.86,-,116.37,-,-,-
