,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
18,Accounts Payable,-,693.88,861.17,1124,470.99,505.61,603.58,-,513.84,-,-,-
19,Accrued Expenses,-,34.95,28.96,25.09,40.41,33.76,33.76,-,44.92,-,-,-
20,Short-Term Debt,-,410.34,371.31,292.26,235.08,-,-,-,-,-,-,-
21,Current Portion of Leases,-,10.33,1.56,2.96,2.99,2.09,1.86,-,3.2,-,-,-
22,Current Income Taxes Payable,-,2.14,0.03,1.83,10.18,5.74,0.01,-,23.94,-,-,-
23,Current Unearned Revenue,-,52.6,48.51,48.46,49.29,83.81,118.16,-,123.99,-,-,-
24,Other Current Liabilities,-,44.89,67.97,95.5,118.97,142.11,131.38,-,256.32,-,-,-
25,Total Current Liabilities,-,1249,1380,1590,927.91,773.12,888.74,-,966.21,-,-,-
26,Long-Term Debt,-,116.58,79.57,79.58,79.69,-,-,-,-,-,-,-
27,Long-Term Leases,-,4.02,3.84,4.3,4.62,5.35,2.53,-,3.29,-,-,-
28,Long-Term Unearned Revenue,-,97.71,80.96,83.74,86.18,62.52,64.33,-,54.73,-,-,-
29,Long-Term Deferred Tax Liabilities,-,0.01,0.01,0.01,0,3.03,1.91,-,1.74,-,-,-
30,Other Long-Term Liabilities,-,10.67,1.37,1.54,1.6,1.39,1.47,-,1.64,-,-,-
31,Total Liabilities,-,1478,1545,1759,1100,845.41,958.99,-,1028,-,-,-
32,Common Stock,-,400,400,400,400,400,400,-,360,-,-,-
33,Additional Paid-In Capital,-,1249,1231,1213,1195,1180,1164,-,470.39,-,-,-
34,Retained Earnings,-,187.75,567.76,660.52,718.97,704.58,660.43,-,542.07,-,-,-
35,Treasury Stock,-,-33.31,-33.31,-12.04,-,-,-,-,-,-,-,-
36,Total Common Equity,1804,1804,2166,2262,2314,2284,2224,1372,1372,-,-,1020
37,Minority Interest,-,3.25,3.19,3.18,3.22,3.23,3.17,-,2.15,-,-,-
38,Shareholders' Equity,1807,1807,2169,2265,2317,2288,2227,1375,1375,-,-,1020
39,Total Liabilities & Equity,-,3285,3714,4024,3417,3133,3186,-,2402,-,-,-
40,Total Debt,541.27,541.27,456.29,379.11,322.38,7.44,4.39,6.49,6.49,-,-,154.33
41,Net Cash (Debt),347.5,347.5,749.88,1007,1133,1114,1238,683.67,683.67,-,-,120.63
42,Net Cash Growth,-69.33%,-68.81%,-39.41%,47.25%,65.74%,-,-,466.73%,-,-,-,-
43,Net Cash Per Share,0.88,0.90,1.79,2.58,2.85,2.85,3.43,1.92,1.91,-,-,0.34
44,Filing Date Shares Outstanding,396.82,397.8,397.8,399.28,400,400,400,356.95,400,379.42,355.09,355.09
45,Total Common Shares Outstanding,397.8,397.8,397.8,399.28,400,400,400,356.95,400,379.42,355.09,355.09
46,Working Capital,-,405.69,551.9,560.05,1377,1494,1452,-,580.65,-,-,-
47,Book Value Per Share,4.53,4.53,5.44,5.66,5.79,5.71,5.56,3.43,3.43,-,-,2.83
48,Tangible Book Value,1751,1751,2144,2239,2297,2266,2205,1355,1355,-,-,1002
49,Tangible Book Value Per Share,4.40,4.40,5.39,5.61,5.74,5.67,5.51,3.39,3.39,-,-,2.78
50,Buildings,-,-,302.9,-,293.53,-,267.31,-,268.79,-,-,-
51,Machinery,-,-,971.78,-,739.89,-,681.06,-,676.57,-,-,-
52,Construction In Progress,-,-,515.59,-,90.85,-,36.82,-,42.16,-,-,-
