,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,Operating Expenses,-445.77,158.79,183.05,103.93,238.08,190.76,163.7,47.84,283.04,273.36,309.61,208.28,311.62,173.82,131.14,106.39,141.03,129.12,71.71,66.23
10,Operating Income,4.59,257.81,104.2,146.66,-82.31,330.21,97.52,216,56.81,521.96,353.41,313.28,135.67,228.08,171.49,174.23,78.51,111.18,116.41,62.41
11,Interest Expense,-19.16,-21.25,-,-23.03,-,-77.84,-,-44.6,-,-48,-19.89,-33.87,-,-51.16,-9.1,-33.37,-11.47,-27.11,-26.87,-22.38
12,Interest & Investment Income,37.06,6.34,9.53,10.5,59.03,7.14,28.09,12.39,48.37,8.37,2.9,3.11,22.27,1.32,10.33,0.16,0.3,0.11,1.22,0.36
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11,-0.11
14,Currency Exchange Gain (Loss),-,-2.48,2.48,-,23.35,-19.5,19.5,-,21.64,-11.28,11.28,-,-6.05,4.42,-4.42,-,-9.12,-,-0.91,0.91
15,Other Non Operating Income (Expenses),3.31,11.18,-19.33,-0.53,-101.03,66.19,-44.32,-8.59,-104.39,15.73,-11.14,-9.2,-34.44,11.18,-19.46,-7.61,-9.31,-3.13,-5.11,-4.59
16,EBT Excluding Unusual Items,25.8,251.61,96.88,133.61,-100.96,306.2,100.81,175.2,22.44,486.79,336.56,273.33,117.44,193.85,148.83,133.41,48.91,81.05,84.84,36.6
17,Gain (Loss) on Sale of Investments,8.2,-7.32,-2.58,1.71,4.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,-,0.39,-0.39,-,-5.9,2.07,-2.07,-,-5.12,1.84,-1.84,-,-6.37,1.9,-1.9,-,-9.98,-,-0.01,-
19,Asset Writedown,88.24,-88.24,21.31,-21.31,133.92,-133.92,54.8,-54.8,103.31,-103.31,36.05,-36.05,31.17,-31.17,3.5,-3.5,37.79,-9.86,-27.93,-
20,Other Unusual Items,-0.43,-16.73,17.16,-,79.08,-,-,-,126.73,-,-,-,48.99,-,-,-,21.28,-,2.89,-2.89
21,Pretax Income,121.81,139.7,132.38,114,110.3,174.35,153.54,120.4,247.35,385.32,370.76,237.28,191.23,164.58,150.43,129.91,98.01,71.18,59.79,33.72
22,Income Tax Expense,-11.33,13.91,4.53,3.42,-5.95,16.37,14.09,4.58,16.61,40.54,32.92,20.77,9.52,12.93,11.46,10.85,-0.17,9.97,2.12,-0.86
23,Earnings From Continuing Operations,133.14,125.8,127.85,110.58,116.25,157.98,139.45,115.82,230.74,344.78,337.85,216.51,181.71,151.65,138.97,119.06,98.18,61.21,57.67,34.58
24,Minority Interest in Earnings,-3.26,2.61,-0.05,0.7,-1.19,-0.25,-0.35,-0.25,-2.39,-2.28,-2.84,-1.82,-2.1,-3.57,-3.65,-3.47,-3.71,-0.48,0.79,2.31
25,Net Income,129.88,128.4,127.8,111.29,115.06,157.73,139.09,115.57,228.35,342.5,335.01,214.69,179.61,148.08,135.32,115.59,94.46,60.73,58.46,36.89
26,Net Income to Common,129.88,128.4,127.8,111.29,115.06,157.73,139.09,115.57,228.35,342.5,335.01,214.69,179.61,148.08,135.32,115.59,94.46,60.73,58.46,36.89
27,Net Income Growth,12.88%,-18.59%,-8.12%,-3.71%,-49.61%,-53.95%,-58.48%,-46.17%,27.14%,131.29%,147.57%,85.73%,90.14%,143.82%,131.49%,213.33%,-,-,-,-
28,Shares Outstanding (Basic),419,428,411,428,425,427,407,428,420,375,351,354,353,293,263,265,269,259,269,235
29,Shares Outstanding (Diluted),419,428,411,428,425,427,407,428,420,375,351,354,353,293,263,265,269,259,269,235
30,Shares Change (YoY),-1.56%,0.20%,0.97%,-0.00%,1.34%,14.13%,15.90%,21.04%,19.08%,27.72%,33.54%,33.29%,30.83%,13.42%,-2.20%,12.98%,-,-,-,-
31,EPS (Basic),0.31,0.30,0.31,0.26,0.27,0.37,0.34,0.27,0.54,0.91,0.95,0.61,0.51,0.50,0.51,0.44,0.35,0.23,0.22,0.16
32,EPS (Diluted),0.31,0.30,0.31,0.26,0.27,0.37,0.34,0.27,0.54,0.91,0.95,0.61,0.51,0.50,0.51,0.44,0.35,0.23,0.22,0.16
33,EPS Growth,14.67%,-18.75%,-9.00%,-3.70%,-50.28%,-59.65%,-64.18%,-55.53%,6.76%,81.09%,85.40%,39.34%,45.33%,114.98%,136.71%,177.34%,-,-,-,-
34,Free Cash Flow,-,77.21,207.96,228.5,719.74,208.66,-35.92,542.47,-461.12,-1575,-63.75,-112.52,-637.53,263.92,182.52,-6.85,-58.99,-35.49,126.7,31.49
35,Free Cash Flow Per Share,-,0.18,0.51,0.53,1.69,0.49,-0.09,1.27,-1.10,-4.20,-0.18,-0.32,-1.81,0.90,0.69,-0.03,-0.22,-0.14,0.47,0.13
36,Dividend Per Share,-,-,-,-,0.700,-,-,-,0.357,-,-,-,0.357,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,-,96.02%,-,-,-,0%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,-12.92%,11.63%,9.57%,7.60%,3.72%,10.42%,5.76%,7.36%,5.41%,10.06%,7.78%,8.63%,7.97%,10.73%,8.26%,9.66%,7.85%,11.33%,11.59%,8.87%
39,Operating Margin,0.13%,7.20%,3.47%,4.45%,-1.97%,6.60%,2.15%,6.02%,0.90%,6.61%,4.15%,5.18%,2.42%,6.09%,4.68%,6.00%,2.81%,5.24%,7.17%,4.31%
40,Profit Margin,3.80%,3.58%,4.26%,3.37%,2.75%,3.15%,3.07%,3.22%,3.64%,4.33%,3.93%,3.55%,3.20%,3.95%,3.70%,3.98%,3.38%,2.86%,3.60%,2.55%
41,Free Cash Flow Margin,-,2.16%,6.93%,6.93%,17.18%,4.17%,-0.79%,15.13%,-7.34%,-19.93%,-0.75%,-1.86%,-11.36%,7.05%,4.98%,-0.24%,-2.11%,-1.67%,7.81%,2.17%
42,EBITDA,94.23,347.46,198.61,236.31,7.33,405.76,186.36,291.54,132.36,582.29,424.11,373.61,195.99,277.22,229.54,232.07,127.65,141.47,161.82,107.81
43,EBITDA Margin,2.76%,9.70%,6.62%,7.16%,0.17%,8.11%,4.11%,8.13%,2.11%,7.37%,4.98%,6.18%,3.49%,7.40%,6.27%,7.99%,4.56%,6.67%,9.97%,7.44%
44,D&A For EBITDA,89.64,89.64,94.41,89.64,89.64,75.54,88.84,75.54,75.54,60.33,70.7,60.33,60.33,49.14,58.05,57.84,49.14,30.3,45.41,45.41
45,EBIT,4.59,257.81,104.2,146.66,-82.31,330.21,97.52,216,56.81,521.96,353.41,313.28,135.67,228.08,171.49,174.23,78.51,111.18,116.41,62.41
46,EBIT Margin,0.13%,7.20%,3.47%,4.45%,-1.97%,6.60%,2.15%,6.02%,0.90%,6.61%,4.15%,5.18%,2.42%,6.09%,4.68%,6.00%,2.81%,5.24%,7.17%,4.31%
47,Effective Tax Rate,-,9.95%,3.42%,3.00%,-,9.39%,9.18%,3.80%,6.71%,10.52%,8.88%,8.75%,4.98%,7.86%,7.62%,8.35%,-,14.01%,3.54%,-
48,Revenue as Reported,-,3582,3001,3299,4188,5001,4535,3586,6281,7902,8524,6044,5612,3744,3662,2906,2797,5193,-,-
