,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
15,Debt / Equity Ratio,0.11,0.11,0.11,0.13,0.18,0.08,0.18,0.20,0.21,0.19,0.21,0.46,0.56,0.42,0.52,1.14,1.31,1.21,-,-,1.26
16,Debt / EBITDA Ratio,1.09,2.53,0.69,1.42,1.73,13.58,0.95,2.31,1.51,2.90,0.73,1.14,1.52,2.07,1.70,2.53,2.71,4.27,-,-,4.58
17,Debt / FCF Ratio,-,-,0.77,0.85,1.46,0.52,6.06,-,-1.13,-,-,-,-,-,4.96,28.65,-,-,-,-,62.74
18,Asset Turnover,-,1.00,0.85,0.95,1.22,1.49,1.37,0.99,1.59,2.14,2.58,2.04,2.25,1.80,1.99,1.71,-,-,-,-,
19,Inventory Turnover,-,-,5.04,4.71,6.03,7.87,8.75,7.23,4.34,6.73,7.81,8.78,6.83,8.65,7.45,7.58,6.83,-,-,-,-
20,Quick Ratio,-,-,1.15,1.12,1.38,1.51,1.59,2.17,1.59,1.27,1.26,0.77,0.73,0.73,0.83,0.52,0.52,0.56,-,-,-
21,Current Ratio,-,-,1.69,1.73,1.89,2.08,2.19,2.93,2.32,1.84,1.87,1.27,1.29,1.33,1.31,0.96,1.02,1.02,-,-,-
22,Return on Equity (ROE),5.99%,5.70%,5.79%,4.98%,5.30%,7.31%,6.55%,5.51%,11.22%,22.26%,32.44%,21.69%,19.21%,21.42%,28.15%,25.60%,-,-,-,-,
23,Return on Assets (ROA),-,4.51%,1.83%,2.63%,-1.50%,6.16%,1.83%,3.72%,0.90%,8.82%,6.69%,6.62%,3.41%,6.86%,5.82%,6.43%,-,-,-,-,
24,Return on Capital (ROIC),0.12%,6.53%,2.55%,3.64%,-2.07%,8.03%,2.37%,5.36%,1.44%,16.27%,14.07%,13.16%,6.11%,11.55%,9.75%,10.35%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,4.48%,5.33%,5.00%,-,7.01%,8.74%,11.73%,13.28%,13.67%,17.25%,14.25%,12.97%,13.56%,17.08%,15.08%,11.89%,-,-,-
26,Earnings Yield,2.27%,2.59%,3.12%,3.89%,3.86%,3.16%,3.53%,3.96%,4.68%,4.80%,3.83%,3.13%,2.94%,2.23%,1.74%,-,-,-,-,-,-
27,FCF Yield,-,7.98%,10.38%,8.28%,8.60%,1.40%,-7.34%,-7.13%,-9.47%,-8.55%,-1.96%,-1.32%,-0.76%,1.34%,-,-,-,-,-,-,
28,Dividend Yield,1.35%,-,-,-,-,1.80%,-,-,-,0.66%,-,-,-,0.50%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,6.05%,237.68%,8.00%,10.43%,7.41%,116.60%,10.64%,6.17%,4.40%,42.40%,7.09%,8.34%,14.07%,14.75%,18.40%,35.90%,32.46%,57.25%,532.55%
30,Buyback Yield / Dilution,0.11%,1.56%,-0.20%,-0.97%,0.00%,-1.34%,-14.13%,-15.90%,-21.04%,-19.08%,-27.72%,-33.54%,-33.29%,-30.83%,-13.42%,2.20%,-12.98%,-,-,-,-
31,Total Shareholder Return,1.46%,1.56%,-0.20%,-0.97%,0.00%,0.46%,-14.13%,-15.90%,-21.04%,-18.42%,-27.72%,-33.54%,-33.29%,-30.33%,-13.42%,2.20%,-12.98%,-,-,-,-
