,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
9,P/FCF Ratio,197.52,-,-74.99,-67.56,-,-,88.68,-,-,11.41,16.03,-,27.18,-30.19,50.80,212.18,-,15.80,-,9.92,6.45,Upgrade
10,P/OCF Ratio,22.91,27.82,19.81,28.39,-,113.23,47.30,-,-,10.55,14.54,-,25.26,-41.53,35.80,77.79,-,12.82,-,7.93,5.50,Upgrade
11,EV/Sales Ratio,1.85,1.92,1.36,1.74,-,1.26,1.31,1.33,1.08,0.91,1.02,1.04,1.49,1.28,1.11,0.93,0.89,0.78,0.63,0.67,0.59,Upgrade
12,EV/EBITDA Ratio,70.94,61.87,41.49,56.99,-,43.20,37.99,35.17,24.84,27.37,28.28,25.89,-,51.66,133.33,139.83,-,135.22,37.19,28.08,-,Upgrade
13,EV/EBIT Ratio,95.53,78.75,53.09,70.02,-,55.20,46.60,41.94,29.20,34.47,35.14,31.34,-,72.00,305.42,316.83,-,221.20,42.30,30.69,-,Upgrade
14,EV/FCF Ratio,203.09,-,-78.19,-70.74,-,-,91.70,-,-,11.79,16.98,-,29.44,-33.09,56.31,220.51,-,18.81,-,12.58,8.33,Upgrade
15,Debt / Equity Ratio,0.42,0.42,0.42,0.34,-,-,0.47,0.42,0.44,0.47,0.52,0.57,0.61,0.73,0.69,0.90,0.94,1.29,1.88,2.16,1.28,Upgrade
16,Debt / EBITDA Ratio,5.23,4.33,3.34,4.13,-,-,4.84,5.13,6.13,3.35,2.89,2.88,-,2.85,2.66,4.30,-,38.26,6.16,20.04,-,Upgrade
17,Debt / FCF Ratio,14.96,-,-10.65,-6.24,-,-,11.93,-,-,2.16,2.27,-,2.78,-4.68,6.58,31.66,-,3.86,-,4.33,2.86,Upgrade
18,Asset Turnover,1.66,1.51,-,-,-,1.46,1.24,1.35,1.32,1.67,1.40,1.59,1.91,1.82,1.69,1.38,3.12,2.64,1.41,1.82,Upgrade,
19,Inventory Turnover,-,8.09,6.82,-,-,-,5.18,4.28,4.78,4.47,5.88,5.07,6.45,7.51,6.83,6.28,7.56,16.61,12.26,7.90,12.59,Upgrade
20,Quick Ratio,0.94,0.94,0.99,0.95,-,-,1.00,1.10,1.07,1.00,0.85,0.88,0.90,1.00,0.91,0.95,1.03,1.33,0.70,0.74,0.99,Upgrade
21,Current Ratio,1.38,1.38,1.45,1.51,-,-,1.57,1.81,1.68,1.61,1.34,1.41,1.39,1.47,1.43,1.61,1.80,1.71,1.16,1.16,1.36,Upgrade
22,Return on Equity (ROE),1.80%,3.74%,-,-,-,1.59%,3.70%,3.01%,0.05%,1.40%,7.65%,-6.51%,1.65%,0.22%,9.34%,-7.38%,85.38%,2.60%,-11.27%,-27.82%,Upgrade,
23,Return on Assets (ROA),2.50%,2.49%,-,-,-,2.21%,2.19%,0.99%,3.94%,3.85%,4.47%,-2.55%,6.15%,5.78%,4.50%,-8.52%,0.32%,3.98%,1.17%,-3.30%,Upgrade,
24,Return on Capital (ROIC),3.60%,3.59%,-,-,-,2.88%,2.80%,1.33%,5.81%,5.99%,6.62%,-3.55%,8.28%,7.92%,5.87%,-10.46%,0.44%,5.85%,1.61%,-4.32%,Upgrade,
25,Return on Capital Employed (ROCE),5.33%,5.03%,5.15%,4.91%,-,-,7.34%,8.29%,9.93%,7.26%,10.63%,12.37%,-,6.55%,1.79%,1.47%,-,2.14%,9.51%,13.46%,-,Upgrade
26,Earnings Yield,0.65%,0.62%,0.85%,0.53%,-,0.94%,0.88%,0.79%,1.05%,0.71%,0.60%,0.48%,0.33%,0.27%,4.03%,3.76%,3.01%,2.06%,-2.08%,-0.94%,0.52%,Upgrade
27,FCF Yield,0.51%,0.88%,-1.33%,-1.48%,-,-2.91%,1.13%,3.20%,3.31%,8.76%,6.24%,3.96%,3.68%,-3.31%,1.97%,0.47%,0.55%,6.33%,0.95%,10.08%,15.50%,Upgrade
28,Payout Ratio,17.89%,58.27%,38.95%,42.03%,-,146.24%,141.59%,45.75%,28.71%,272.26%,379.80%,46.48%,-,171.32%,1579.28%,35.41%,-,14.16%,609.95%,-,-,Upgrade
29,Buyback Yield / Dilution,25.73%,38.83%,-34.79%,2.86%,-,-158.88%,36.10%,-21.74%,-801.45%,57.12%,-30.63%,0.70%,85.22%,-29.95%,-14.96%,1.22%,-68.03%,-27.37%,5.01%,13.55%,39.83%,Upgrade
30,Total Shareholder Return,25.73%,38.83%,-34.79%,2.86%,-,-158.88%,36.10%,-21.74%,-801.45%,57.12%,-30.63%,0.70%,85.22%,-29.95%,-14.96%,1.22%,-68.03%,-27.37%,5.01%,13.55%,39.83%,Upgrade
