,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
17,Other Long-Term Assets,94.13,136.06,145.69,-,-,44.98,41.31,41.46,41.61,41.77,41.92,42.08,46.19,46.37,195.04,60.45,11.47,12.25,10.78,165.74,Upgrade
18,Total Assets,3623,3449,3384,-,-,3449,3253,3505,3725,3758,3441,3462,3561,3553,3870,3477,4044,5235,5502,5672,Upgrade
19,Accounts Payable,623.6,570.33,575.81,-,-,470.36,402.83,457.76,555.02,883.7,588.85,558.98,629.83,649.36,699,466.69,550.72,669,687.16,715.8,Upgrade
20,Accrued Expenses,21.48,21.43,20.33,-,-,19,23.64,36.95,24.82,21.67,22.45,35.5,30.07,31.4,25.5,52.9,7.78,18.61,7.66,45.98,Upgrade
21,Short-Term Debt,664.99,638.78,516.03,-,-,706.74,652.46,697.32,767.81,670.75,602.59,653.39,661.24,621.41,848.5,843.02,1363,1642,1821,1630,Upgrade
22,Current Portion of Long-Term Debt,-,5.8,-,-,-,6.48,72.36,60.15,70.07,58.16,117.18,104.54,-,330.01,-,-,32.87,-,157.81,79.35,Upgrade
23,Current Portion of Leases,-,11.06,-,-,-,11.48,-,11.11,-,10.94,-,10.63,346.93,10.41,0.72,32.97,-,72.76,-,80.76,Upgrade
24,Current Income Taxes Payable,12.67,2.13,1.81,-,-,3.12,9.55,4.3,6.73,6.34,36.95,34.61,26.4,20.5,35.52,17.23,29.47,19.01,91.82,67.6,Upgrade
25,Current Unearned Revenue,8.37,8.72,8.3,-,-,11.99,14.25,14.84,31.24,27.86,47.31,31.67,29.11,31.08,37.15,42.12,28.64,34.63,55.17,-,Upgrade
26,Other Current Liabilities,339.45,259.5,328.85,-,-,414.98,167.02,303.53,334.83,488.89,414.13,435.85,140.01,206.69,228.34,71.49,102.09,986.07,848.88,499.8,Upgrade
27,Total Current Liabilities,1671,1518,1451,-,-,1644,1342,1586,1791,2168,1829,1865,1864,1901,1875,1526,2115,3442,3670,3119,Upgrade
28,Long-Term Debt,53.63,50.02,54.59,-,-,62.5,25.47,25.86,24.35,24.32,86.62,87.38,87.67,57.89,476.07,467.78,475.01,572.8,621.58,610.59,Upgrade
29,Long-Term Leases,13.05,13.43,16,-,-,16.51,19.65,22.75,25.39,28.23,30.96,34.24,37.63,39.42,11.94,12.9,-,4.5,3.07,33.74,Upgrade
30,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.29,Upgrade
31,Long-Term Deferred Tax Liabilities,7.7,7.61,9.29,-,-,7.47,4.1,11.78,4.73,5.11,5.93,6.77,7.21,7.73,8.18,9.38,-,-,-,-,Upgrade
32,Other Long-Term Liabilities,137.97,128.65,137.56,-,-,0.33,10.31,0.57,10,9.95,10.42,0.35,11.42,11.49,11.7,12.39,-,-,-,-,Upgrade
33,Total Liabilities,1883,1726,1669,-,-,1741,1402,1657,1855,2236,1963,2005,2008,2017,2383,2029,2590,4019,4294,3767,Upgrade
34,Common Stock,1138,1138,1138,-,-,1138,1138,1138,1137,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,Upgrade
35,Additional Paid-In Capital,49.12,49.12,49.12,-,-,67.21,273.44,271.57,301.24,67.77,59.97,51.31,42.5,29.75,17,4.25,521.1,521.1,520.92,521.1,Upgrade
36,Retained Earnings,556.79,546.3,529.03,-,-,485.03,477.96,455.64,438.59,433.48,426.12,397.3,405.24,399.65,397.5,368.48,-175.37,-443.63,-453.43,116.75,Upgrade
37,Comprehensive Income & Other,-1.47,-9.75,-1.74,-,-,23.36,24.34,38.82,52.63,-0.61,-43.69,-32.58,-13.61,-15.6,2.17,2.65,19.75,19.93,19.94,21.14,Upgrade
38,Total Common Equity,1742,1723,1714,-,-,1713,1913,1904,1930,1570,1512,1486,1504,1483,1486,1445,1435,1167,1157,1729,Upgrade
39,Minority Interest,-2.41,0.23,1.45,-,-,-5.29,-62.01,-55.83,-60.02,-47.89,-34.36,-28.22,49.4,52.3,0.77,2.74,19.08,49.02,50.32,176.37,Upgrade
40,Shareholders' Equity,1740,1723,1715,-,-,1708,1851,1848,1870,1522,1478,1457,1553,1536,1487,1448,1454,1216,1207,1905,Upgrade
41,Total Liabilities & Equity,3623,3449,3384,-,-,3449,3253,3505,3725,3758,3441,3462,3561,3553,3870,3477,4044,5235,5502,5672,Upgrade
42,Total Debt,731.66,719.08,586.62,-,-,803.71,769.94,817.19,887.63,792.4,837.35,890.18,1133,1059,1337,1357,1871,2292,2604,2435,Upgrade
43,Net Cash (Debt),-274.69,-216.94,-214.78,-,-,-221.91,-265.76,-206.74,-130.73,-204.53,-368.49,-339.71,-674.84,-649.45,-885.54,-900.54,-332.75,-1407,-1451,-1443,Upgrade
44,Net Cash Per Share,-0.25,-0.17,-0.19,-,-,-0.24,-0.23,-0.14,-0.19,-0.14,-0.38,-2.04,-0.42,-0.58,-0.92,-0.80,-0.27,-1.46,-1.48,-2.15,Upgrade
45,Filing Date Shares Outstanding,1138,1138,1138,-,1774,1138,1138,1138,1137,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,Upgrade
46,Total Common Shares Outstanding,1138,1138,1138,-,1774,1138,1138,1138,1137,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,Upgrade
47,Working Capital,629.24,690.42,742.88,-,-,935.52,1089,1085,1086,735.81,745.87,724.06,869.43,810.6,1148,1218,1497,559.29,587.47,1129,Upgrade
48,Book Value Per Share,1.53,1.51,1.51,-,-,1.51,1.68,1.67,1.70,1.47,1.41,1.39,1.41,1.39,1.39,1.35,1.34,1.09,1.08,1.62,Upgrade
49,Tangible Book Value,915.85,1013,1067,-,-,1269,1516,1509,1521,1161,1102,1073,961.79,937.69,1067,1026,1150,107.54,86.18,644.42,Upgrade
50,Tangible Book Value Per Share,0.81,0.89,0.94,-,-,1.12,1.33,1.33,1.34,1.09,1.03,1.00,0.90,0.88,1.00,0.96,1.08,0.10,0.08,0.60,Upgrade
51,Buildings,-,200.57,-,-,-,202.87,-,214.58,-,199.47,-,224.21,-,252.25,-,-,-,46.15,-,45.92,Upgrade
52,Machinery,-,270.17,-,-,-,279.69,-,291.15,-,278.68,-,312.34,-,312.47,-,-,-,23.48,-,58.48,Upgrade
53,Construction In Progress,-,1.27,-,-,-,21.77,-,22.43,-,21.12,-,11.31,-,0.03,-,-,-,3.92,-,0.12,Upgrade
