,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
21,Return on Equity (ROE),4.71%,5.36%,5.00%,7.93%,5.97%,10.03%,8.94%,11.40%,10.02%,7.44%,2.27%,-,-,16.91%,18.39%,23.49%,25.02%,15.83%,-,
22,Return on Assets (ROA),1.49%,1.12%,2.18%,0.60%,1.95%,-1.95%,3.87%,4.33%,4.95%,3.39%,1.42%,-,-,-,-,14.34%,14.54%,8.26%,-,
23,Return on Capital (ROIC),1.61%,1.22%,2.37%,0.64%,2.11%,-2.15%,4.33%,5.05%,5.84%,3.77%,1.60%,-,-,10.93%,12.99%,18.04%,18.02%,10.09%,-,
24,Return on Capital Employed (ROCE),3.89%,3.19%,3.45%,1.77%,2.38%,4.28%,-,8.21%,6.56%,5.85%,4.86%,5.02%,15.22%,-,22.19%,-,22.69%,15.49%,9.57%,4.78%
25,Earnings Yield,2.43%,2.82%,3.52%,3.57%,3.51%,3.58%,3.89%,3.72%,2.85%,2.86%,1.69%,1.37%,-,-,-,-,-,-,-,-
26,FCF Yield,-1.56%,-1.81%,1.88%,-1.81%,-0.26%,-0.45%,2.65%,3.03%,1.88%,4.28%,-0.04%,-0.15%,-,-,-,-,-,-,-,-
27,Dividend Yield,1.18%,-,4.10%,-,2.51%,-,-,-,0.94%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,102.42%,6.45%,430.41%,5.52%,2.81%,6.15%,95.21%,3.91%,5.35%,63.92%,0.67%,0.21%,-,-,-,0.06%,4.33%,4.33%,2.93%,2.93%
29,Buyback Yield / Dilution,-5.69%,-1.65%,15.47%,-15.99%,-27.77%,5.22%,18.78%,-46.53%,1.36%,-33.11%,-80.62%,13.20%,-3.27%,0.85%,-2.33%,-3.94%,-,-,-,-
30,Total Shareholder Return,-4.52%,-1.65%,19.57%,-15.99%,-25.26%,5.22%,18.78%,-46.53%,2.29%,-33.11%,-80.62%,13.20%,-3.27%,0.85%,-2.33%,-3.94%,-,-,-,-
