,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
16,Debt / FCF Ratio,0.52,-,-,-,0.98,-,-,-,3.49,0.19,-,-,-6.50,-,-,-,-,-,-,-
17,Asset Turnover,0.33,0.64,0.24,0.85,0.26,0.44,0.23,0.68,0.61,0.65,0.24,0.65,0.43,-,-,-,-,0.64,-,
18,Inventory Turnover,-,-,-,16.82,-,-,-,-,-,23.50,13.56,11.66,22.28,81.77,-,-,-,-,78.78,-
19,Quick Ratio,1.44,1.44,1.51,1.42,1.41,1.53,1.67,1.68,1.58,1.73,1.65,1.72,1.71,1.79,1.55,-,1.37,-,1.46,1.46
20,Current Ratio,1.45,1.45,1.54,1.47,1.45,1.54,1.68,1.68,1.60,1.76,1.73,1.81,1.79,1.85,1.60,-,1.40,-,1.52,1.52
21,Return on Equity (ROE),-22.71%,27.10%,-6.33%,16.94%,-32.22%,7.68%,-6.19%,0.16%,-3.35%,11.86%,-21.17%,29.54%,-3.23%,25.29%,1.30%,-,-,12.29%,-,
22,Return on Assets (ROA),-7.84%,12.76%,-5.32%,-0.03%,-8.15%,5.63%,-6.47%,-14.67%,11.78%,2.37%,-8.27%,4.81%,3.11%,-,-,-,-,4.29%,-,
23,Return on Capital (ROIC),-16.17%,26.17%,-11.25%,-0.06%,-16.02%,10.69%,-12.73%,-28.55%,22.10%,4.40%,-15.14%,8.68%,5.78%,17.45%,0.23%,-,-,8.85%,-,
24,Return on Capital Employed (ROCE),-,-,-0.29%,-,-,-,-3.43%,-,-,8.02%,1.12%,-,10.39%,12.07%,14.30%,-,14.34%,-,6.98%,3.49%
25,Earnings Yield,0.98%,1.03%,0.49%,-1.11%,-0.90%,-2.00%,-0.12%,0.22%,-1.16%,1.30%,1.08%,1.45%,3.83%,2.92%,-,-,-,-,-,-
26,FCF Yield,0.32%,0.34%,-1.12%,-0.30%,0.57%,2.16%,4.41%,2.67%,0.38%,3.45%,2.00%,2.85%,-0.19%,-0.63%,-,-,-,-,-,-
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,1.55%,-,-,-,-,-,-,-
28,Payout Ratio,2.72%,-,0.31%,-,0.94%,-,1.89%,-,102.91%,-,164.64%,-,0.05%,-,0.08%,-,-,-,-,-
29,Buyback Yield / Dilution,0.09%,0.29%,0.08%,-0.07%,0.05%,0.00%,-0.05%,0.04%,7.73%,-20.01%,-33.59%,-33.10%,-42.05%,-11.11%,0.19%,-0.17%,-,-,-,-
30,Total Shareholder Return,0.09%,0.29%,0.08%,-0.07%,0.05%,0.00%,-0.05%,0.04%,7.73%,-20.01%,-33.59%,-33.10%,-40.50%,-11.11%,0.19%,-0.17%,-,-,-,-
