,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
9,Operating Expenses,-115.13,34.49,47.14,33.5,56.79,39.2,34.96,27.12,48.91,32.39,25.72,23.37,38.8,27.55,25.64,18.06
10,Operating Income,42.71,62.83,20.8,26.99,28.18,62.48,46.38,22.24,-5.59,43.51,41.07,46.07,17.57,46.9,35.11,16.98
11,Interest Expense,-5.99,-8.08,-3.15,-2.01,-,-,-0.1,-,-0.18,-0.36,-5.13,-0.57,-0.27,-,-,-5.95
12,Interest & Investment Income,13.25,2.14,2.07,1.78,2.97,2.43,3.34,3.68,3.79,5.7,0.27,0.09,0.14,0.04,6.42,0.2
13,Currency Exchange Gain (Loss),-,-7.35,7.35,-,4.12,-5.82,5.82,-,6.8,-6.7,6.7,-,-0.7,0.97,-1.84,0.87
14,Other Non Operating Income (Expenses),-0.75,0.93,-3.03,2.87,-3.73,5.84,-2.59,0.26,-10.24,3.29,-0.39,4.27,-3.55,-6.3,7.81,-0.61
15,EBT Excluding Unusual Items,49.22,50.47,24.04,29.63,31.53,64.91,52.87,26.18,-5.41,45.45,42.53,49.85,13.19,41.61,47.5,11.48
16,Gain (Loss) on Sale of Investments,-0.38,0.21,0.1,0.07,4.22,-1.09,0.07,1.04,1.44,-,-,-,-,-,-0.06,-
17,Gain (Loss) on Sale of Assets,-4.02,2.69,1.08,0.26,-0.73,1.52,1.51,0.32,0.59,13.33,-0.21,0.34,0.82,2.59,0.01,-0.11
18,Asset Writedown,7.77,-7.77,3.34,-3.34,5.45,-5.45,1.25,-1.25,8.96,-8.96,1.54,-1.54,8.94,-8.94,4.71,-4.71
19,Other Unusual Items,-,-4.56,4.55,0.01,13.22,-,-,-,26,-,-,-,23.28,-,-,-
20,Pretax Income,52.59,41.05,33.09,26.63,53.69,59.89,55.7,26.3,31.58,49.81,43.86,48.65,46.24,35.26,52.16,6.66
21,Income Tax Expense,-6.34,-0.12,-0.26,0.3,-0.22,-0.14,-0.04,-,-3.33,-,-,-,-,-,-,-
22,Net Income,58.92,41.16,33.35,26.33,53.91,60.03,55.74,26.3,34.91,49.81,43.86,48.65,46.24,35.26,52.16,6.66
23,Net Income to Common,58.92,41.16,33.35,26.33,53.91,60.03,55.74,26.3,34.91,49.81,43.86,48.65,46.24,35.26,52.16,6.66
24,Net Income Growth,9.30%,-31.43%,-40.17%,0.10%,54.43%,20.52%,27.09%,-45.93%,-24.50%,41.25%,-15.91%,630.42%,-,-,-,-
25,Shares Outstanding (Basic),842,816,827,878,901,866,764,877,921,712,627,695,657,680,670,666
26,Shares Outstanding (Diluted),842,816,827,878,901,866,764,877,921,712,627,695,657,680,670,666
27,Shares Change (YoY),-6.52%,-5.81%,8.29%,0.10%,-2.11%,21.75%,21.96%,26.15%,40.20%,4.60%,-6.45%,4.35%,-,-,-,-
28,EPS (Basic),0.07,0.05,0.04,0.03,0.06,0.07,0.07,0.03,0.04,0.07,0.07,0.07,0.07,0.05,0.08,0.01
29,EPS (Diluted),0.07,0.05,0.04,0.03,0.06,0.07,0.07,0.03,0.04,0.07,0.07,0.07,0.07,0.05,0.08,0.01
30,EPS Growth,16.93%,-27.20%,-44.75%,0%,57.76%,-1.01%,4.21%,-57.14%,-46.15%,40.17%,-10.12%,600.00%,-,-,-,-
31,Free Cash Flow,-,-54.64,-55.55,-74.49,-184.06,-270.57,-192.15,-189.95,-7.67,42.92,-70.23,53.5,-45.27,-43.27,43.14,-55.53
32,Free Cash Flow Per Share,-,-0.07,-0.07,-0.08,-0.20,-0.31,-0.25,-0.22,-0.01,0.06,-0.11,0.08,-0.07,-0.06,0.06,-0.08
33,Dividend Per Share,-,-,-,-,0.100,-,-,-,-,-,-,-,-,-,-,-
34,Gross Margin,-16.81%,24.55%,18.96%,19.19%,24.78%,30.07%,25.76%,20.45%,17.94%,32.15%,28.83%,30.14%,25.23%,34.87%,29.70%,22.71%
35,Operating Margin,9.91%,15.85%,5.81%,8.56%,8.22%,18.48%,14.69%,9.21%,-2.31%,18.43%,17.73%,20.00%,7.86%,21.97%,17.17%,11.01%
36,Profit Margin,13.67%,10.38%,9.31%,8.35%,15.72%,17.75%,17.65%,10.90%,14.45%,21.09%,18.93%,21.12%,20.69%,16.52%,25.50%,4.32%
37,Free Cash Flow Margin,-,-13.78%,-15.50%,-23.62%,-53.67%,-80.02%,-60.85%,-78.69%,-3.17%,18.18%,-30.32%,23.23%,-20.26%,-20.27%,21.09%,-36.00%
38,EBITDA,112.12,132.24,108.21,96.41,97.6,116.19,110.19,75.96,47.68,86.36,92.35,95.24,60.41,81.63,107.95,23.2
39,EBITDA Margin,26.02%,33.36%,30.20%,30.58%,28.46%,34.36%,34.89%,31.47%,19.74%,36.57%,39.87%,41.34%,27.04%,38.24%,52.78%,15.04%
40,D&A For EBITDA,69.42,69.42,87.41,69.42,69.42,53.72,63.81,53.72,53.26,42.84,51.29,49.17,42.84,34.74,72.84,6.23
41,EBIT,42.71,62.83,20.8,26.99,28.18,62.48,46.38,22.24,-5.59,43.51,41.07,46.07,17.57,46.9,35.11,16.98
42,EBIT Margin,9.91%,15.85%,5.81%,8.56%,8.22%,18.48%,14.69%,9.21%,-2.31%,18.43%,17.73%,20.00%,7.86%,21.97%,17.17%,11.01%
43,Effective Tax Rate,-,-,-,1.13%,-,-,-,-,-,-,-,-,-,-,-,-
44,Revenue as Reported,-,396.42,358.35,315.3,342.96,338.15,315.81,241.38,241.53,-,231.64,230.36,223.44,572.26,-,154.25
