,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
33,Additional Paid-In Capital,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,264.86,264.86,264.86,-,264.86,-
34,Retained Earnings,387.46,350.65,400.69,377.31,335.34,288.48,315.21,283.76,245.63,199.58,191.17,171.92,146.23,118.64,-,79.76,-
35,Shareholders' Equity,2830,2793,2843,2820,2778,2731,2758,2727,2688,2642,2634,1429,1403,1375,1336,1336,-
36,Total Liabilities & Equity,3397,3379,3442,3429,3312,3266,3214,3122,3122,3055,3073,1996,1990,1976,-,1901,-
37,Total Debt,0.45,0.45,0.45,0.89,-,1.32,1.31,-,-,0.14,39,133.65,160.25,20.13,240.27,240.27,-
38,Net Cash (Debt),563.75,589.54,548.75,850.13,654.62,742.76,667.62,1071,717.63,722.62,1200,31.75,-16.4,114.98,24.62,24.62,-
39,Net Cash Growth,-13.88%,-20.63%,-17.81%,-20.66%,-8.78%,2.79%,-44.35%,3274.32%,-,528.47%,4771.97%,28.96%,-,-,-,-,-
40,Net Cash Per Share,0.33,0.51,0.42,0.61,0.42,0.60,0.51,0.63,0.63,0.55,1.18,0.03,-0.02,0.11,0.03,0.02,-
41,Filing Date Shares Outstanding,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,991.8,991.8,991.8,969.26,991.8,1148
42,Total Common Shares Outstanding,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,1322,991.8,991.8,991.8,969.26,991.8,1148
43,Working Capital,565.23,543.09,638.15,686.45,823.4,890.55,1052,1098,1111,1102,1194,-5.01,17.47,-16.6,-,38.79,-
44,Book Value Per Share,2.14,2.11,2.15,2.13,2.10,2.07,2.09,2.06,2.03,2.00,1.99,1.44,1.41,1.39,1.35,1.35,-
45,Tangible Book Value,2284,2244,2290,2263,2234,2184,2208,2174,2132,2083,2140,932.14,903.67,887.69,1099,1099,-
46,Tangible Book Value Per Share,1.73,1.70,1.73,1.71,1.69,1.65,1.67,1.64,1.61,1.58,1.62,0.94,0.91,0.90,1.11,1.11,-
47,Buildings,-,1992,-,1277,-,1275,-,1275,-,1275,-,1276,1277,1259,-,1160,-
48,Machinery,-,158.7,-,141.32,-,140.49,-,136.88,-,132.21,-,131.22,122.62,59.35,-,103.27,-
49,Construction In Progress,-,196.73,-,782.45,-,461.5,-,235.02,-,120.38,-,52.66,15.2,30.36,-,126.15,-
