,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
11,Interest Expense,-,-0,-0,-0.01,-0.01,-0.01,-0.01,-,-,-0,-1.1,-1.38,-1.53,-1.69,-2.03,-2.51,-2.13
12,Interest & Investment Income,0.84,2.86,4.18,7.52,5.28,5.85,4.78,3.48,8.06,6.38,0.81,0.59,0.54,1.04,-,0.9,0.14
13,Other Non Operating Income (Expenses),0.03,-0.06,0.01,-0.25,-0.36,-0.18,-0,-2.65,-0.02,2.04,0.54,0.01,-0.04,-0.48,0.44,-0.01,-0.06
14,EBT Excluding Unusual Items,37.26,55.38,25.19,49.64,53.92,52.53,34.88,31.15,53.28,45.26,22.32,24.66,35.92,40.63,24.27,20.96,41.91
15,Gain (Loss) on Sale of Investments,1.85,1.02,0.13,-2.68,-0.47,0.11,1.82,1.96,0.18,-0.04,-,-0,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,-,0.03,-0.02,0.46,0.17,-,-,-,-,-,-,-,-,-,-,-0.04,1.85
17,Asset Writedown,0.24,-0.24,-,-0.4,0.38,-0.38,-,-0.39,0.24,-0.24,-,-0.08,0.03,-0.03,-,-0.03,-
18,Other Unusual Items,2.16,2.47,1.65,2,-,-,-,13.59,-,-,-,9.79,-,-,-,9.76,-
19,Pretax Income,41.5,58.67,26.95,49.03,54.01,52.25,36.71,46.33,53.59,45.09,22.32,34.42,35.94,40.61,24.27,30.66,43.76
20,Income Tax Expense,4.69,8.21,3.57,7.06,7.16,7.56,5.27,8.19,7.54,6.27,3.06,8.74,8.35,9.14,5.86,8.65,9.33
21,Net Income,36.81,50.46,23.38,41.97,46.85,44.69,31.44,38.14,46.05,38.82,19.25,25.69,27.59,31.47,18.42,22.01,34.43
22,Net Income to Common,36.81,50.46,23.38,41.97,46.85,44.69,31.44,38.14,46.05,38.82,19.25,25.69,27.59,31.47,18.42,22.01,34.43
23,Net Income Growth,-21.44%,12.90%,-25.62%,10.05%,1.75%,15.13%,63.29%,48.48%,66.89%,23.35%,4.55%,16.73%,-19.87%,-,-,-,-
24,Shares Outstanding (Basic),1688,1162,1299,1399,1562,1228,1310,1702,1148,1310,1013,1221,910,1026,969,1076,1148
25,Shares Outstanding (Diluted),1688,1162,1299,1399,1562,1228,1310,1702,1148,1310,1013,1221,910,1026,969,1076,1148
26,Shares Change (YoY),8.08%,-5.33%,-0.83%,-17.82%,36.07%,-6.25%,29.27%,39.41%,26.13%,27.61%,4.55%,13.54%,-20.72%,-,-,-,-
27,EPS (Basic),0.02,0.04,0.02,0.03,0.03,0.04,0.02,0.02,0.04,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.03
28,EPS (Diluted),0.02,0.04,0.02,0.03,0.03,0.04,0.02,0.02,0.04,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.03
29,EPS Growth,-27.31%,19.26%,-25.00%,33.91%,-25.22%,22.80%,26.32%,6.51%,32.31%,-3.34%,0%,2.81%,1.07%,-,-,-,-
30,Free Cash Flow,-27.81,-66.43,-99.88,-11.52,-93.8,-35.57,-28.87,-27.36,-10.72,-77.23,-21.01,49.97,12.14,6.17,0.74,6.13,13.43
31,Free Cash Flow Per Share,-0.02,-0.06,-0.08,-0.01,-0.06,-0.03,-0.02,-0.02,-0.01,-0.06,-0.02,0.04,0.01,0.01,0.00,0.01,0.01
32,Dividend Per Share,-,0.025,-,0.076,-,-,-,0.054,-,-,-,0.023,-,-,-,-,-
33,Dividend Growth,-,-,-,40.74%,-,-,-,134.78%,-,-,-,-,-,-,-,-,-
34,Gross Margin,70.81%,73.03%,66.09%,64.91%,77.55%,70.89%,66.46%,60.23%,70.58%,69.26%,62.30%,59.08%,71.24%,72.70%,66.33%,63.85%,73.20%
35,Operating Margin,35.72%,50.67%,31.01%,44.53%,50.86%,50.03%,42.12%,34.00%,48.42%,44.84%,36.78%,31.41%,46.74%,51.71%,45.37%,32.68%,50.96%
36,Profit Margin,36.14%,48.62%,34.52%,44.10%,48.62%,47.70%,43.97%,42.78%,49.29%,47.25%,32.11%,31.72%,34.91%,38.96%,32.32%,31.83%,39.92%
37,Free Cash Flow Margin,-27.30%,-64.01%,-147.42%,-12.10%,-97.34%,-37.96%,-40.39%,-30.69%,-11.47%,-93.99%,-35.05%,61.70%,15.36%,7.64%,1.31%,8.87%,15.57%
38,EBITDA,52.63,70.35,37.25,58.63,65.45,64.55,46.54,46.75,60.8,53.3,37.62,41.03,52.41,56.89,40.55,36.25,59
39,EBITDA Margin,51.67%,67.79%,54.99%,61.60%,67.91%,68.89%,65.10%,52.43%,65.08%,64.87%,62.74%,50.67%,66.31%,70.43%,71.17%,52.43%,68.40%
40,D&A For EBITDA,16.25,17.77,16.25,16.25,16.43,17.67,16.43,16.43,15.56,16.45,15.56,15.6,15.47,15.12,14.7,13.66,15.05
41,EBIT,36.39,52.58,21.01,42.38,49.01,46.88,30.11,30.32,45.24,36.85,22.05,25.44,36.95,41.77,25.86,22.59,43.96
42,EBIT Margin,35.72%,50.67%,31.01%,44.53%,50.86%,50.03%,42.12%,34.00%,48.42%,44.84%,36.78%,31.41%,46.74%,51.71%,45.37%,32.68%,50.96%
43,Effective Tax Rate,11.31%,14.00%,13.25%,14.39%,13.25%,14.47%,14.35%,17.67%,14.07%,13.91%,13.72%,25.38%,23.22%,22.51%,24.13%,28.23%,21.32%
44,Revenue as Reported,101.86,103.77,67.75,95.17,96.37,93.7,71.5,89.16,93.43,82.16,59.96,80.99,79.04,137.76,-,69.13,86.26
