,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
27,Total Liabilities,-,1205,1023,855.65,647.75,591.07,392.66,302.33,323.43,300.4,273.15,278.01,282.91,261.77,200.72,-,103.11,-
28,Common Stock,-,415.65,415.65,415.65,408.15,408.15,408.15,408.15,407.16,404.18,404.18,404.18,404.18,360,360,-,360,-
29,Additional Paid-In Capital,-,3085,3052,3019,2954,2909,2859,2808,2757,2743,2738,2733,2729,760.11,746.56,-,718.88,-
30,Retained Earnings,-,-3072,-2858,-2738,-2514,-2235,-1920,-1645,-1406,-1180,-1015,-851.58,-669.85,-466.36,-298.55,-,0.03,-
31,Total Common Equity,428.43,428.43,609.06,696.59,848.63,1082,1347,1571,1758,1967,2128,2286,2463,653.74,808.01,1079,1079,-
32,Minority Interest,-,8.81,12.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Shareholders' Equity,437.25,437.25,621.51,696.59,848.63,1082,1347,1571,1758,1967,2128,2286,2463,653.74,808.01,1079,1079,-
34,Total Liabilities & Equity,-,1643,1645,1552,1496,1673,1739,1873,2082,2268,2401,2564,2746,915.51,1009,-,1182,-
35,Total Debt,903.95,903.95,686.21,583.15,410.37,273.97,162.05,76.42,85.27,90.39,82.35,83.17,87.76,90.08,84.97,-,-,-
36,Net Cash (Debt),-95.65,-95.65,141.72,233.77,337.83,639.25,868.08,1124,1331,1512,1656,1809,1987,154.24,260.64,599.31,599.31,-
37,Net Cash Growth,-,-,-83.67%,-79.19%,-74.62%,-57.72%,-47.57%,-37.88%,-33.02%,880.18%,535.28%,201.79%,231.62%,-,-,-,-,-
38,Net Cash Per Share,-0.23,-0.23,0.34,0.56,0.84,1.56,2.12,2.77,3.30,3.75,4.06,4.48,5.46,0.43,0.72,1.68,1.67,-
39,Filing Date Shares Outstanding,417.65,415.65,415.65,415.65,408.15,408.15,408.15,408.15,407.16,404.18,404.18,404.18,404.18,360,360,356.44,360,360
40,Total Common Shares Outstanding,417.65,415.65,415.65,415.65,408.15,408.15,408.15,408.15,407.16,404.18,404.18,404.18,404.18,360,360,356.44,360,360
41,Working Capital,-,410.02,475.9,434.22,461.93,558.05,816.64,1035,1225,1415,1566,1719,1900,90.25,246.61,-,521.97,-
42,Book Value Per Share,1.03,1.03,1.47,1.68,2.08,2.65,3.30,3.85,4.32,4.87,5.26,5.66,6.09,1.82,2.24,3.00,3.00,-
43,Tangible Book Value,-9.43,-9.43,162.77,242.41,386.65,612.74,871.04,1087,1266,1516,1620,1819,1988,171.37,317.63,572.66,572.66,-
44,Tangible Book Value Per Share,-0.02,-0.02,0.39,0.58,0.95,1.50,2.13,2.66,3.11,3.75,4.01,4.50,4.92,0.48,0.88,1.59,1.59,-
45,Machinery,-,-,52.44,-,49.14,-,44.44,-,31.99,-,27.79,-,26.91,25.12,24.88,-,23.59,-
46,Construction In Progress,-,-,76.51,-,13.35,-,15.25,-,8.85,-,8.81,-,5.04,-,-,-,0.15,-
