,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
17,Accounts Payable,170.31,144.11,198.16,191.4,150.69,116.14,120.84,85.35,85.36,105.99,130.49,130.9,105.94,73.7,-,57.74
18,Accrued Expenses,27.47,34.91,19.01,44.69,23.71,28.09,15.57,36.06,22.88,22.54,15.9,36.46,20.82,28.85,-,41.63
19,Short-Term Debt,30.01,33.01,70.07,83.08,74.07,93.07,93.1,153.17,153.15,142.63,105.5,46.56,186.22,155.15,-,155.98
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,30.04,30.04,-,-
21,Current Portion of Leases,0.61,0.6,0.67,0.67,0.51,0.65,0.2,0.57,0.44,0.62,0.47,0.13,-,-,-,-
22,Current Income Taxes Payable,10.27,0.36,6.55,0.43,8.76,0.28,7.71,-,8.71,0.02,9.55,1.31,7.77,5.48,-,4.92
23,Current Unearned Revenue,0.65,0.4,0.35,0.18,0.09,0.08,0.14,0.04,0.16,0.25,0.07,0.16,0.16,0.26,-,0.18
24,Other Current Liabilities,11.84,82.22,2.18,34.48,1.44,16.89,1.45,28.79,0.77,12.88,1.21,14.24,1.93,31.1,-,35.16
25,Total Current Liabilities,251.16,295.6,296.99,354.92,259.27,255.21,239.02,304,271.47,284.94,263.19,229.76,352.88,324.58,-,295.62
26,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30
27,Long-Term Leases,0.51,0.53,0.57,0.99,1.26,1.14,0.94,1.3,1.54,1.36,1.18,0.06,-,-,-,-
28,Long-Term Unearned Revenue,18.46,18.96,19.47,19.96,20.45,14.61,14.86,15.11,14.49,14.72,4.09,4.24,2.17,2.26,-,2.45
29,Long-Term Deferred Tax Liabilities,21.92,21.53,21.09,19.7,19.92,19.53,16.14,15.89,15.05,13.28,10.89,9.11,8.72,7.2,-,6.32
30,Total Liabilities,292.06,336.63,338.12,395.57,300.91,290.5,270.96,336.3,302.54,314.31,279.35,243.17,363.77,334.05,-,334.39
31,Common Stock,146.88,146.88,146.88,146.88,146.88,146.88,146.88,146.88,146.88,146.88,146.88,146.88,110.16,110.16,-,110.16
32,Additional Paid-In Capital,808.52,808.52,808.52,808.52,808.52,808.52,808.52,808.52,808.52,808.52,808.52,808.52,279.53,279.4,-,279.59
33,Retained Earnings,320.82,320.16,363,345.48,329.18,312.52,337.22,330.62,329.81,325.76,352.98,339.83,328.73,308.59,-,260.75
34,Treasury Stock,-10,-6.97,-2.4,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,0.05,0.06,0.05,0.05,0.07,0.09,0.06,0.07,0.09,0.03,-0.04,-0.03,-0.03,-0.03,-,-0.02
36,Total Common Equity,1266,1269,1316,1301,1285,1268,1293,1286,1285,1281,1308,1295,718.39,698.12,650.48,650.48
37,Minority Interest,-1.37,-1.63,-1.47,-1.15,-0.79,-0.59,-0.33,-0.15,0.06,0.19,-,-,-,-,-,-
38,Shareholders' Equity,1265,1267,1315,1300,1284,1267,1292,1286,1285,1281,1308,1295,718.39,698.12,650.48,650.48
39,Total Liabilities & Equity,1557,1604,1653,1695,1585,1558,1563,1622,1588,1596,1588,1538,1082,1032,-,984.87
40,Total Debt,31.13,34.15,71.31,84.73,75.84,94.87,94.24,155.05,155.12,144.62,107.15,46.75,216.26,185.19,185.98,185.98
41,Net Cash (Debt),91.23,142.9,120.19,126.58,135.66,89.56,132.85,174.29,192.51,223.6,288.58,385,-168.64,-126.17,-126.09,-126.09
42,Net Cash Growth,-32.76%,59.56%,-9.53%,-27.37%,-29.53%,-59.95%,-53.97%,-54.73%,-,-,-,-,-,-,-,-
43,Net Cash Per Share,0.59,1.01,0.82,0.85,0.87,0.58,1.00,1.05,1.39,1.54,1.97,3.20,-1.52,-1.15,-1.15,-1.15
44,Filing Date Shares Outstanding,146.07,146.31,146.68,146.88,146.88,146.88,146.88,146.88,146.88,146.88,146.88,146.88,146.88,110.16,109.26,109.37
45,Total Common Shares Outstanding,146.07,146.31,146.68,146.88,146.88,146.88,146.88,146.88,146.88,146.88,146.88,146.88,110.16,110.16,109.26,109.37
46,Working Capital,344.03,347.94,390.89,373.7,388.43,367.13,417.96,424.75,479.34,505.52,582.72,676.23,117.37,142.73,-,166.56
47,Book Value Per Share,8.67,8.67,8.97,8.86,8.75,8.63,8.80,8.76,8.75,8.72,8.91,8.82,6.52,6.34,5.95,5.95
48,Tangible Book Value,1171,1174,1221,1207,1190,1173,1197,1190,1188,1184,1210,1197,640.73,660.34,612.79,612.79
49,Tangible Book Value Per Share,8.02,8.02,8.32,8.22,8.10,7.98,8.15,8.10,8.09,8.06,8.24,8.15,5.82,5.99,5.60,5.60
50,Buildings,-,623.37,-,622.86,-,409.4,-,407.19,-,405.36,-,405.23,-,328.64,-,325.08
51,Machinery,-,462.04,-,434.63,-,397.98,-,377.97,-,331.81,-,306.59,-,274.81,-,236.32
52,Construction In Progress,-,48.58,-,55.4,-,246.95,-,202.45,-,121.75,-,33.99,-,24.63,-,6.65
