,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
28,Shares Outstanding (Basic),154,142,146,149,156,154,132,166,139,145,146,120,111,110,109,109
29,Shares Outstanding (Diluted),154,142,146,149,156,154,132,166,139,145,146,120,111,110,109,109
30,Shares Change (YoY),-1.63%,-8.17%,10.33%,-10.55%,12.53%,6.05%,-9.48%,38.21%,25.04%,32.74%,33.76%,10.13%,-,-,-,-
31,EPS (Basic),0.07,0.06,0.12,0.11,0.11,0.04,0.05,0.00,0.03,0.02,0.09,0.09,0.18,0.29,0.33,0.30
32,EPS (Diluted),0.07,0.06,0.12,0.11,0.11,0.04,0.05,0.00,0.03,0.02,0.09,0.09,0.18,0.29,0.33,0.30
33,EPS Growth,-33.39%,45.14%,140.00%,2172.02%,264.65%,105.28%,-44.44%,-94.76%,-83.91%,-93.16%,-72.73%,-69.31%,-,-,-,-
34,Free Cash Flow,1.94,28,-1.12,1.27,37.12,-8.56,-40.97,-24.34,-30.81,-33.55,-29.29,-11.22,-21.58,29.82,-0.12,42.15
35,Free Cash Flow Per Share,0.01,0.20,-0.01,0.01,0.24,-0.06,-0.31,-0.15,-0.22,-0.23,-0.20,-0.09,-0.19,0.27,-0.00,0.39
36,Dividend Per Share,-,0.070,-,0.350,-,-,-,0.211,-,-,-,0.205,-,-,-,-
37,Dividend Growth,-,-,-,65.88%,-,-,-,2.93%,-,-,-,-,-,-,-,-
38,Gross Margin,39.11%,26.39%,37.00%,24.85%,33.49%,27.65%,26.90%,17.49%,26.27%,22.07%,33.04%,30.04%,35.84%,39.41%,43.91%,36.39%
39,Operating Margin,10.51%,-2.10%,14.17%,1.91%,12.56%,3.79%,5.47%,-8.91%,4.19%,1.31%,11.06%,2.01%,19.62%,23.20%,27.44%,18.37%
40,Profit Margin,7.43%,5.55%,11.08%,8.92%,10.80%,4.32%,5.09%,0.58%,2.88%,2.81%,9.68%,8.11%,15.18%,18.92%,22.82%,19.44%
41,Free Cash Flow Margin,1.32%,18.57%,-0.71%,0.69%,24.11%,-5.89%,-31.51%,-17.52%,-21.92%,-32.65%,-21.56%,-8.19%,-16.26%,17.75%,-0.07%,24.94%
42,EBITDA,29.16,14.75,36.15,17.25,31.76,19.26,19.53,0.04,16.79,13.29,25.93,13.66,36.14,49.29,53.46,41.15
43,EBITDA Margin,19.89%,9.78%,22.87%,9.41%,20.63%,13.25%,15.02%,0.03%,11.94%,12.94%,19.09%,9.97%,27.23%,29.34%,33.84%,24.35%
44,D&A For EBITDA,13.75,17.91,13.75,13.75,12.42,13.76,12.42,12.42,10.9,11.95,10.9,10.9,10.11,10.32,10.11,10.11
45,EBIT,15.41,-3.17,22.41,3.5,19.34,5.5,7.1,-12.38,5.88,1.34,15.03,2.75,26.04,38.96,43.35,31.04
46,EBIT Margin,10.51%,-2.10%,14.17%,1.91%,12.56%,3.79%,5.47%,-8.91%,4.19%,1.31%,11.06%,2.01%,19.62%,23.20%,27.44%,18.37%
47,Effective Tax Rate,2.76%,-,7.29%,14.22%,7.94%,17.29%,-,-,3.90%,-,7.29%,8.56%,8.80%,14.57%,10.56%,17.75%
48,Revenue as Reported,146.57,150.78,158.11,183.22,153.95,145.33,130,138.9,140.56,102.76,135.86,136.95,132.71,167.96,157.97,169
