,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
11,Interest Expense,-,-0.94,-1.83,-4.16,-1.96,-4.01,-6.85,-7.5,-10,-11.46,-11.53,-13.18,-13.18,-9.36,-9.36
12,Interest & Investment Income,0.9,3.88,1.42,5.83,1.84,0.98,0.64,-,0.98,0.5,0.64,0.47,0.47,0.42,0.42
13,Currency Exchange Gain (Loss),-2.15,2.15,-,0.51,-1.5,1.5,-,2.96,-1.25,1.25,-,-0.1,-0.1,-0.11,-0.11
14,Other Non Operating Income (Expenses),6.5,-2.91,0.43,-2.52,6.52,-4.57,0.28,0.17,-1.92,2.58,0.46,-0.27,-0.27,-0.54,-0.54
15,EBT Excluding Unusual Items,113.59,145.32,171.67,147.63,141.44,112.5,171.33,85.09,92.72,211.71,108.77,85.91,93.62,12.32,12.32
16,Gain (Loss) on Sale of Investments,-,-,-,-0.01,-,-,-,-0.06,0.05,-1.07,-,-0.16,-0.16,-,-
17,Gain (Loss) on Sale of Assets,0,0.03,-0,4.85,-0.2,2.79,-,0.08,0.3,2.08,-,2.13,2.13,0.03,0.03
18,Asset Writedown,-1.51,-0.06,-,-4.2,-3.09,0.29,-0.33,-3.82,-5.42,3.22,-3.22,1.09,-6.62,-0.06,-0.06
19,Other Unusual Items,-9.06,8.99,0.06,17.39,-0.22,0.22,-,10.37,-0.03,0.03,-,0.62,0.62,4.1,4.1
20,Pretax Income,103.03,154.28,171.73,165.67,137.93,115.79,171,91.66,87.62,215.97,105.56,89.59,89.59,16.39,16.39
21,Income Tax Expense,12.83,19.33,25.76,20.15,16.63,14.17,25.57,8.16,4.06,31.51,18.78,10.77,10.77,0.66,0.66
22,Earnings From Continuing Operations,90.2,134.95,145.97,145.52,121.31,101.62,145.43,83.5,83.55,184.46,86.77,78.82,78.82,15.73,15.73
23,Minority Interest in Earnings,-3.56,-4.79,-5.86,-5.64,-3.72,-3.81,-5.65,-3.56,-2.98,-6.27,-4.05,-3.08,-3.08,-0.5,-0.5
24,Net Income,86.64,130.16,140.11,139.88,117.58,97.81,139.77,79.94,80.57,178.19,82.73,75.73,75.73,15.23,15.23
25,Net Income to Common,86.64,130.16,140.11,139.88,117.58,97.81,139.77,79.94,80.57,178.19,82.73,75.73,75.73,15.23,15.23
26,Net Income Growth,-26.32%,33.08%,0.24%,74.98%,45.94%,-45.11%,68.96%,5.55%,6.39%,1070.13%,443.24%,-,-,-,-
27,Shares Outstanding (Basic),625,650,637,639,639,598,482,495,477,480,487,450,450,508,508
28,Shares Outstanding (Diluted),625,650,637,639,639,598,482,495,477,480,487,450,450,508,508
29,Shares Change (YoY),-2.13%,8.73%,32.14%,29.13%,34.01%,24.64%,-0.95%,9.96%,5.93%,-5.49%,-4.13%,-,-,-,-
30,EPS (Basic),0.14,0.20,0.22,0.22,0.18,0.16,0.29,0.16,0.17,0.37,0.17,0.17,0.17,0.03,0.03
31,EPS (Diluted),0.14,0.20,0.22,0.22,0.18,0.16,0.29,0.16,0.17,0.37,0.17,0.17,0.17,0.03,0.03
32,EPS Growth,-24.71%,22.39%,-24.14%,35.50%,8.90%,-55.96%,70.59%,-4.01%,0.44%,1138.12%,466.67%,-,-,-,-
33,Free Cash Flow,25.95,60.89,-58.38,215.4,152.2,-1.58,75.79,93.36,102.67,239.44,33.4,76.74,76.74,-35.34,-35.34
34,Free Cash Flow Per Share,0.04,0.09,-0.09,0.34,0.24,-0.00,0.16,0.19,0.22,0.50,0.07,0.17,0.17,-0.07,-0.07
35,Dividend Per Share,-,-,-,0.350,-,-,-,0.078,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,348.72%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,33.70%,36.21%,38.84%,40.34%,37.94%,31.93%,37.40%,27.83%,35.84%,37.56%,33.00%,32.56%,32.56%,25.37%,25.37%
38,Operating Margin,18.12%,19.96%,24.77%,21.74%,18.26%,16.97%,23.32%,11.09%,17.93%,25.20%,17.63%,14.86%,16.02%,6.06%,6.06%
39,Profit Margin,14.49%,18.15%,20.22%,20.55%,15.72%,13.99%,18.39%,9.91%,13.77%,20.51%,12.24%,11.37%,11.37%,4.21%,4.21%
40,Free Cash Flow Margin,4.34%,8.49%,-8.42%,31.65%,20.35%,-0.23%,9.97%,11.58%,17.55%,27.57%,4.94%,11.52%,11.52%,-9.78%,-9.78%
41,EBITDA,172.9,205.64,236.22,212.54,202.79,186.95,243.51,155.71,161.93,284.37,176.23,161.79,169.5,73.16,73.16
42,EBITDA Margin,28.91%,28.68%,34.08%,31.23%,27.12%,26.75%,32.03%,19.31%,27.68%,32.74%,26.06%,24.29%,25.44%,20.24%,20.24%
43,D&A For EBITDA,64.56,62.51,64.56,64.56,66.26,68.35,66.26,66.26,57.03,65.53,57.03,62.8,62.8,51.25,51.25
44,EBIT,108.34,143.13,171.65,147.98,136.54,118.61,177.25,89.46,104.9,218.84,119.2,98.99,106.7,21.91,21.91
45,EBIT Margin,18.12%,19.96%,24.77%,21.74%,18.26%,16.97%,23.32%,11.09%,17.93%,25.20%,17.63%,14.86%,16.02%,6.06%,6.06%
46,Effective Tax Rate,12.45%,12.53%,15.00%,12.16%,12.05%,12.24%,14.95%,8.90%,4.64%,14.59%,17.79%,12.02%,12.02%,4.04%,4.04%
47,Revenue as Reported,598,716.99,693.08,680.52,747.88,698.95,760.21,806.45,584.97,868.59,676.12,2055,-,-,-
