,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
18,Asset Writedown,-6.19,2.83,-2.83,5.87,-5.87,6.32,-6.32,3.82,-3.82,1.58,-1.58,3.75,-3.84,0.58,-0.58,0.04,-1.02,-,-
19,Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,0.8,-,-,-,0.37,0.18,0.18,0.18
20,Other Unusual Items,0.61,2.55,-,-0.32,-0.03,0.03,-,1.7,-0.01,0.01,-,1.07,-0.08,0.08,-,3.26,1.63,0.86,0.86
21,Pretax Income,37.71,59.56,40.45,43.05,46.71,90.36,35.86,23.02,29.15,10.11,127.86,-4.85,25.88,14.08,51.39,66.1,42.63,27.44,27.44
22,Income Tax Expense,2.97,16.16,10.71,13.44,8.67,12.79,7.33,4.23,3.82,2.64,22.65,0.78,8.86,5.45,10.08,13.57,9.92,5.95,5.95
23,Earnings From Continuing Operations,34.74,43.4,29.74,29.62,38.04,77.56,28.53,18.79,25.33,7.46,105.21,-5.62,17.03,8.63,41.31,52.53,32.71,21.49,21.49
24,Minority Interest in Earnings,0.32,0.31,0.36,0.32,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Net Income,35.06,43.71,30.1,29.94,38.07,77.56,28.53,18.79,25.33,7.46,105.21,-5.62,17.03,8.63,41.31,52.53,32.71,21.49,21.49
26,Net Income to Common,35.06,43.71,30.1,29.94,38.07,77.56,28.53,18.79,25.33,7.46,105.21,-5.62,17.03,8.63,41.31,52.53,32.71,21.49,21.49
27,Net Income Growth,-7.90%,-43.65%,5.52%,59.31%,50.30%,939.14%,-72.88%,-,48.77%,-13.50%,154.68%,-,-47.94%,-59.85%,92.19%,-,-,-,-
28,Shares Outstanding (Basic),266,225,251,233,239,244,238,239,241,244,241,240,182,178,181,177,179,181,181
29,Shares Outstanding (Diluted),266,225,251,246,239,244,238,239,241,244,241,240,182,178,181,177,179,181,181
30,Shares Change (YoY),11.54%,-7.83%,5.52%,3.29%,-1.00%,0.26%,-1.55%,-0.50%,32.11%,37.17%,33.63%,35.51%,1.93%,-1.97%,-0.37%,-,-,-,-
31,EPS (Basic),0.13,0.19,0.12,0.13,0.16,0.32,0.12,0.08,0.11,0.03,0.44,-0.02,0.09,0.05,0.23,0.30,0.18,0.12,0.12
32,EPS (Diluted),0.13,0.19,0.12,0.12,0.16,0.32,0.12,0.08,0.11,0.03,0.44,-0.02,0.09,0.05,0.23,0.30,0.18,0.12,0.12
33,EPS Growth,-17.43%,-38.86%,0%,54.24%,51.82%,936.51%,-72.46%,-,12.61%,-36.94%,90.59%,-,-48.93%,-58.82%,93.98%,-,-,-,-
34,Free Cash Flow,-135.21,-66.26,-10.15,-58.02,82.85,0.59,30.99,-97.35,33.53,-70.65,192.42,-17.99,-29.52,47.53,3.85,39.12,25.57,-0,-0
35,Free Cash Flow Per Share,-0.51,-0.29,-0.04,-0.24,0.35,0.00,0.13,-0.41,0.14,-0.29,0.80,-0.08,-0.16,0.27,0.02,0.22,0.14,-0.00,-0.00
36,Dividend Per Share,-,-,-,0.213,-,-,-,0.064,-,-,-,0.026,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,233.86%,-,-,-,148.25%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,30.75%,35.53%,37.33%,35.41%,31.02%,35.56%,32.56%,22.70%,35.36%,22.06%,60.96%,32.09%,27.91%,29.90%,28.57%,39.64%,36.99%,29.06%,29.06%
39,Operating Margin,15.22%,13.85%,13.82%,10.89%,14.05%,22.09%,19.88%,5.11%,14.47%,-1.63%,52.95%,-6.84%,15.30%,7.99%,27.89%,27.00%,24.19%,15.65%,15.65%
40,Profit Margin,11.18%,12.75%,10.46%,7.95%,11.37%,21.29%,14.12%,6.43%,13.87%,4.47%,43.22%,-3.85%,9.08%,3.90%,23.01%,17.80%,15.32%,11.77%,11.77%
41,Free Cash Flow Margin,-43.11%,-19.33%,-3.53%,-15.42%,24.75%,0.16%,15.34%,-33.32%,18.37%,-42.32%,79.04%,-12.30%,-15.74%,21.50%,2.15%,13.25%,11.98%,-0.00%,-0.00%
42,EBITDA,60.09,60.47,52.12,53.35,59.43,92.87,52.57,27.32,36.39,10.38,138.87,-0.03,37.32,27.42,58.71,88.33,-,37.06,37.06
43,EBITDA Margin,19.16%,17.64%,18.11%,14.17%,17.75%,25.50%,26.02%,9.35%,19.93%,6.22%,57.04%,-0.02%,19.90%,12.40%,32.69%,29.93%,-,20.30%,20.30%
44,D&A For EBITDA,12.36,13,12.36,12.36,12.4,12.39,12.4,12.4,9.97,13.1,9.97,9.97,8.62,9.75,8.62,8.62,-,8.48,8.48
45,EBIT,47.73,47.47,39.75,40.98,47.03,80.48,40.18,14.93,26.42,-2.71,128.91,-10,28.7,17.68,50.08,79.71,51.64,28.58,28.58
46,EBIT Margin,15.22%,13.85%,13.82%,10.89%,14.05%,22.09%,19.88%,5.11%,14.47%,-1.63%,52.95%,-6.84%,15.30%,7.99%,27.89%,27.00%,24.19%,15.65%,15.65%
47,Effective Tax Rate,7.88%,27.14%,26.47%,31.21%,18.56%,14.16%,20.45%,18.37%,13.10%,26.16%,17.72%,-,34.23%,38.70%,19.61%,20.53%,23.27%,21.68%,21.68%
48,Revenue as Reported,313.65,342.78,287.75,376.36,334.79,364.26,202.04,292.17,182.56,166.93,243.45,146.26,187.57,221.12,179.56,295.16,396.03,182.58,182.58
