,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
14,EV/FCF Ratio,-16.83,-,-,-,-,394.94,-254.64,-39.66,-,24.45,-,9.17,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.03,0.05,0.02,0.02,0.02,-,0.00
16,Debt / EBITDA Ratio,0.06,0.05,0.05,0.05,0.05,0.09,0.06,0.10,0.18,0.13,0.48,0.04,1.33,0.30,0.41,0.08,0.06,-,-,0.00
17,Debt / FCF Ratio,-,-,-,-,-,1.25,-0.68,-0.21,-,0.13,-,0.12,-,-,0.41,0.28,0.30,0.76,-,-
18,Asset Turnover,0.56,0.63,0.53,0.70,0.64,0.75,0.44,0.64,0.41,0.37,0.56,0.34,0.50,-,-,-,-,-,-,
19,Inventory Turnover,8.29,6.50,9.51,8.97,16.04,17.89,17.69,11.82,12.86,5.26,6.03,4.78,5.95,8.54,-,-,-,-,-,-
20,Quick Ratio,4.11,4.11,4.36,5.01,4.45,4.61,4.58,6.04,5.59,5.56,5.40,5.29,5.47,4.54,2.71,-,2.68,2.68,-,-
21,Current Ratio,4.68,4.68,4.76,5.36,4.73,4.82,4.82,6.34,5.84,6.10,5.87,5.73,5.84,4.81,3.03,-,2.88,2.88,-,-
22,Return on Equity (ROE),7.65%,9.74%,6.71%,6.83%,8.97%,19.19%,7.32%,4.87%,6.67%,1.98%,28.93%,-1.58%,5.89%,4.01%,19.54%,-,-,-,-,
23,Return on Assets (ROA),5.31%,5.43%,4.58%,4.77%,5.61%,10.34%,5.46%,2.04%,3.67%,-0.38%,18.60%,-1.45%,4.80%,-,-,-,-,-,-,
24,Return on Capital (ROIC),6.52%,6.61%,5.57%,5.85%,6.84%,12.28%,6.35%,2.39%,4.29%,-0.44%,21.80%,-1.72%,5.96%,4.94%,14.47%,-,-,-,-,
25,Return on Capital Employed (ROCE),9.13%,9.27%,9.65%,11.41%,11.70%,10.46%,9.49%,4.97%,10.52%,9.21%,-,10.78%,-,12.03%,22.07%,-,22.10%,12.75%,-,-
26,Earnings Yield,2.67%,2.77%,2.65%,3.84%,2.68%,2.13%,1.67%,1.62%,3.65%,3.13%,3.98%,4.88%,2.23%,4.61%,-,-,-,-,-,-
27,FCF Yield,-5.19%,-5.39%,-0.96%,0.33%,0.87%,0.22%,-0.36%,-2.09%,1.35%,3.24%,2.38%,7.50%,0.14%,2.35%,-,-,-,-,-,-
28,Dividend Yield,0.99%,-,-,-,0.80%,-,-,-,0.36%,-,-,-,0.23%,-,-,-,-,-,-,-
29,Payout Ratio,38.02%,-,119.09%,1.13%,1.45%,38.98%,1.32%,0.93%,-,141.54%,-,26.35%,-,-,18.90%,2.43%,-,-,-,-
30,Buyback Yield / Dilution,-3.06%,-11.54%,7.83%,-5.52%,-3.29%,1.00%,-0.26%,1.55%,0.50%,-32.11%,-37.17%,-33.63%,-35.51%,-1.93%,1.97%,0.37%,-,-,-,-
31,Total Shareholder Return,-2.07%,-11.54%,7.83%,-5.52%,-2.49%,1.00%,-0.26%,1.55%,0.86%,-32.11%,-37.17%,-33.63%,-35.28%,-1.93%,1.97%,0.37%,-,-,-,-
