,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
12,EV/EBITDA Ratio,16.93,14.59,17.13,14.15,19.99,23.99,27.43,28.42,34.87,24.39,22.41,24.65,27.14,38.25,33.30,40.41,-,-,-,-,-
13,EV/EBIT Ratio,19.86,17.28,20.39,16.57,23.22,27.64,32.16,33.09,41.35,28.13,25.28,27.93,30.85,43.58,37.70,45.31,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-23.43,-,-,-,-54.96,-,157.07,-,29.36,84.79,112.46,81.21,-,-,-,-,-,-
15,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-
16,Debt / EBITDA Ratio,0.18,0.15,0.33,0.11,0.35,0.07,0.12,0.00,0.02,0.02,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-
17,Debt / FCF Ratio,-,-,-,-0.31,-,-,-,-0.02,-,0.11,-,0.00,0.01,0.01,-,-,-,-,-,-,-
18,Asset Turnover,-,0.28,0.52,0.24,0.49,0.33,0.58,0.27,0.42,0.31,0.35,0.32,0.37,0.39,-,-,-,-,0.53,-,
19,Inventory Turnover,-,-,0.88,1.45,0.73,1.37,0.92,1.45,0.76,1.15,0.82,0.86,0.91,1.00,1.20,-,-,-,-,1.06,-
20,Quick Ratio,-,-,1.75,1.92,1.82,1.84,1.93,2.07,1.96,2.05,2.10,2.10,2.07,2.28,2.38,2.67,-,1.16,-,0.94,0.94
21,Current Ratio,-,-,2.84,2.94,2.86,2.75,2.96,3.02,3.02,2.98,3.08,2.96,2.86,3.06,3.24,3.72,-,1.85,-,1.75,1.75
22,Return on Equity (ROE),10.29%,4.28%,16.32%,4.55%,13.24%,6.23%,18.03%,5.69%,7.71%,9.60%,13.92%,13.15%,15.25%,8.62%,15.36%,19.74%,-,-,17.19%,-,
23,Return on Assets (ROA),-,2.20%,8.07%,2.26%,5.64%,3.46%,8.70%,2.57%,2.59%,4.37%,6.34%,6.02%,6.62%,3.80%,-,-,-,-,7.20%,-,
24,Return on Capital (ROIC),8.06%,2.95%,10.88%,3.10%,7.84%,4.80%,12.15%,3.63%,3.67%,6.22%,9.16%,8.69%,9.33%,5.15%,10.43%,14.88%,-,-,13.65%,-,
25,Return on Capital Employed (ROCE),-,-,9.28%,9.93%,10.06%,10.35%,8.85%,9.29%,8.20%,9.85%,12.06%,11.66%,11.39%,11.42%,12.36%,13.57%,-,21.82%,-,10.34%,5.17%
26,Earnings Yield,3.96%,4.49%,4.01%,4.88%,3.56%,3.05%,2.68%,2.69%,2.18%,3.06%,3.25%,3.02%,2.78%,1.97%,2.33%,1.98%,-,-,-,-,-
27,FCF Yield,-,-2.06%,-3.76%,-2.87%,-3.15%,-1.78%,-1.62%,-1.38%,0.55%,1.46%,2.94%,1.03%,0.80%,1.11%,0.74%,-,-,-,-,-,
28,Dividend Yield,1.31%,-,-,2.02%,-,0.78%,-,-,-,0.47%,-,-,-,0.20%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,64.08%,-,-,87.89%,-,-,-,43.99%,-,-,-,-,-,-,18.66%,10.73%,18.55%,18.55%
30,Buyback Yield / Dilution,0.74%,1.65%,1.26%,-4.32%,1.83%,3.01%,-4.36%,-0.19%,-0.98%,-2.33%,0.56%,-7.60%,-34.95%,-33.37%,-32.40%,-24.05%,0.54%,-,-,-,-
31,Total Shareholder Return,2.05%,1.65%,1.26%,-2.30%,1.83%,3.78%,-4.36%,-0.19%,-0.98%,-1.86%,0.56%,-7.60%,-34.95%,-33.17%,-32.40%,-24.05%,0.54%,-,-,-,-
