,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
26,Net Income Growth,49.91%,-16.14%,-46.46%,-82.41%,-58.10%,11.67%,61.74%,1.16%,36.92%,11867576900.00%,6701722600.00%,-,-,-,-
27,Shares Outstanding (Basic),403,399,407,411,400,410,407,400,361,356,372,355,362,-,-
28,Shares Outstanding (Diluted),403,399,415,411,400,410,407,400,361,356,372,355,362,-,-
29,Shares Change (YoY),0.81%,-2.70%,1.95%,2.85%,10.64%,15.21%,9.22%,12.55%,-0.29%,-,-,-,-,-,-
30,EPS (Basic),0.22,0.28,0.14,0.03,0.15,0.32,0.27,0.19,0.39,0.33,0.18,0.21,0.28,-,-
31,EPS (Diluted),0.22,0.28,0.14,0.03,0.15,0.32,0.27,0.19,0.39,0.33,0.18,0.21,0.28,-,-
32,EPS Growth,48.70%,-13.81%,-47.48%,-82.90%,-62.13%,-3.07%,48.08%,-10.11%,37.31%,-,-,-,-,-,-
33,Free Cash Flow,52.9,33.59,24.43,-15.81,53.59,46.5,7.31,100.86,-21.09,111.27,-11.15,-40.95,-166.64,-35.38,-35.38
34,Free Cash Flow Per Share,0.13,0.08,0.06,-0.04,0.13,0.11,0.02,0.25,-0.06,0.31,-0.03,-0.12,-0.46,-,-
35,Dividend Per Share,-,-,-,0.160,-,-,-,0.350,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-54.29%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,43.15%,42.66%,38.29%,32.75%,40.56%,44.07%,43.39%,42.41%,45.96%,42.02%,40.12%,40.10%,70.21%,44.54%,44.54%
38,Operating Margin,24.05%,26.26%,18.57%,1.65%,20.29%,26.70%,32.14%,20.51%,32.14%,30.67%,27.88%,24.56%,37.47%,31.94%,31.94%
39,Profit Margin,19.70%,26.16%,20.61%,4.50%,20.46%,34.25%,29.51%,21.63%,35.87%,30.44%,23.58%,23.74%,32.60%,0.00%,0.00%
40,Free Cash Flow Margin,11.75%,7.90%,8.68%,-5.37%,18.53%,12.02%,1.99%,29.00%,-5.36%,28.54%,-3.92%,-13.08%,-52.69%,-13.93%,-13.93%
41,EBITDA,128.28,133.77,72.32,24.89,73.89,122.99,133.28,86.54,134.22,131.76,86.98,84.67,124.78,87.39,87.39
42,EBITDA Margin,28.50%,31.48%,25.69%,8.46%,25.55%,31.79%,36.29%,24.89%,34.10%,33.80%,30.61%,27.04%,39.45%,34.40%,34.40%
43,D&A For EBITDA,20.05,22.19,20.05,20.05,15.22,19.7,15.22,15.22,7.74,12.19,7.74,7.74,6.27,6.27,6.27
44,EBIT,108.23,111.57,52.27,4.85,58.66,103.3,118.06,71.31,126.48,119.56,79.24,76.93,118.51,81.12,81.12
45,EBIT Margin,24.05%,26.26%,18.57%,1.65%,20.29%,26.70%,32.14%,20.51%,32.14%,30.67%,27.88%,24.56%,37.47%,31.94%,31.94%
46,Effective Tax Rate,4.55%,13.35%,14.72%,21.23%,9.63%,8.14%,13.22%,6.42%,8.99%,17.69%,12.93%,10.85%,7.82%,13.25%,13.25%
47,Revenue as Reported,450.12,424.9,281.55,294.29,289.14,386.89,367.28,347.73,393.56,389.82,284.17,313.16,824.29,-,-
