,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
34,Shareholders' Equity,3388,3235,3229,3182,3165,3113,3125,3021,2938,-,1392,1392,-,-,1167
35,Total Liabilities & Equity,3776,3606,3567,3523,3483,3474,3447,3388,3421,-,-,1901,-,-,-
36,Total Debt,12.85,13.92,15.63,18.13,12.06,70.74,8.32,9.88,113.32,-,130.04,130.04,-,-,-
37,Net Cash (Debt),1715,1677,1739,1706,1723,1677,1750,1746,1693,-,303.74,303.74,-,-,535.44
38,Net Cash Growth,-0.50%,-0.02%,-0.58%,-2.30%,1.76%,-,476.02%,474.90%,-,-,-43.27%,-,-,-,-
39,Net Cash Per Share,4.25,4.20,4.20,4.15,4.31,4.09,4.30,4.37,4.69,-,0.82,0.86,-,-,-
40,Filing Date Shares Outstanding,404.69,404.86,406.66,406.66,406.66,406.66,406.66,406.66,406.66,362.39,372.32,362.39,362.42,-,-
41,Total Common Shares Outstanding,404.69,404.86,406.66,406.66,406.66,406.66,406.66,406.66,406.66,362.39,372.32,362.39,362.42,-,-
42,Working Capital,2117,2073,2101,2087,2157,2144,2195,2118,2085,-,-,675.21,-,-,-
43,Book Value Per Share,8.37,7.99,7.94,7.83,7.78,7.65,7.68,7.43,7.23,-,3.84,3.84,-,-,3.22
44,Tangible Book Value,3305,3153,3150,3103,3086,3033,3044,2940,2857,-,1309,1309,-,-,1081
45,Tangible Book Value Per Share,8.17,7.79,7.75,7.63,7.59,7.46,7.49,7.23,7.03,-,3.61,3.61,-,-,2.98
46,Land,-,1.66,-,1.69,-,1.7,-,1.73,-,-,-,1.68,-,-,-
47,Buildings,-,603.28,-,599.57,-,541.78,-,542.32,-,-,-,94.84,-,-,-
48,Machinery,-,553.49,-,523.6,-,472.2,-,457.95,-,-,-,304.26,-,-,-
49,Construction In Progress,-,258.05,-,161.66,-,102.85,-,39.62,-,-,-,456.66,-,-,-
