,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q1 2019
18,Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.05,-,-,-,-
19,Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-0.06,-,-,-,-0.05,-,-,-,-
20,Other Unusual Items,-23.67,23.18,0.02,13.01,-14.01,14.01,-,0.39,2.69,-2.69,-,12.84,-,-,-,7.67,2.18,-2.18,-,3
21,Pretax Income,180.21,160.95,106.22,189.4,146.93,174.93,102.54,126.05,353.83,42.93,35.55,18.27,43.93,30.94,28.88,16.45,37.07,29.05,19.09,18.24
22,Income Tax Expense,0.3,15.74,6.81,17.88,4.34,15.02,7.47,5.48,24.57,0.64,-0.1,-3.49,0.74,2.51,0.6,-1.44,1.97,1.7,1.28,1.46
23,Earnings From Continuing Operations,179.91,145.22,99.41,171.52,142.6,159.91,95.07,120.57,329.26,42.29,35.65,21.76,43.19,28.42,28.28,17.89,35.1,27.35,17.8,16.79
24,Minority Interest in Earnings,-23,-15.51,-16.83,-25.03,-25.66,-19.71,-8.71,-18.77,-51.52,-,-,-,-,-,-,-,-,-,-,-
25,Net Income,156.91,129.71,82.57,146.49,116.93,140.21,86.36,101.79,277.74,42.29,35.65,21.76,43.19,28.42,28.28,17.89,35.1,27.35,17.8,16.79
26,Net Income to Common,156.91,129.71,82.57,146.49,116.93,140.21,86.36,101.79,277.74,42.29,35.65,21.76,43.19,28.42,28.28,17.89,35.1,27.35,17.8,16.79
27,Net Income Growth,34.19%,-7.49%,-4.38%,43.91%,-57.90%,231.52%,142.24%,367.70%,543.14%,48.79%,26.05%,21.65%,23.03%,3.93%,58.85%,6.57%,-,-,-,-
28,Shares Outstanding (Basic),447,459,445,129,803,125,295,293,635,296,294,301,286,296,292,490,157,256,222,41
29,Shares Outstanding (Diluted),447,459,445,129,803,125,295,293,635,296,294,301,286,296,292,490,157,256,222,41
30,Shares Change (YoY),-44.29%,267.73%,50.82%,-55.88%,26.51%,-57.88%,0.40%,-2.64%,121.92%,0.03%,0.61%,-38.63%,81.82%,15.51%,31.47%,1101.57%,-,-,-,-
31,EPS (Basic),0.35,0.28,0.19,1.13,0.15,1.12,0.29,0.35,0.44,0.14,0.12,0.07,0.15,0.10,0.10,0.04,0.22,0.11,0.08,0.41
32,EPS (Diluted),0.35,0.28,0.19,1.13,0.15,1.12,0.29,0.35,0.44,0.14,0.12,0.07,0.15,0.10,0.10,0.04,0.22,0.11,0.08,0.41
33,EPS Growth,140.86%,-74.84%,-36.60%,226.19%,-66.72%,687.14%,141.27%,380.39%,189.80%,48.75%,25.28%,98.21%,-32.33%,-10.02%,20.82%,-91.13%,-,-,-,-
34,Free Cash Flow,246.76,-57.8,197.54,-273.02,167.75,118.57,92.72,-100.57,371.83,4.02,-36.58,-96.42,-20.05,58.97,-9.5,0.84,5.8,30.21,-8.36,-35.65
35,Free Cash Flow Per Share,0.55,-0.13,0.44,-2.11,0.21,0.95,0.31,-0.34,0.59,0.01,-0.12,-0.32,-0.07,0.20,-0.03,0.00,0.04,0.12,-0.04,-0.87
36,Dividend Per Share,-,-,-,0.279,-,-,-,-,-,-,-,0.076,-,-,-,0.095,-,-,-,-
37,Dividend Growth,-,-,-,-,-,-,-,-,-,-,-,-19.30%,-,-,-,-,-,-,-,-
38,Gross Margin,36.47%,33.32%,33.37%,37.82%,37.64%,33.96%,32.27%,37.92%,41.11%,27.10%,29.15%,27.76%,28.68%,28.65%,30.12%,29.80%,30.99%,28.89%,29.05%,30.23%
39,Operating Margin,28.43%,17.57%,16.36%,22.31%,24.29%,21.70%,17.04%,20.33%,26.89%,10.49%,11.24%,1.81%,11.65%,13.00%,12.60%,6.77%,13.61%,14.59%,13.80%,13.15%
40,Profit Margin,23.63%,19.23%,15.07%,19.07%,17.87%,21.05%,14.71%,16.00%,22.36%,12.40%,12.20%,10.00%,14.40%,10.41%,12.68%,8.53%,13.88%,12.64%,12.97%,13.03%
41,Free Cash Flow Margin,37.16%,-8.57%,36.05%,-35.54%,25.64%,17.80%,15.80%,-15.81%,29.93%,1.18%,-12.52%,-44.28%,-6.69%,21.59%,-4.26%,0.40%,2.29%,13.97%,-6.09%,-27.67%
42,EBITDA,225.11,162.55,125.96,207.74,192.34,180.56,133.39,162.76,344.37,46.64,43.13,14.24,42.54,45.58,35.72,21.82,39.3,38.06,23.87,20.89
43,EBITDA Margin,33.90%,24.10%,22.99%,27.04%,29.40%,27.11%,22.73%,25.58%,27.72%,13.67%,14.76%,6.54%,14.19%,16.69%,16.01%,10.40%,15.54%,17.60%,17.39%,16.22%
44,D&A For EBITDA,36.3,44.05,36.3,36.3,33.41,36.01,33.41,33.41,10.3,10.85,10.3,10.3,7.61,10.08,7.61,7.61,4.89,6.5,4.92,3.95
45,EBIT,188.81,118.5,89.66,171.44,158.93,144.55,99.98,129.35,334.07,35.79,32.83,3.94,34.94,35.49,28.11,14.21,34.41,31.56,18.95,16.94
46,EBIT Margin,28.43%,17.57%,16.36%,22.31%,24.29%,21.70%,17.04%,20.33%,26.89%,10.49%,11.24%,1.81%,11.65%,13.00%,12.60%,6.77%,13.61%,14.59%,13.80%,13.15%
47,Effective Tax Rate,0.17%,9.78%,6.41%,9.44%,2.95%,8.58%,7.29%,4.35%,6.94%,1.48%,-,-,1.69%,8.12%,2.08%,-,5.32%,5.84%,6.73%,7.98%
48,Revenue as Reported,664.12,674.36,547.99,768.3,654.33,666.01,586.93,636.24,1242,341.11,292.14,217.75,299.81,273.08,223.12,209.76,252.84,216.31,137.26,-
49,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.37
