,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
12,Interest & Investment Income,57.13,65.66,47.45,30.51,110.32,33.52,18.05,-,19.94,10.57,32.39,14.01,8.51,5.26,2.8,8.88,5.05,3.56,1.11
13,Currency Exchange Gain (Loss),-9.21,9.21,-,97.36,-137.49,137.49,-,123.06,-59.63,59.63,-,-20.69,3.7,-3.7,-,-18.91,-1.6,1.6,-
14,Other Non Operating Income (Expenses),-14.09,-9.7,0.97,-118.72,117.24,21.53,-26.52,-161.32,159.31,4.03,-4.55,-1.46,-0.08,-2.18,1.46,4.17,-11.01,4.38,-0.24
15,EBT Excluding Unusual Items,1086,829.67,492.5,88.79,409.29,1012,657.66,563.1,664.24,378.9,168.56,168,198.3,139.49,115.29,97.49,127.45,144.02,51.76
16,Gain (Loss) on Sale of Investments,49.8,47.8,-8.48,109.33,-31.8,-233.99,38.35,81.17,-99.79,-6.89,-18.65,14.38,9.28,1.52,0.17,-2.34,2.92,-0.5,-
17,Gain (Loss) on Sale of Assets,-4.01,0.3,-0.15,-0.88,-,-1.57,0.01,0.78,0.62,-0.02,-0.5,0.01,-,-0.05,0.16,-0.6,-,0.02,-
18,Asset Writedown,-1.58,-0.44,0.44,29.02,-29.02,1.23,-1.23,1.12,-1.12,0.19,-0.19,7.06,-7.06,1.89,-1.89,4.29,-4.29,-,-
19,Other Unusual Items,28.68,30.06,18.61,49.1,0.45,-0.45,-,22.62,-,-,-,10.95,-,-,-,16.35,-0.04,0.04,-
20,Pretax Income,1159,907.38,502.93,275.36,348.93,777.22,694.79,668.78,563.95,372.18,149.22,200.39,200.52,142.85,113.74,115.18,126.03,143.58,51.76
21,Income Tax Expense,155.1,104.61,70.02,52.64,44.27,102.43,105.97,72.95,85.6,54.81,17.33,22.48,24.67,18.31,13.5,12.39,17.67,17.88,6.17
22,Earnings From Continuing Operations,1004,802.78,432.91,222.72,304.66,674.79,588.82,595.83,478.35,317.37,131.89,177.92,175.85,124.54,100.24,102.79,108.37,125.7,45.59
23,Minority Interest in Earnings,-,-,-,-,-,-,-,-5.71,-1.57,1.22,-,-,-,-,-,-,-,-,-
24,Net Income,1004,802.78,432.91,222.72,304.66,674.79,588.82,590.12,476.78,318.59,131.89,177.92,175.85,124.54,100.24,102.79,108.37,125.7,45.59
25,Net Income to Common,1004,802.78,432.91,222.72,304.66,674.79,588.82,590.12,476.78,318.59,131.89,177.92,175.85,124.54,100.24,102.79,108.37,125.7,45.59
26,Net Income Growth,229.52%,18.97%,-26.48%,-62.26%,-36.10%,111.81%,346.43%,231.69%,171.12%,155.81%,31.57%,73.08%,62.28%,-0.92%,119.90%,-,-,-,-
27,Shares Outstanding (Basic),640,605,600,601,606,602,602,604,602,602,604,603,505,648,453,447,456,455,447
28,Shares Outstanding (Diluted),640,605,600,601,606,602,602,611,602,602,604,603,505,648,453,447,456,455,447
29,Shares Change (YoY),5.64%,0.62%,-0.27%,-1.72%,0.66%,-0.06%,-0.41%,1.36%,19.33%,-7.12%,33.26%,34.78%,10.71%,42.45%,1.44%,-,-,-,-
30,EPS (Basic),1.57,1.33,0.72,0.37,0.50,1.12,0.98,0.98,0.79,0.53,0.22,0.30,0.35,0.19,0.22,0.23,0.24,0.28,0.10
31,EPS (Diluted),1.57,1.33,0.72,0.37,0.50,1.12,0.98,0.97,0.79,0.53,0.22,0.30,0.35,0.19,0.22,0.23,0.24,0.28,0.10
32,EPS Growth,211.93%,18.24%,-26.28%,-61.60%,-36.52%,111.94%,348.28%,227.25%,127.20%,175.40%,-1.27%,28.42%,46.58%,-30.45%,116.76%,-,-,-,-
33,Free Cash Flow,1219,1110,-27.66,-280.16,221,845.41,545.92,453.56,816.78,365.37,-241.22,59.96,74.87,40.46,19.37,153.65,114.57,120.04,-18.27
34,Free Cash Flow Per Share,1.90,1.83,-0.05,-0.47,0.36,1.40,0.91,0.74,1.36,0.61,-0.40,0.10,0.15,0.06,0.04,0.34,0.25,0.26,-0.04
35,Dividend Per Share,-,1.200,-,1.500,-,-,-,0.897,-,-,-,0.340,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,67.26%,-,-,-,163.69%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,44.55%,37.64%,36.33%,35.66%,37.58%,40.06%,43.05%,47.31%,42.07%,29.12%,24.33%,24.89%,24.67%,21.55%,19.36%,23.49%,24.33%,21.51%,20.43%
38,Operating Margin,32.54%,27.15%,24.37%,8.61%,23.50%,29.81%,32.81%,32.70%,32.71%,20.20%,16.87%,15.51%,16.87%,13.21%,12.96%,13.98%,17.04%,14.92%,10.06%
39,Profit Margin,30.72%,28.03%,22.98%,19.30%,21.27%,24.02%,28.24%,31.36%,28.04%,20.80%,15.68%,15.62%,15.93%,11.74%,11.59%,13.02%,13.67%,13.64%,8.76%
40,Free Cash Flow Margin,37.32%,38.73%,-1.47%,-24.28%,15.43%,30.10%,26.19%,24.10%,48.03%,23.85%,-28.68%,5.26%,6.78%,3.81%,2.24%,19.46%,14.46%,13.03%,-3.51%
41,EBITDA,1090,815.96,485.42,125.74,350.7,861.81,697.99,629.44,565.34,319.55,151,185.76,193.66,148.84,119.52,117.88,141.98,144.68,59.3
42,EBITDA Margin,33.35%,28.49%,25.77%,10.90%,24.49%,30.68%,33.48%,33.44%,33.25%,20.86%,17.95%,16.31%,17.55%,14.03%,13.82%,14.93%,17.92%,15.70%,11.40%
43,D&A For EBITDA,26.4,38.23,26.4,26.4,14.05,24.62,14.05,14.05,9.09,10.12,9.09,9.09,7.5,8.7,7.5,7.5,6.98,7.22,6.98
44,EBIT,1063,777.74,459.01,99.34,336.65,837.19,683.93,615.39,556.24,309.44,141.9,176.66,186.17,140.14,112.02,110.38,135,137.46,52.32
45,EBIT Margin,32.54%,27.15%,24.37%,8.61%,23.50%,29.80%,32.81%,32.70%,32.71%,20.20%,16.87%,15.51%,16.87%,13.21%,12.96%,13.98%,17.04%,14.92%,10.06%
46,Effective Tax Rate,13.38%,11.53%,13.92%,19.12%,12.69%,13.18%,15.25%,10.91%,15.18%,14.73%,11.61%,11.22%,12.30%,12.81%,11.87%,10.75%,14.02%,12.45%,11.93%
47,Revenue as Reported,3268,2864,1884,1154,1432,2809,2085,1882,1700,1532,841.03,1139,1104,1061,864.58,789.69,792.48,921.32,520.14
