,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
30,Total Liabilities,615.05,505.65,325.85,318.93,236.89,225.07,192.16,258.42,261.72,-,-,190.05
31,Common Stock,129.74,129.74,129.74,129.74,129.74,129.74,72.08,72.08,72.08,-,-,54.06
32,Additional Paid-In Capital,1055,1055,1055,1055,1055,1055,1112,1112,1112,-,-,460.81
33,Retained Earnings,292.68,260.95,232.24,236.91,231.92,239.84,251.41,224.85,200.53,-,-,111.67
34,Comprehensive Income & Other,1.49,-0.66,0.1,0.25,0.18,0.53,0.19,0.39,0.39,-,-,-0.18
35,Shareholders' Equity,1479,1445,1417,1422,1417,1425,1436,1410,1385,-,626.36,626.36
36,Total Liabilities & Equity,2094,1950,1743,1741,1653,1650,1628,1668,1647,-,-,816.41
37,Total Debt,274.78,248.15,182.44,152.78,123.39,123.91,91.1,94.91,131.9,-,20.68,20.68
38,Net Cash (Debt),234.86,229.49,275.6,327.03,527.33,617.33,689.47,687.26,664.32,-,150.84,150.84
39,Net Cash Growth,-55.46%,-62.83%,-60.03%,-52.42%,-20.62%,-,357.08%,355.62%,-,-,-,-
40,Net Cash Per Share,1.81,1.77,2.12,2.52,4.07,4.76,5.31,5.79,6.15,-,1.54,1.55
41,Filing Date Shares Outstanding,129.74,129.74,129.74,129.74,129.74,129.74,129.74,129.74,129.74,96.95,97.68,97.31
42,Total Common Shares Outstanding,129.74,129.74,129.74,129.74,129.74,129.74,129.74,129.74,129.74,96.95,97.68,97.31
43,Working Capital,599.74,588.63,667.14,719.26,876.55,962.71,1058,1058,1104,-,-,465.95
44,Book Value Per Share,11.40,11.14,10.92,10.96,10.92,10.98,11.07,10.87,10.68,-,6.44,6.44
45,Tangible Book Value,1436,1408,1380,1384,1379,1386,1407,1384,1359,-,598.87,598.87
46,Tangible Book Value Per Share,11.07,10.86,10.64,10.67,10.62,10.68,10.84,10.67,10.47,-,6.15,6.15
47,Buildings,-,512.36,-,129.62,-,69.37,-,69.37,-,-,-,69.37
48,Machinery,-,303.7,-,262.86,-,243.98,-,218.43,-,-,-,111.02
49,Construction In Progress,-,17.21,-,253.41,-,193.11,-,72.81,-,-,-,1.58
