,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
11,Other Intangible Assets,34.26,34.29,34.59,34.87,34.77,34.23,34.47,34.72,33.29,33.02,33.18,33.34,-,33.71,-
12,Long-Term Deferred Tax Assets,27.73,26.83,24.9,23.28,18.36,18.83,17.84,17.84,12.18,11.71,10.51,10.25,-,8.36,-
13,Long-Term Deferred Charges,19.97,21.52,22.72,24.27,14.77,13.45,14.09,14.98,12.13,12.65,8.89,2.74,-,3.13,-
14,Other Long-Term Assets,22,21.48,11.66,21.4,76.56,66.15,46.7,51.28,25.01,36.66,7.2,21.69,-,18.33,-
15,Total Assets,1136,1100,1046,1092,1122,1125,1127,1184,1003,1002,1032,731.05,-,566.39,-
16,Accounts Payable,155.26,142.77,95.04,125,101.94,119.55,106.71,106.33,74.85,54.63,74.54,94.43,-,58.29,-
17,Accrued Expenses,10.64,19.45,15.91,32.6,9.44,17.05,16.99,61.39,15.04,27.4,13.05,37.19,-,17.3,-
18,Short-Term Debt,93.75,73.34,54.26,43.69,42.29,24,34.25,31.28,11.21,41.79,51.79,51.79,-,10,-
19,Current Portion of Leases,6.24,6.39,7.92,8.84,3.74,5.29,7.32,8.07,-,-,-,-,-,-,-
20,Current Income Taxes Payable,2.48,1.89,0.02,1.26,10.04,8.57,13.54,24,21.57,12.72,20.03,12.12,-,2.37,-
21,Current Unearned Revenue,25.61,5.89,6.56,1.95,3.65,3.93,1.86,1.63,24.16,10.01,5.96,5.98,-,4.83,-
22,Other Current Liabilities,14.62,12.62,21.62,21.19,35.74,36.6,36.05,36.39,-,1.83,-,0.13,-,0.05,-
23,Total Current Liabilities,308.6,262.36,201.32,234.54,206.85,214.99,216.72,269.09,146.83,148.38,165.38,201.63,-,92.84,-
24,Long-Term Leases,35.64,35.85,34.03,37.23,38.64,37.17,39.56,39.64,4.1,4.48,4.65,5.01,-,7.18,-
25,Long-Term Unearned Revenue,7.85,7.85,2.85,2.85,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-,0.25,-
26,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,0.68,0.75,-,-,-,-,-
27,Other Long-Term Liabilities,1.53,1.53,1.53,1.53,-,-,-,-,-,-,-,-,-,-,-
28,Total Liabilities,353.61,307.59,239.73,276.15,245.74,252.4,256.53,308.98,151.86,153.86,170.27,206.89,-,100.26,-
29,Common Stock,77.91,77.91,78.32,78.32,78.43,78.43,78.43,78.43,76.96,76.96,76.96,57.71,-,57.71,-
30,Additional Paid-In Capital,529.03,529.03,538.66,538.66,544.63,542.03,536.41,536.41,499.09,499.09,499.09,183.62,-,183.62,-
31,Retained Earnings,172.91,182.62,196.6,206.87,277.06,276.15,280.19,285.77,263.2,260.16,274.68,272.23,-,215.32,-
32,Treasury Stock,-9.82,-9.82,-19.85,-19.85,-35.79,-35.79,-35.99,-35.99,-,-,-,-,-,-,-
33,Comprehensive Income & Other,12.46,12.5,12.39,12.09,11.51,11.32,11.06,10.87,12.15,11.59,11.08,10.61,-,9.47,-
34,Shareholders' Equity,782.49,792.24,806.12,816.09,875.83,872.14,870.11,875.49,851.41,847.8,861.81,524.17,-,466.13,452.03
35,Total Liabilities & Equity,1136,1100,1046,1092,1122,1125,1127,1184,1003,1002,1032,731.05,-,566.39,-
36,Total Debt,135.62,115.59,96.21,89.77,84.66,66.46,81.13,78.99,15.31,46.27,56.44,56.79,-,17.18,10
37,Net Cash (Debt),-23.49,-17.05,32.07,99.26,79.52,98.04,136.34,259.44,215.57,268.93,387.43,164.12,-,18.59,169.31
38,Net Cash Growth,-,-,-76.48%,-61.74%,-63.11%,-63.55%,-64.81%,58.08%,-,1346.41%,128.83%,-,-,-,-
39,Net Cash Per Share,-0.29,-0.23,0.41,3.80,0.91,0.86,1.71,3.63,2.87,3.18,6.32,2.89,-,0.30,3.10
40,Filing Date Shares Outstanding,77.91,77.91,78.32,78.32,78.43,78.43,79.72,78.43,76.96,76.96,76.96,57.71,56.57,57.71,54.59
41,Total Common Shares Outstanding,77.91,77.91,78.32,78.32,78.43,78.43,79.72,78.43,76.96,76.96,76.96,57.71,56.57,57.71,54.59
42,Working Capital,426.37,448.13,483.89,501.47,581.71,590.17,611.41,630.95,652.9,657.95,709.99,386.78,-,334.22,-
43,Book Value Per Share,10.04,10.17,10.29,10.42,11.17,11.12,10.91,11.16,11.06,11.02,11.20,9.08,-,8.08,7.83
44,Tangible Book Value,748.23,757.95,771.53,781.22,841.06,837.91,835.64,840.77,818.12,814.78,828.63,490.83,-,432.42,417.96
45,Tangible Book Value Per Share,9.60,9.73,9.85,9.97,10.72,10.68,10.48,10.72,10.63,10.59,10.77,8.50,-,7.49,7.24
46,Buildings,-,64.37,-,48.01,-,48.01,-,48.01,-,48.01,-,46.48,-,46.48,-
47,Machinery,-,130.87,-,130.31,-,104.95,-,83.3,-,60.87,-,34.35,-,32.59,-
48,Construction In Progress,-,96.58,-,68.74,-,21.1,-,13.39,-,7.19,-,4.84,-,4.84,-
