,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
12,EV/EBITDA Ratio,9.88,8.48,7.05,6.78,7.08,10.93,11.90,16.07,15.28,12.78,12.71,14.07,15.27,14.07,12.75,20.51,-,-,-,-,-
13,EV/EBIT Ratio,12.65,10.68,9.04,8.87,9.54,15.59,17.87,28.13,27.56,22.05,20.24,21.01,21.95,19.96,17.45,28.04,-,-,-,-,-
14,EV/FCF Ratio,26.85,22.67,-,17.69,22.21,50.67,63.87,-79.35,-,-58.15,-,-71.31,-,-97.82,-,160.37,-,-,-,-,-
15,Debt / Equity Ratio,0.06,0.06,0.05,0.03,0.01,0.01,0.01,0.01,-,-,-,-,-,-,-,-,0.20,0.23,-,-,0.36
16,Debt / EBITDA Ratio,0.28,0.26,0.20,0.12,0.08,0.09,0.05,0.05,-,-,-,-,-,-,-,-,0.32,0.53,-,-,2.61
17,Debt / FCF Ratio,0.76,0.76,-,0.38,0.26,0.45,0.37,-0.45,-,-,-,-,-,-,-,-,-,5.28,-,-,-
18,Asset Turnover,0.92,0.91,0.89,0.87,0.87,0.90,0.94,0.97,1.09,0.95,1.01,0.76,0.90,0.78,0.94,1.12,-,-,-,-,
19,Inventory Turnover,13.50,12.90,13.41,15.15,14.76,13.13,13.82,13.30,11.05,11.54,9.71,9.94,7.91,8.80,10.20,10.96,9.85,-,-,-,-
20,Quick Ratio,1.70,1.70,1.73,1.99,2.28,2.39,2.74,2.72,1.95,1.90,1.74,1.78,2.02,1.90,2.12,2.03,0.99,0.92,-,-,-
21,Current Ratio,1.93,1.93,2.04,2.23,2.55,2.66,3.12,3.00,2.30,2.24,2.08,2.10,2.38,2.25,2.45,2.26,1.22,1.12,-,-,-
22,Return on Equity (ROE),15.65%,17.27%,15.36%,12.56%,12.78%,13.01%,11.42%,5.29%,11.78%,2.12%,12.76%,7.22%,13.83%,7.87%,16.73%,37.39%,-,-,-,-,
23,Return on Assets (ROA),7.50%,8.53%,7.75%,6.42%,5.36%,6.90%,6.16%,2.25%,2.47%,0.96%,5.32%,2.91%,4.68%,3.14%,7.85%,13.87%,-,-,-,-,
24,Return on Capital (ROIC),10.36%,11.66%,10.42%,8.51%,6.96%,8.84%,8.27%,3.20%,3.61%,1.42%,7.67%,4.13%,6.57%,4.38%,11.79%,23.12%,-,-,-,-,
25,Return on Capital Employed (ROCE),16.00%,16.00%,14.68%,13.80%,12.17%,9.89%,8.45%,5.61%,6.24%,6.51%,7.89%,9.06%,9.22%,12.71%,14.34%,16.88%,28.68%,22.73%,-,-,-
26,Earnings Yield,6.08%,7.02%,8.06%,7.88%,7.15%,4.89%,4.59%,3.43%,3.66%,4.47%,4.39%,4.33%,3.96%,4.11%,4.22%,3.00%,-,-,-,-,-
27,FCF Yield,3.21%,3.71%,3.04%,4.18%,3.27%,1.56%,1.23%,-1.08%,-1.09%,-1.36%,-0.81%,-1.12%,-1.36%,-0.87%,-1.78%,0.62%,-,-,-,-,-
28,Dividend Yield,0.92%,-,-,0.69%,-,-,-,-,-,1.55%,-,-,-,2.47%,-,-,-,-,-,-,-
29,Payout Ratio,44.94%,28.82%,0.87%,149.13%,0.28%,0.77%,0.28%,0.13%,209.19%,-,-,219.95%,0.12%,0.25%,-,3.95%,2.66%,3.53%,4.20%,9.34%,17.99%
30,Buyback Yield / Dilution,-4.48%,-1.44%,4.71%,-10.54%,-12.34%,-14.01%,-7.49%,-2.26%,4.06%,2.89%,-4.45%,-34.31%,-33.89%,-31.27%,-34.97%,1.02%,3.94%,-,-,-,-
31,Total Shareholder Return,-3.56%,-1.44%,4.71%,-9.84%,-12.34%,-14.01%,-7.49%,-2.26%,4.06%,4.44%,-4.45%,-34.31%,-33.89%,-28.80%,-34.97%,1.02%,3.94%,-,-,-,-
