,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
30,EPS Growth,-42.88%,-,-,-32.95%,-47.41%,2.45%,-70.59%,-35.22%,-19.01%,-41.75%,-39.29%,-10.46%,-21.13%,-67.29%,300.00%,-,-,-,-
31,Free Cash Flow,-30.18,-44.67,-103.17,42.52,-31.7,31.99,-120.17,25,-64.18,-22.17,-39.06,26.87,-133.29,-71.52,-9.01,17.57,-30.31,-3.92,-11.39
32,Free Cash Flow Per Share,-0.26,-0.37,-1.06,0.43,-0.30,0.37,-1.10,0.25,-0.66,-0.21,-0.40,0.27,-1.34,-0.70,-0.12,0.24,-0.39,-0.06,-0.14
33,Dividend Per Share,-,-,-,0.350,-,-,-,0.350,-,-,-,0.380,-,-,-,0.410,-,-,-
34,Dividend Growth,-,-,-,0%,-,-,-,-7.89%,-,-,-,-7.32%,-,-,-,-,-,-,-
35,Gross Margin,23.50%,19.08%,19.18%,24.33%,24.87%,23.46%,22.96%,24.81%,24.00%,22.76%,22.33%,23.82%,24.82%,21.17%,23.36%,22.55%,26.22%,27.80%,20.99%
36,Operating Margin,2.59%,-2.32%,-2.15%,5.23%,5.31%,3.65%,3.03%,8.07%,7.96%,4.99%,8.24%,12.70%,10.68%,8.38%,10.66%,11.48%,13.15%,16.99%,5.86%
37,Profit Margin,2.85%,-1.16%,-1.43%,4.86%,4.41%,3.59%,2.53%,7.40%,7.19%,4.75%,6.63%,9.93%,8.58%,6.22%,8.29%,8.84%,9.78%,13.10%,4.29%
38,Free Cash Flow Margin,-11.22%,-20.44%,-50.73%,14.80%,-11.17%,13.93%,-55.88%,8.66%,-21.18%,-10.69%,-15.48%,8.16%,-41.96%,-27.15%,-3.59%,5.82%,-11.04%,-1.50%,-8.71%
39,EBITDA,21.41,9.47,10.08,29.47,24.51,22.45,15.95,32.73,31.87,18.56,28.54,49.57,40.57,29.66,33.41,41.3,41.77,50.83,13.31
40,EBITDA Margin,7.96%,4.33%,4.95%,10.26%,8.64%,9.78%,7.42%,11.34%,10.52%,8.95%,11.31%,15.05%,12.77%,11.26%,13.32%,13.69%,15.21%,19.44%,10.18%
41,D&A For EBITDA,14.45,14.53,14.45,14.45,9.43,14.07,9.43,9.43,7.74,8.21,7.74,7.74,6.66,7.57,6.66,6.66,5.64,6.4,5.64
42,EBIT,6.96,-5.07,-4.37,15.02,15.08,8.39,6.51,23.3,24.13,10.34,20.8,41.83,33.91,22.09,26.75,34.64,36.13,44.43,7.66
43,EBIT Margin,2.59%,-2.32%,-2.15%,5.23%,5.31%,3.65%,3.03%,8.07%,7.96%,4.99%,8.24%,12.70%,10.68%,8.38%,10.66%,11.48%,13.15%,16.99%,5.86%
44,Effective Tax Rate,-,-,-,4.83%,1.33%,-,-,16.01%,13.21%,6.06%,14.38%,19.77%,17.86%,17.05%,16.16%,22.58%,17.85%,20.36%,16.93%
45,Revenue as Reported,268.95,218.56,203.38,287.23,283.83,229.63,215.06,288.61,303.08,207.44,252.43,329.4,317.64,263.43,250.82,301.8,274.64,261.42,130.75
