,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
13,EV/EBIT Ratio,166.59,148.17,-,-,55.48,47.42,37.98,40.78,32.62,20.61,23.05,22.25,26.41,24.06,40.15,29.09,-,-,-,-
14,EV/FCF Ratio,-15.41,-,-,-,-32.27,-,-18.59,-,-25.52,-,-,-,-17.60,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.62,0.62,0.60,0.53,0.42,0.41,0.41,0.36,0.26,0.23,0.17,0.17,0.18,0.20,0.19,0.17,0.22,-,0.18,0.23
16,Debt / EBITDA Ratio,5.99,6.93,10.61,13.08,2.44,4.14,3.32,5.62,1.30,1.75,1.50,1.45,0.62,1.13,1.08,1.16,0.70,-,0.42,1.88
17,Debt / FCF Ratio,-,-,-,-,-5.46,-,-3.11,-,-2.53,-,-,-,-0.91,-,-,-,-4.14,-,-,-
18,Asset Turnover,0.60,0.50,0.48,0.68,0.68,0.57,0.55,0.77,0.87,0.62,0.75,0.98,0.97,0.81,0.92,-,-,-,-,
19,Inventory Turnover,4.74,5.47,4.81,4.46,5.56,5.26,4.54,4.22,5.10,4.95,3.54,4.61,5.81,5.55,5.02,4.73,-,-,-,-
20,Quick Ratio,1.02,1.02,1.09,1.24,1.10,1.05,1.06,1.18,1.01,1.09,1.12,1.51,1.49,1.53,1.71,2.13,1.04,-,1.16,-
21,Current Ratio,1.41,1.41,1.48,1.72,1.47,1.46,1.47,1.73,1.45,1.58,1.70,2.13,2.01,2.07,2.23,2.66,1.56,-,1.73,-
22,Return on Equity (ROE),3.20%,-1.04%,-1.17%,5.66%,5.14%,3.36%,2.19%,8.73%,9.11%,4.11%,6.93%,13.89%,11.94%,7.19%,11.45%,-,-,30.09%,-,
23,Return on Assets (ROA),0.97%,-0.73%,-0.64%,2.21%,2.24%,1.30%,1.05%,3.88%,4.31%,1.94%,3.88%,7.80%,6.49%,4.26%,6.16%,-,-,-,-,
24,Return on Capital (ROIC),1.13%,-0.83%,-0.74%,2.68%,2.74%,1.54%,1.25%,4.79%,5.25%,2.30%,4.59%,9.35%,7.78%,5.14%,7.75%,-,-,20.27%,-,
25,Return on Capital Employed (ROCE),0.92%,0.92%,-,-,3.55%,4.24%,5.05%,5.28%,7.13%,9.29%,11.00%,11.81%,12.57%,12.16%,12.71%,14.63%,23.13%,-,10.91%,-
26,Earnings Yield,0.99%,1.10%,1.65%,2.01%,1.80%,2.04%,2.65%,2.33%,2.85%,4.16%,3.50%,3.50%,2.93%,3.05%,1.78%,2.65%,-,-,-,-
27,FCF Yield,-8.25%,-9.21%,-10.73%,-3.82%,-3.47%,-4.06%,-5.93%,-7.25%,-4.11%,-5.05%,-6.78%,-8.15%,-5.64%,-6.58%,-1.83%,-0.63%,-,-,-,-
28,Dividend Yield,2.12%,-,-,-,1.63%,-,-,-,1.51%,-,-,-,1.23%,-,-,-,-,-,-,-
29,Payout Ratio,331.82%,530.21%,-,-,26.07%,308.52%,38.49%,44.68%,8.74%,15.34%,379.37%,6.86%,3.68%,12.91%,245.05%,5.85%,4.12%,3.97%,3.01%,21.93%
30,Buyback Yield / Dilution,-6.89%,-7.21%,-39.71%,10.81%,2.42%,-9.28%,18.41%,-10.56%,-0.76%,1.35%,-3.13%,-32.52%,-36.86%,-28.77%,-46.31%,7.36%,-,-,-,-
31,Total Shareholder Return,-4.77%,-7.21%,-39.71%,10.81%,4.05%,-9.28%,18.41%,-10.56%,0.75%,1.35%,-3.13%,-32.52%,-35.63%,-28.77%,-46.31%,7.36%,-,-,-,-
